,NAME,HLS Latency min,HLS Latency max,HLS Elapsed,HLS II min,HLS II max,HLS LUT,HLS FF,HLS Clock,HLS Target,HLS Estimated,HLS Uncertainty,HLS Slack,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E synth synth_design,E impl total,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%),HLS Target,HLS Estimated
210,I352_O016_D00-7_II1_M0_F1_IR0_R0_ER1,6,6,N/A,1,1,134521,18390,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.475,0.000,0.044,0.000,6.344,53031,4.49,23966,1.01,53031,4.49,0,0.00,00:19:51,00:26:52,00:02:07,00:00:27,00:00:08,00:07:41,00:00:16,00:00:00,00:00:12,00:00:00,00:00:18,00:00:35,00:13:43,00:00:19,00:00:06,00:20:14,00:00:17,Medium,NA,Unspecified*,2.525,3.818,0.5,28.5,96.5,NA,---,---,0,18731,0,18731,0.000,0,23966,0.000,2.850,0,0.00,757,0.13,6,<0.01,0,0.00,23966,1.01,0,0.00,6.25 ns,5.418 ns
158,I352_O016_D00-7_II1_M0_F1_IR0_R1_ER1,6,6,N/A,1,1,134521,18390,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.277,0.000,0.039,0.000,6.507,53586,4.53,23966,1.01,53586,4.53,0,0.00,00:20:26,00:24:58,00:02:06,00:00:26,00:00:08,00:07:04,00:00:15,00:00:00,00:00:11,00:00:00,00:00:18,00:00:36,00:12:31,00:00:19,00:00:05,00:20:48,00:00:17,Medium,NA,Unspecified*,2.528,3.979,0.5,28.5,96.5,NA,---,---,0,18731,0,18731,0.000,0,23966,0.000,2.850,0,0.00,762,0.13,0,0.00,0,0.00,23966,1.01,0,0.00,6.25 ns,5.418 ns
74,I352_O016_D00-7_II1_M1_F1_IR0_R0_ER1,7,7,N/A,1,1,160985,57800,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.324,0.000,0.039,0.000,5.480,49983,4.23,18336,0.78,45759,3.87,4224,0.71,00:19:12,00:26:29,00:02:03,00:00:23,00:00:06,00:06:20,00:00:15,00:00:00,00:00:11,00:00:00,00:00:16,00:00:32,00:14:58,00:00:19,00:00:06,00:19:37,00:00:19,Medium,NA,Unspecified*,2.512,2.967,0.5,28.0,97.0,NA,---,---,0,17327,0,17327,0.000,0,22560,0.000,2.552,0,0.00,9295,1.57,,,,,18336,0.78,0,0.00,6.25 ns,5.418 ns
73,I352_O016_D00-7_II1_M1_F1_IR0_R1_ER1,7,7,N/A,1,1,160985,57800,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.492,0.000,0.039,0.000,5.434,50089,4.24,18362,0.78,45865,3.88,4224,0.71,00:19:22,00:25:29,00:02:13,00:00:23,00:00:07,00:06:21,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:33,00:13:52,00:00:17,00:00:05,00:19:43,00:00:16,Medium,NA,Unspecified*,2.512,2.922,0.5,28.0,97.0,NA,---,---,0,17353,0,17353,0.000,0,22586,0.000,2.552,0,0.00,9295,1.57,,,,,18362,0.78,0,0.00,6.25 ns,5.418 ns
209,I352_O016_D00-7_II4_M0_F1_IR0_R0_ER1,6,6,N/A,4,4,134568,11020,ap_clk,6.25 ns,5.445 ns,0.80 ns,0.805,0.235,0.000,0.044,0.000,4.435,52274,4.42,16621,0.70,52274,4.42,0,0.00,00:17:54,00:25:36,00:02:03,00:00:24,00:00:08,00:07:18,00:00:16,00:00:00,00:00:12,00:00:00,00:00:18,00:00:33,00:13:03,00:00:18,00:00:06,00:18:17,00:00:17,Medium,NA,Unspecified*,2.497,1.938,0.5,27.4,97.6,NA,---,---,0,21929,0,21929,0.000,0,16621,0.000,2.850,0,0.00,666,0.11,0,0.00,0,0.00,16621,0.70,0,0.00,6.25 ns,5.445 ns
157,I352_O016_D00-7_II4_M0_F1_IR0_R1_ER1,6,6,N/A,4,4,134568,11020,ap_clk,6.25 ns,5.445 ns,0.80 ns,0.805,0.409,0.000,0.048,0.000,4.427,51215,4.33,16621,0.70,51215,4.33,0,0.00,00:17:35,00:24:43,00:02:03,00:00:25,00:00:08,00:07:05,00:00:15,00:00:00,00:00:11,00:00:00,00:00:18,00:00:32,00:12:26,00:00:18,00:00:06,00:17:58,00:00:17,Medium,NA,Unspecified*,2.497,1.930,0.5,27.4,97.6,NA,---,---,0,21929,0,21929,0.000,0,16621,0.000,2.850,0,0.00,629,0.11,0,0.00,0,0.00,16621,0.70,0,0.00,6.25 ns,5.445 ns
72,I352_O016_D00-7_II4_M1_F1_IR0_R0_ER1,7,7,N/A,4,4,138495,12239,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.317,0.000,0.045,0.000,4.548,45877,3.88,17834,0.75,45877,3.88,0,0.00,00:15:53,00:28:55,00:02:04,00:00:23,00:00:07,00:07:07,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:32,00:16:35,00:00:18,00:00:05,00:16:16,00:00:18,Medium,NA,Unspecified*,2.499,2.049,0.5,27.5,97.5,NA,---,---,0,24344,0,24344,0.000,0,17834,0.000,2.850,0,0.00,9326,1.58,3840,1.30,0,0.00,17834,0.75,0,0.00,6.25 ns,5.418 ns
71,I352_O016_D00-7_II4_M1_F1_IR0_R1_ER1,7,7,N/A,4,4,138495,12239,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.340,0.000,0.046,0.000,4.497,46355,3.92,17843,0.75,46355,3.92,0,0.00,00:15:30,00:27:12,00:02:00,00:00:23,00:00:08,00:06:41,00:00:15,00:00:00,00:00:11,00:00:00,00:00:18,00:00:33,00:15:30,00:00:16,00:00:05,00:15:50,00:00:15,Medium,NA,Unspecified*,2.498,1.999,0.5,27.4,97.6,NA,---,---,0,24335,0,24335,0.000,0,17843,0.000,2.850,0,0.00,9335,1.58,3840,1.30,0,0.00,17843,0.75,0,0.00,6.25 ns,5.418 ns
208,I352_O016_D00-8_II1_M0_F1_IR0_R0_ER1,6,6,N/A,1,1,134521,18390,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.475,0.000,0.044,0.000,6.344,53031,4.49,23966,1.01,53031,4.49,0,0.00,00:20:08,00:26:19,00:02:05,00:00:25,00:00:08,00:07:20,00:00:15,00:00:00,00:00:12,00:00:00,00:00:19,00:00:35,00:13:38,00:00:19,00:00:06,00:20:31,00:00:17,Medium,NA,Unspecified*,2.525,3.818,0.5,28.5,96.5,NA,---,---,0,18731,0,18731,0.000,0,23966,0.000,2.850,0,0.00,757,0.13,6,<0.01,0,0.00,23966,1.01,0,0.00,6.25 ns,5.418 ns
156,I352_O016_D00-8_II1_M0_F1_IR0_R1_ER1,6,6,N/A,1,1,134521,18390,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.277,0.000,0.039,0.000,6.507,53586,4.53,23966,1.01,53586,4.53,0,0.00,00:21:07,00:26:45,00:02:12,00:00:28,00:00:09,00:07:33,00:00:17,00:00:00,00:00:13,00:00:00,00:00:21,00:00:41,00:13:24,00:00:19,00:00:06,00:21:30,00:00:17,Medium,NA,Unspecified*,2.528,3.979,0.5,28.5,96.5,NA,---,---,0,18731,0,18731,0.000,0,23966,0.000,2.850,0,0.00,762,0.13,0,0.00,0,0.00,23966,1.01,0,0.00,6.25 ns,5.418 ns
