,NAME,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E impl total,E synth synth_design,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%)
80,I352_O016_D001_II1_M0_F1_IR0_R0,5.557,0.000,0.192,0.000,7.784,69042,5.84,401,0.02,69042,5.84,0,0.00,00:25:24,00:12:49,00:02:04,00:00:25,,00:13:31,00:00:14,00:00:00,00:00:11,00:00:00,00:01:01,00:01:28,00:03:11,00:00:19,00:00:05,00:13:12,00:00:18,Medium,NA,Unspecified*,2.547,5.237,0.5,29.2,95.8,NA,---,---,0,1,0,1,0.000,0,401,0.000,2.850,0,0.00,289,0.05,1,<0.01,0,0.00,401,0.02,0,0.00
53,I352_O016_D001_II1_M0_F1_IR0_R1,5.557,0.000,0.192,0.000,7.784,69042,5.84,401,0.02,69042,5.84,0,0.00,00:24:43,00:12:30,00:02:05,00:00:25,,00:13:08,00:00:14,00:00:00,00:00:10,00:00:00,00:00:57,00:01:26,00:03:02,00:00:18,00:00:05,00:12:52,00:00:17,Medium,NA,Unspecified*,2.547,5.237,0.5,29.2,95.8,NA,---,---,0,1,0,1,0.000,0,401,0.000,2.850,0,0.00,289,0.05,1,<0.01,0,0.00,401,0.02,0,0.00
84,I352_O016_D001_II1_M0_F1_IR1_R0,-20.473,-7719.349,0.155,0.000,7.746,68724,5.81,6039,0.26,68724,5.81,0,0.00,00:44:34,00:19:12,00:02:04,00:00:26,00:01:37,00:11:58,00:00:16,00:00:00,00:00:10,00:00:00,00:00:13,00:00:54,00:25:31,00:00:19,00:00:05,00:19:35,00:00:18,Medium,NA,Unspecified*,2.547,5.199,0.5,29.2,95.8,NA,---,---,0,6436,400,6436,-7719.349,0,6039,0.000,2.850,0,0.00,250,0.04,0,0.00,0,0.00,6039,0.26,0,0.00
64,I352_O016_D001_II1_M0_F1_IR1_R1,-20.473,-7719.349,0.155,0.000,7.746,68724,5.81,6039,0.26,68724,5.81,0,0.00,00:44:04,00:19:41,00:02:09,00:00:28,00:01:24,00:11:48,00:00:16,00:00:00,00:00:10,00:00:00,00:00:13,00:00:54,00:25:19,00:00:19,00:00:05,00:20:03,00:00:17,Medium,NA,Unspecified*,2.547,5.199,0.5,29.2,95.8,NA,---,---,0,6436,400,6436,-7719.349,0,6039,0.000,2.850,0,0.00,250,0.04,0,0.00,0,0.00,6039,0.26,0,0.00
2,I352_O016_D001_II1_M1_F1_IR0_R0,NA,NA,NA,NA,5.701,56871,4.81,401,0.02,56871,4.81,0,0.00,00:27:06,00:11:55,00:01:59,00:00:21,00:00:13,00:04:50,00:00:15,00:00:00,00:00:11,00:00:00,00:01:15,00:02:07,00:10:33,00:00:18,00:00:05,00:12:17,00:00:17,Medium,NA,Unspecified*,2.516,3.185,0.5,28.1,96.9,NA,---,---,NA,NA,NA,NA,NA,0,401,0.000,2.850,0,0.00,9124,1.54,3840,1.30,0,0.00,401,0.02,0,0.00
7,I352_O016_D001_II1_M1_F1_IR0_R1,NA,NA,NA,NA,5.739,57273,4.84,401,0.02,57273,4.84,0,0.00,00:26:31,00:12:02,00:01:57,00:00:21,00:00:17,00:04:50,00:00:16,00:00:00,00:00:10,00:00:00,00:01:20,00:02:04,00:10:05,00:00:15,00:00:05,00:12:23,00:00:16,Medium,NA,Unspecified*,2.516,3.223,0.5,28.1,96.9,NA,---,---,NA,NA,NA,NA,NA,0,401,0.000,2.850,0,0.00,9121,1.54,3840,1.30,0,0.00,401,0.02,0,0.00
39,I352_O016_D001_II1_M1_F1_IR1_R0,-29.556,-10237.362,0.149,0.000,6.602,66727,5.64,6041,0.26,66727,5.64,0,0.00,08:55:51,00:30:24,00:02:03,00:00:22,00:01:20,00:11:52,00:00:14,00:00:00,00:00:10,00:00:00,00:00:12,00:00:50,08:37:20,00:00:20,00:00:05,00:30:48,00:00:19,Medium,NA,Unspecified*,2.529,4.073,0.5,28.6,96.4,NA,---,---,0,6440,421,6440,-10237.362,0,6041,0.000,2.850,0,0.00,9060,1.53,3840,1.30,0,0.00,6041,0.26,0,0.00
30,I352_O016_D001_II1_M1_F1_IR1_R1,-25.822,-9406.773,0.220,0.000,6.608,69797,5.90,6036,0.26,69797,5.90,0,0.00,00:43:06,00:26:35,00:02:08,00:00:22,00:01:20,00:10:33,00:00:13,00:00:00,00:00:10,00:00:00,00:00:11,00:00:50,00:26:02,00:00:18,00:00:05,00:26:56,00:00:16,Medium,NA,Unspecified*,2.529,4.079,0.5,28.6,96.4,NA,---,---,0,6435,548,6435,-9406.773,0,6036,0.000,2.850,0,0.00,9051,1.53,3840,1.30,0,0.00,6036,0.26,0,0.00
0,I352_O016_D001_II4_M1_F1_IR0_R1,3.391,0.000,0.092,0.000,5.834,60326,5.10,402,0.02,60326,5.10,0,0.00,00:26:40,00:12:05,00:01:57,00:00:22,,00:05:15,00:00:14,00:00:00,00:00:10,00:00:00,00:01:12,00:02:04,00:10:20,00:00:16,00:00:05,00:12:26,00:00:16,Medium,NA,Unspecified*,2.518,3.317,0.5,28.2,96.8,NA,---,---,0,402,0,402,0.000,0,402,0.000,2.850,0,0.00,9098,1.54,3840,1.30,0,0.00,402,0.02,0,0.00
41,I352_O016_D001_II4_M1_F1_IR1_R1,-27.642,-9935.841,0.052,0.000,6.542,65004,5.50,6038,0.26,65004,5.50,0,0.00,00:45:36,00:19:29,00:01:58,00:00:23,00:01:19,00:10:11,00:00:14,00:00:00,00:00:10,00:00:00,00:00:11,00:00:48,00:29:04,00:00:17,00:00:05,00:19:49,00:00:15,Medium,NA,Unspecified*,2.528,4.013,0.5,28.6,96.4,NA,---,---,0,6438,400,6438,-9935.841,0,6038,0.000,2.850,0,0.00,9103,1.54,3840,1.30,0,0.00,6038,0.26,0,0.00
