,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,"{'pt': 12, 'idx': 0, 'roi': 242, 'flags': 0}","{'pt': 7, 'idx': 1, 'roi': 60, 'flags': 13}","{'pt': 9, 'idx': 2, 'roi': 153, 'flags': 1}","{'pt': 2, 'idx': 3, 'roi': 174, 'flags': 13}","{'pt': 15, 'idx': 4, 'roi': 86, 'flags': 4}","{'pt': 0, 'idx': 5, 'roi': 118, 'flags': 1}","{'pt': 3, 'idx': 6, 'roi': 204, 'flags': 9}","{'pt': 4, 'idx': 7, 'roi': 147, 'flags': 14}","{'pt': 5, 'idx': 8, 'roi': 77, 'flags': 8}","{'pt': 6, 'idx': 9, 'roi': 41, 'flags': 11}","{'pt': 7, 'idx': 10, 'roi': 237, 'flags': 2}","{'pt': 11, 'idx': 11, 'roi': 33, 'flags': 14}","{'pt': 14, 'idx': 12, 'roi': 23, 'flags': 12}","{'pt': 9, 'idx': 13, 'roi': 172, 'flags': 7}","{'pt': 14, 'idx': 14, 'roi': 155, 'flags': 6}","{'pt': 2, 'idx': 15, 'roi': 51, 'flags': 8}","{'pt': 8, 'idx': 16, 'roi': 144, 'flags': 13}","{'pt': 6, 'idx': 17, 'roi': 97, 'flags': 8}","{'pt': 0, 'idx': 18, 'roi': 6, 'flags': 12}","{'pt': 4, 'idx': 19, 'roi': 148, 'flags': 13}","{'pt': 13, 'idx': 20, 'roi': 123, 'flags': 10}","{'pt': 6, 'idx': 21, 'roi': 48, 'flags': 0}"
1,"{'pt': 1, 'idx': 0, 'roi': 76, 'flags': 10}","{'pt': 8, 'idx': 1, 'roi': 104, 'flags': 11}","{'pt': 11, 'idx': 2, 'roi': 72, 'flags': 3}","{'pt': 8, 'idx': 3, 'roi': 172, 'flags': 14}","{'pt': 13, 'idx': 4, 'roi': 194, 'flags': 15}","{'pt': 14, 'idx': 5, 'roi': 99, 'flags': 9}","{'pt': 15, 'idx': 6, 'roi': 250, 'flags': 0}","{'pt': 0, 'idx': 7, 'roi': 204, 'flags': 2}","{'pt': 12, 'idx': 8, 'roi': 51, 'flags': 9}","{'pt': 0, 'idx': 9, 'roi': 79, 'flags': 8}","{'pt': 9, 'idx': 10, 'roi': 197, 'flags': 8}","{'pt': 15, 'idx': 11, 'roi': 71, 'flags': 12}","{'pt': 12, 'idx': 12, 'roi': 140, 'flags': 15}","{'pt': 13, 'idx': 13, 'roi': 129, 'flags': 0}","{'pt': 1, 'idx': 14, 'roi': 110, 'flags': 9}","{'pt': 10, 'idx': 15, 'roi': 35, 'flags': 10}","{'pt': 14, 'idx': 16, 'roi': 148, 'flags': 7}","{'pt': 8, 'idx': 17, 'roi': 32, 'flags': 15}","{'pt': 7, 'idx': 18, 'roi': 213, 'flags': 7}","{'pt': 11, 'idx': 19, 'roi': 137, 'flags': 14}","{'pt': 8, 'idx': 20, 'roi': 76, 'flags': 2}","{'pt': 2, 'idx': 21, 'roi': 36, 'flags': 6}"
2,"{'pt': 15, 'idx': 0, 'roi': 255, 'flags': 10}","{'pt': 11, 'idx': 1, 'roi': 165, 'flags': 5}","{'pt': 4, 'idx': 2, 'roi': 118, 'flags': 7}","{'pt': 3, 'idx': 3, 'roi': 134, 'flags': 7}","{'pt': 6, 'idx': 4, 'roi': 116, 'flags': 5}","{'pt': 1, 'idx': 5, 'roi': 64, 'flags': 12}","{'pt': 11, 'idx': 6, 'roi': 200, 'flags': 12}","{'pt': 1, 'idx': 7, 'roi': 135, 'flags': 4}","{'pt': 15, 'idx': 8, 'roi': 24, 'flags': 10}","{'pt': 8, 'idx': 9, 'roi': 58, 'flags': 1}","{'pt': 3, 'idx': 10, 'roi': 75, 'flags': 12}","{'pt': 11, 'idx': 11, 'roi': 235, 'flags': 9}","{'pt': 3, 'idx': 12, 'roi': 170, 'flags': 9}","{'pt': 15, 'idx': 13, 'roi': 250, 'flags': 3}","{'pt': 9, 'idx': 14, 'roi': 35, 'flags': 3}","{'pt': 6, 'idx': 15, 'roi': 113, 'flags': 9}","{'pt': 1, 'idx': 16, 'roi': 235, 'flags': 1}","{'pt': 10, 'idx': 17, 'roi': 132, 'flags': 3}","{'pt': 3, 'idx': 18, 'roi': 3, 'flags': 5}","{'pt': 10, 'idx': 19, 'roi': 154, 'flags': 0}","{'pt': 14, 'idx': 20, 'roi': 233, 'flags': 8}","{'pt': 15, 'idx': 21, 'roi': 152, 'flags': 8}"
3,"{'pt': 12, 'idx': 0, 'roi': 110, 'flags': 2}","{'pt': 9, 'idx': 1, 'roi': 192, 'flags': 7}","{'pt': 9, 'idx': 2, 'roi': 50, 'flags': 1}","{'pt': 3, 'idx': 3, 'roi': 92, 'flags': 11}","{'pt': 6, 'idx': 4, 'roi': 148, 'flags': 1}","{'pt': 15, 'idx': 5, 'roi': 63, 'flags': 7}","{'pt': 12, 'idx': 6, 'roi': 135, 'flags': 13}","{'pt': 14, 'idx': 7, 'roi': 164, 'flags': 12}","{'pt': 14, 'idx': 8, 'roi': 204, 'flags': 15}","{'pt': 8, 'idx': 9, 'roi': 82, 'flags': 1}","{'pt': 6, 'idx': 10, 'roi': 31, 'flags': 13}","{'pt': 5, 'idx': 11, 'roi': 87, 'flags': 12}","{'pt': 10, 'idx': 12, 'roi': 50, 'flags': 4}","{'pt': 0, 'idx': 13, 'roi': 219, 'flags': 3}","{'pt': 1, 'idx': 14, 'roi': 216, 'flags': 15}","{'pt': 4, 'idx': 15, 'roi': 136, 'flags': 5}","{'pt': 2, 'idx': 16, 'roi': 225, 'flags': 4}","{'pt': 5, 'idx': 17, 'roi': 150, 'flags': 7}","{'pt': 3, 'idx': 18, 'roi': 73, 'flags': 13}","{'pt': 15, 'idx': 19, 'roi': 129, 'flags': 7}","{'pt': 13, 'idx': 20, 'roi': 146, 'flags': 1}","{'pt': 0, 'idx': 21, 'roi': 39, 'flags': 12}"
4,"{'pt': 6, 'idx': 0, 'roi': 114, 'flags': 0}","{'pt': 3, 'idx': 1, 'roi': 162, 'flags': 0}","{'pt': 4, 'idx': 2, 'roi': 146, 'flags': 3}","{'pt': 5, 'idx': 3, 'roi': 28, 'flags': 9}","{'pt': 0, 'idx': 4, 'roi': 230, 'flags': 1}","{'pt': 6, 'idx': 5, 'roi': 115, 'flags': 1}","{'pt': 12, 'idx': 6, 'roi': 123, 'flags': 5}","{'pt': 6, 'idx': 7, 'roi': 24, 'flags': 11}","{'pt': 12, 'idx': 8, 'roi': 121, 'flags': 13}","{'pt': 14, 'idx': 9, 'roi': 103, 'flags': 1}","{'pt': 14, 'idx': 10, 'roi': 8, 'flags': 12}","{'pt': 5, 'idx': 11, 'roi': 240, 'flags': 12}","{'pt': 3, 'idx': 12, 'roi': 192, 'flags': 13}","{'pt': 14, 'idx': 13, 'roi': 234, 'flags': 11}","{'pt': 0, 'idx': 14, 'roi': 210, 'flags': 15}","{'pt': 12, 'idx': 15, 'roi': 41, 'flags': 4}","{'pt': 4, 'idx': 16, 'roi': 197, 'flags': 15}","{'pt': 9, 'idx': 17, 'roi': 201, 'flags': 9}","{'pt': 13, 'idx': 18, 'roi': 87, 'flags': 6}","{'pt': 1, 'idx': 19, 'roi': 59, 'flags': 1}","{'pt': 6, 'idx': 20, 'roi': 57, 'flags': 5}","{'pt': 2, 'idx': 21, 'roi': 88, 'flags': 12}"
5,"{'pt': 10, 'idx': 0, 'roi': 152, 'flags': 2}","{'pt': 4, 'idx': 1, 'roi': 190, 'flags': 4}","{'pt': 14, 'idx': 2, 'roi': 55, 'flags': 10}","{'pt': 4, 'idx': 3, 'roi': 62, 'flags': 2}","{'pt': 11, 'idx': 4, 'roi': 85, 'flags': 15}","{'pt': 8, 'idx': 5, 'roi': 62, 'flags': 9}","{'pt': 9, 'idx': 6, 'roi': 252, 'flags': 0}","{'pt': 0, 'idx': 7, 'roi': 216, 'flags': 12}","{'pt': 6, 'idx': 8, 'roi': 8, 'flags': 14}","{'pt': 11, 'idx': 9, 'roi': 168, 'flags': 10}","{'pt': 5, 'idx': 10, 'roi': 52, 'flags': 14}","{'pt': 4, 'idx': 11, 'roi': 132, 'flags': 12}","{'pt': 0, 'idx': 12, 'roi': 183, 'flags': 3}","{'pt': 15, 'idx': 13, 'roi': 81, 'flags': 7}","{'pt': 4, 'idx': 14, 'roi': 196, 'flags': 13}","{'pt': 3, 'idx': 15, 'roi': 9, 'flags': 10}","{'pt': 11, 'idx': 16, 'roi': 60, 'flags': 3}","{'pt': 13, 'idx': 17, 'roi': 157, 'flags': 7}","{'pt': 9, 'idx': 18, 'roi': 236, 'flags': 6}","{'pt': 13, 'idx': 19, 'roi': 43, 'flags': 11}","{'pt': 14, 'idx': 20, 'roi': 132, 'flags': 10}","{'pt': 12, 'idx': 21, 'roi': 225, 'flags': 4}"
6,"{'pt': 12, 'idx': 0, 'roi': 2, 'flags': 10}","{'pt': 6, 'idx': 1, 'roi': 44, 'flags': 10}","{'pt': 11, 'idx': 2, 'roi': 85, 'flags': 7}","{'pt': 13, 'idx': 3, 'roi': 166, 'flags': 10}","{'pt': 13, 'idx': 4, 'roi': 14, 'flags': 2}","{'pt': 12, 'idx': 5, 'roi': 96, 'flags': 13}","{'pt': 8, 'idx': 6, 'roi': 243, 'flags': 4}","{'pt': 11, 'idx': 7, 'roi': 190, 'flags': 3}","{'pt': 14, 'idx': 8, 'roi': 203, 'flags': 10}","{'pt': 13, 'idx': 9, 'roi': 207, 'flags': 10}","{'pt': 1, 'idx': 10, 'roi': 204, 'flags': 8}","{'pt': 11, 'idx': 11, 'roi': 30, 'flags': 7}","{'pt': 4, 'idx': 12, 'roi': 164, 'flags': 7}","{'pt': 12, 'idx': 13, 'roi': 2, 'flags': 8}","{'pt': 6, 'idx': 14, 'roi': 42, 'flags': 11}","{'pt': 14, 'idx': 15, 'roi': 99, 'flags': 1}","{'pt': 0, 'idx': 16, 'roi': 16, 'flags': 5}","{'pt': 8, 'idx': 17, 'roi': 62, 'flags': 0}","{'pt': 1, 'idx': 18, 'roi': 133, 'flags': 12}","{'pt': 13, 'idx': 19, 'roi': 110, 'flags': 6}","{'pt': 7, 'idx': 20, 'roi': 170, 'flags': 8}","{'pt': 15, 'idx': 21, 'roi': 231, 'flags': 15}"
7,"{'pt': 5, 'idx': 0, 'roi': 108, 'flags': 9}","{'pt': 5, 'idx': 1, 'roi': 28, 'flags': 14}","{'pt': 4, 'idx': 2, 'roi': 56, 'flags': 8}","{'pt': 4, 'idx': 3, 'roi': 65, 'flags': 12}","{'pt': 11, 'idx': 4, 'roi': 125, 'flags': 0}","{'pt': 2, 'idx': 5, 'roi': 193, 'flags': 10}","{'pt': 9, 'idx': 6, 'roi': 189, 'flags': 1}","{'pt': 3, 'idx': 7, 'roi': 226, 'flags': 7}","{'pt': 10, 'idx': 8, 'roi': 155, 'flags': 15}","{'pt': 14, 'idx': 9, 'roi': 20, 'flags': 11}","{'pt': 14, 'idx': 10, 'roi': 71, 'flags': 10}","{'pt': 15, 'idx': 11, 'roi': 128, 'flags': 9}","{'pt': 8, 'idx': 12, 'roi': 13, 'flags': 10}","{'pt': 9, 'idx': 13, 'roi': 175, 'flags': 2}","{'pt': 2, 'idx': 14, 'roi': 207, 'flags': 1}","{'pt': 3, 'idx': 15, 'roi': 59, 'flags': 9}","{'pt': 13, 'idx': 16, 'roi': 140, 'flags': 10}","{'pt': 10, 'idx': 17, 'roi': 233, 'flags': 0}","{'pt': 3, 'idx': 18, 'roi': 79, 'flags': 10}","{'pt': 14, 'idx': 19, 'roi': 184, 'flags': 7}","{'pt': 15, 'idx': 20, 'roi': 226, 'flags': 0}","{'pt': 3, 'idx': 21, 'roi': 165, 'flags': 8}"
8,"{'pt': 1, 'idx': 0, 'roi': 45, 'flags': 12}","{'pt': 4, 'idx': 1, 'roi': 197, 'flags': 4}","{'pt': 5, 'idx': 2, 'roi': 225, 'flags': 14}","{'pt': 9, 'idx': 3, 'roi': 252, 'flags': 0}","{'pt': 0, 'idx': 4, 'roi': 59, 'flags': 10}","{'pt': 11, 'idx': 5, 'roi': 8, 'flags': 14}","{'pt': 4, 'idx': 6, 'roi': 153, 'flags': 7}","{'pt': 15, 'idx': 7, 'roi': 151, 'flags': 1}","{'pt': 14, 'idx': 8, 'roi': 253, 'flags': 4}","{'pt': 15, 'idx': 9, 'roi': 59, 'flags': 12}","{'pt': 14, 'idx': 10, 'roi': 48, 'flags': 2}","{'pt': 8, 'idx': 11, 'roi': 217, 'flags': 9}","{'pt': 7, 'idx': 12, 'roi': 238, 'flags': 7}","{'pt': 15, 'idx': 13, 'roi': 45, 'flags': 4}","{'pt': 13, 'idx': 14, 'roi': 240, 'flags': 8}","{'pt': 9, 'idx': 15, 'roi': 232, 'flags': 7}","{'pt': 14, 'idx': 16, 'roi': 108, 'flags': 7}","{'pt': 8, 'idx': 17, 'roi': 123, 'flags': 14}","{'pt': 13, 'idx': 18, 'roi': 200, 'flags': 10}","{'pt': 3, 'idx': 19, 'roi': 105, 'flags': 2}","{'pt': 15, 'idx': 20, 'roi': 63, 'flags': 13}","{'pt': 5, 'idx': 21, 'roi': 70, 'flags': 4}"
9,"{'pt': 2, 'idx': 0, 'roi': 83, 'flags': 5}","{'pt': 2, 'idx': 1, 'roi': 24, 'flags': 7}","{'pt': 0, 'idx': 2, 'roi': 193, 'flags': 4}","{'pt': 7, 'idx': 3, 'roi': 228, 'flags': 0}","{'pt': 11, 'idx': 4, 'roi': 75, 'flags': 6}","{'pt': 12, 'idx': 5, 'roi': 129, 'flags': 10}","{'pt': 6, 'idx': 6, 'roi': 111, 'flags': 2}","{'pt': 5, 'idx': 7, 'roi': 151, 'flags': 7}","{'pt': 8, 'idx': 8, 'roi': 66, 'flags': 2}","{'pt': 7, 'idx': 9, 'roi': 74, 'flags': 3}","{'pt': 14, 'idx': 10, 'roi': 253, 'flags': 3}","{'pt': 2, 'idx': 11, 'roi': 231, 'flags': 4}","{'pt': 7, 'idx': 12, 'roi': 134, 'flags': 6}","{'pt': 8, 'idx': 13, 'roi': 40, 'flags': 5}","{'pt': 13, 'idx': 14, 'roi': 224, 'flags': 9}","{'pt': 13, 'idx': 15, 'roi': 177, 'flags': 1}","{'pt': 0, 'idx': 16, 'roi': 54, 'flags': 11}","{'pt': 6, 'idx': 17, 'roi': 239, 'flags': 9}","{'pt': 7, 'idx': 18, 'roi': 76, 'flags': 8}","{'pt': 13, 'idx': 19, 'roi': 192, 'flags': 0}","{'pt': 2, 'idx': 20, 'roi': 133, 'flags': 13}","{'pt': 12, 'idx': 21, 'roi': 78, 'flags': 4}"
