,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"{'pt': 5, 'idx': 0, 'roi': 195, 'flags': 8}","{'pt': 6, 'idx': 1, 'roi': 74, 'flags': 12}","{'pt': 5, 'idx': 2, 'roi': 48, 'flags': 11}","{'pt': 9, 'idx': 3, 'roi': 161, 'flags': 12}","{'pt': 10, 'idx': 4, 'roi': 121, 'flags': 10}","{'pt': 10, 'idx': 5, 'roi': 198, 'flags': 9}","{'pt': 7, 'idx': 6, 'roi': 164, 'flags': 0}","{'pt': 0, 'idx': 7, 'roi': 74, 'flags': 10}","{'pt': 12, 'idx': 8, 'roi': 31, 'flags': 10}","{'pt': 4, 'idx': 9, 'roi': 186, 'flags': 6}","{'pt': 0, 'idx': 10, 'roi': 123, 'flags': 2}","{'pt': 12, 'idx': 11, 'roi': 4, 'flags': 7}","{'pt': 7, 'idx': 12, 'roi': 182, 'flags': 12}","{'pt': 15, 'idx': 13, 'roi': 248, 'flags': 6}","{'pt': 6, 'idx': 14, 'roi': 44, 'flags': 14}","{'pt': 2, 'idx': 15, 'roi': 169, 'flags': 15}","{'pt': 6, 'idx': 16, 'roi': 244, 'flags': 2}","{'pt': 10, 'idx': 17, 'roi': 102, 'flags': 2}","{'pt': 13, 'idx': 18, 'roi': 128, 'flags': 2}","{'pt': 11, 'idx': 19, 'roi': 96, 'flags': 1}","{'pt': 0, 'idx': 20, 'roi': 212, 'flags': 14}","{'pt': 4, 'idx': 21, 'roi': 193, 'flags': 7}","{'pt': 3, 'idx': 22, 'roi': 81, 'flags': 13}","{'pt': 8, 'idx': 23, 'roi': 215, 'flags': 5}","{'pt': 8, 'idx': 24, 'roi': 4, 'flags': 2}","{'pt': 1, 'idx': 25, 'roi': 3, 'flags': 10}","{'pt': 0, 'idx': 26, 'roi': 132, 'flags': 14}","{'pt': 12, 'idx': 27, 'roi': 54, 'flags': 5}","{'pt': 3, 'idx': 28, 'roi': 153, 'flags': 14}","{'pt': 3, 'idx': 29, 'roi': 160, 'flags': 0}","{'pt': 7, 'idx': 30, 'roi': 40, 'flags': 13}","{'pt': 9, 'idx': 31, 'roi': 11, 'flags': 3}"
1,"{'pt': 14, 'idx': 0, 'roi': 217, 'flags': 9}","{'pt': 4, 'idx': 1, 'roi': 254, 'flags': 5}","{'pt': 4, 'idx': 2, 'roi': 108, 'flags': 2}","{'pt': 15, 'idx': 3, 'roi': 248, 'flags': 10}","{'pt': 12, 'idx': 4, 'roi': 205, 'flags': 9}","{'pt': 3, 'idx': 5, 'roi': 36, 'flags': 13}","{'pt': 15, 'idx': 6, 'roi': 97, 'flags': 13}","{'pt': 10, 'idx': 7, 'roi': 18, 'flags': 12}","{'pt': 8, 'idx': 8, 'roi': 33, 'flags': 12}","{'pt': 2, 'idx': 9, 'roi': 102, 'flags': 6}","{'pt': 4, 'idx': 10, 'roi': 252, 'flags': 7}","{'pt': 10, 'idx': 11, 'roi': 73, 'flags': 7}","{'pt': 12, 'idx': 12, 'roi': 255, 'flags': 9}","{'pt': 2, 'idx': 13, 'roi': 240, 'flags': 13}","{'pt': 10, 'idx': 14, 'roi': 77, 'flags': 5}","{'pt': 14, 'idx': 15, 'roi': 33, 'flags': 3}","{'pt': 11, 'idx': 16, 'roi': 231, 'flags': 2}","{'pt': 4, 'idx': 17, 'roi': 89, 'flags': 1}","{'pt': 7, 'idx': 18, 'roi': 133, 'flags': 12}","{'pt': 14, 'idx': 19, 'roi': 47, 'flags': 10}","{'pt': 0, 'idx': 20, 'roi': 171, 'flags': 11}","{'pt': 11, 'idx': 21, 'roi': 93, 'flags': 4}","{'pt': 9, 'idx': 22, 'roi': 166, 'flags': 8}","{'pt': 1, 'idx': 23, 'roi': 28, 'flags': 1}","{'pt': 15, 'idx': 24, 'roi': 2, 'flags': 10}","{'pt': 15, 'idx': 25, 'roi': 55, 'flags': 7}","{'pt': 14, 'idx': 26, 'roi': 94, 'flags': 15}","{'pt': 5, 'idx': 27, 'roi': 202, 'flags': 13}","{'pt': 9, 'idx': 28, 'roi': 174, 'flags': 5}","{'pt': 5, 'idx': 29, 'roi': 170, 'flags': 1}","{'pt': 12, 'idx': 30, 'roi': 229, 'flags': 6}","{'pt': 15, 'idx': 31, 'roi': 163, 'flags': 12}"
2,"{'pt': 10, 'idx': 0, 'roi': 160, 'flags': 8}","{'pt': 6, 'idx': 1, 'roi': 37, 'flags': 7}","{'pt': 1, 'idx': 2, 'roi': 11, 'flags': 4}","{'pt': 12, 'idx': 3, 'roi': 217, 'flags': 10}","{'pt': 2, 'idx': 4, 'roi': 138, 'flags': 14}","{'pt': 3, 'idx': 5, 'roi': 218, 'flags': 4}","{'pt': 5, 'idx': 6, 'roi': 39, 'flags': 2}","{'pt': 8, 'idx': 7, 'roi': 222, 'flags': 1}","{'pt': 8, 'idx': 8, 'roi': 254, 'flags': 14}","{'pt': 14, 'idx': 9, 'roi': 0, 'flags': 0}","{'pt': 6, 'idx': 10, 'roi': 193, 'flags': 8}","{'pt': 5, 'idx': 11, 'roi': 103, 'flags': 3}","{'pt': 10, 'idx': 12, 'roi': 232, 'flags': 15}","{'pt': 13, 'idx': 13, 'roi': 20, 'flags': 15}","{'pt': 5, 'idx': 14, 'roi': 130, 'flags': 0}","{'pt': 2, 'idx': 15, 'roi': 98, 'flags': 2}","{'pt': 2, 'idx': 16, 'roi': 119, 'flags': 2}","{'pt': 5, 'idx': 17, 'roi': 144, 'flags': 6}","{'pt': 7, 'idx': 18, 'roi': 171, 'flags': 8}","{'pt': 9, 'idx': 19, 'roi': 7, 'flags': 2}","{'pt': 2, 'idx': 20, 'roi': 137, 'flags': 7}","{'pt': 0, 'idx': 21, 'roi': 195, 'flags': 11}","{'pt': 10, 'idx': 22, 'roi': 173, 'flags': 3}","{'pt': 13, 'idx': 23, 'roi': 225, 'flags': 12}","{'pt': 4, 'idx': 24, 'roi': 145, 'flags': 1}","{'pt': 4, 'idx': 25, 'roi': 211, 'flags': 6}","{'pt': 6, 'idx': 26, 'roi': 86, 'flags': 1}","{'pt': 11, 'idx': 27, 'roi': 233, 'flags': 13}","{'pt': 11, 'idx': 28, 'roi': 18, 'flags': 4}","{'pt': 1, 'idx': 29, 'roi': 228, 'flags': 11}","{'pt': 8, 'idx': 30, 'roi': 72, 'flags': 15}","{'pt': 1, 'idx': 31, 'roi': 43, 'flags': 7}"
3,"{'pt': 11, 'idx': 0, 'roi': 152, 'flags': 0}","{'pt': 10, 'idx': 1, 'roi': 162, 'flags': 9}","{'pt': 10, 'idx': 2, 'roi': 158, 'flags': 13}","{'pt': 4, 'idx': 3, 'roi': 161, 'flags': 5}","{'pt': 8, 'idx': 4, 'roi': 223, 'flags': 4}","{'pt': 11, 'idx': 5, 'roi': 202, 'flags': 14}","{'pt': 13, 'idx': 6, 'roi': 18, 'flags': 7}","{'pt': 9, 'idx': 7, 'roi': 34, 'flags': 5}","{'pt': 12, 'idx': 8, 'roi': 248, 'flags': 9}","{'pt': 14, 'idx': 9, 'roi': 249, 'flags': 9}","{'pt': 12, 'idx': 10, 'roi': 242, 'flags': 5}","{'pt': 9, 'idx': 11, 'roi': 104, 'flags': 6}","{'pt': 10, 'idx': 12, 'roi': 174, 'flags': 10}","{'pt': 10, 'idx': 13, 'roi': 239, 'flags': 12}","{'pt': 12, 'idx': 14, 'roi': 198, 'flags': 14}","{'pt': 9, 'idx': 15, 'roi': 139, 'flags': 8}","{'pt': 2, 'idx': 16, 'roi': 207, 'flags': 0}","{'pt': 13, 'idx': 17, 'roi': 119, 'flags': 8}","{'pt': 6, 'idx': 18, 'roi': 2, 'flags': 12}","{'pt': 3, 'idx': 19, 'roi': 55, 'flags': 11}","{'pt': 6, 'idx': 20, 'roi': 210, 'flags': 6}","{'pt': 5, 'idx': 21, 'roi': 35, 'flags': 14}","{'pt': 5, 'idx': 22, 'roi': 209, 'flags': 9}","{'pt': 1, 'idx': 23, 'roi': 103, 'flags': 9}","{'pt': 14, 'idx': 24, 'roi': 203, 'flags': 8}","{'pt': 1, 'idx': 25, 'roi': 204, 'flags': 0}","{'pt': 5, 'idx': 26, 'roi': 229, 'flags': 15}","{'pt': 1, 'idx': 27, 'roi': 61, 'flags': 12}","{'pt': 13, 'idx': 28, 'roi': 172, 'flags': 6}","{'pt': 7, 'idx': 29, 'roi': 69, 'flags': 5}","{'pt': 2, 'idx': 30, 'roi': 237, 'flags': 6}","{'pt': 11, 'idx': 31, 'roi': 23, 'flags': 4}"
4,"{'pt': 2, 'idx': 0, 'roi': 50, 'flags': 13}","{'pt': 6, 'idx': 1, 'roi': 17, 'flags': 2}","{'pt': 3, 'idx': 2, 'roi': 222, 'flags': 0}","{'pt': 9, 'idx': 3, 'roi': 182, 'flags': 9}","{'pt': 5, 'idx': 4, 'roi': 214, 'flags': 0}","{'pt': 12, 'idx': 5, 'roi': 113, 'flags': 9}","{'pt': 14, 'idx': 6, 'roi': 66, 'flags': 12}","{'pt': 4, 'idx': 7, 'roi': 182, 'flags': 13}","{'pt': 5, 'idx': 8, 'roi': 99, 'flags': 8}","{'pt': 5, 'idx': 9, 'roi': 152, 'flags': 5}","{'pt': 5, 'idx': 10, 'roi': 166, 'flags': 3}","{'pt': 8, 'idx': 11, 'roi': 244, 'flags': 15}","{'pt': 4, 'idx': 12, 'roi': 117, 'flags': 3}","{'pt': 2, 'idx': 13, 'roi': 93, 'flags': 6}","{'pt': 7, 'idx': 14, 'roi': 95, 'flags': 11}","{'pt': 8, 'idx': 15, 'roi': 246, 'flags': 15}","{'pt': 12, 'idx': 16, 'roi': 195, 'flags': 10}","{'pt': 4, 'idx': 17, 'roi': 155, 'flags': 8}","{'pt': 5, 'idx': 18, 'roi': 11, 'flags': 5}","{'pt': 2, 'idx': 19, 'roi': 237, 'flags': 0}","{'pt': 5, 'idx': 20, 'roi': 244, 'flags': 10}","{'pt': 0, 'idx': 21, 'roi': 156, 'flags': 4}","{'pt': 10, 'idx': 22, 'roi': 187, 'flags': 14}","{'pt': 7, 'idx': 23, 'roi': 252, 'flags': 2}","{'pt': 4, 'idx': 24, 'roi': 128, 'flags': 15}","{'pt': 2, 'idx': 25, 'roi': 17, 'flags': 7}","{'pt': 4, 'idx': 26, 'roi': 210, 'flags': 4}","{'pt': 13, 'idx': 27, 'roi': 98, 'flags': 10}","{'pt': 9, 'idx': 28, 'roi': 188, 'flags': 8}","{'pt': 12, 'idx': 29, 'roi': 143, 'flags': 12}","{'pt': 0, 'idx': 30, 'roi': 70, 'flags': 14}","{'pt': 2, 'idx': 31, 'roi': 37, 'flags': 5}"
5,"{'pt': 14, 'idx': 0, 'roi': 89, 'flags': 5}","{'pt': 3, 'idx': 1, 'roi': 197, 'flags': 3}","{'pt': 0, 'idx': 2, 'roi': 16, 'flags': 3}","{'pt': 3, 'idx': 3, 'roi': 71, 'flags': 6}","{'pt': 5, 'idx': 4, 'roi': 234, 'flags': 5}","{'pt': 12, 'idx': 5, 'roi': 13, 'flags': 12}","{'pt': 12, 'idx': 6, 'roi': 44, 'flags': 3}","{'pt': 13, 'idx': 7, 'roi': 92, 'flags': 5}","{'pt': 12, 'idx': 8, 'roi': 151, 'flags': 6}","{'pt': 15, 'idx': 9, 'roi': 102, 'flags': 3}","{'pt': 6, 'idx': 10, 'roi': 216, 'flags': 6}","{'pt': 4, 'idx': 11, 'roi': 237, 'flags': 11}","{'pt': 4, 'idx': 12, 'roi': 48, 'flags': 9}","{'pt': 13, 'idx': 13, 'roi': 218, 'flags': 5}","{'pt': 5, 'idx': 14, 'roi': 155, 'flags': 10}","{'pt': 4, 'idx': 15, 'roi': 159, 'flags': 1}","{'pt': 10, 'idx': 16, 'roi': 148, 'flags': 12}","{'pt': 8, 'idx': 17, 'roi': 50, 'flags': 4}","{'pt': 8, 'idx': 18, 'roi': 86, 'flags': 5}","{'pt': 6, 'idx': 19, 'roi': 100, 'flags': 7}","{'pt': 3, 'idx': 20, 'roi': 239, 'flags': 6}","{'pt': 13, 'idx': 21, 'roi': 160, 'flags': 6}","{'pt': 11, 'idx': 22, 'roi': 199, 'flags': 0}","{'pt': 9, 'idx': 23, 'roi': 251, 'flags': 11}","{'pt': 0, 'idx': 24, 'roi': 122, 'flags': 1}","{'pt': 2, 'idx': 25, 'roi': 130, 'flags': 0}","{'pt': 6, 'idx': 26, 'roi': 102, 'flags': 7}","{'pt': 10, 'idx': 27, 'roi': 77, 'flags': 0}","{'pt': 13, 'idx': 28, 'roi': 55, 'flags': 2}","{'pt': 8, 'idx': 29, 'roi': 0, 'flags': 4}","{'pt': 2, 'idx': 30, 'roi': 104, 'flags': 15}","{'pt': 14, 'idx': 31, 'roi': 206, 'flags': 9}"
6,"{'pt': 6, 'idx': 0, 'roi': 249, 'flags': 10}","{'pt': 0, 'idx': 1, 'roi': 196, 'flags': 7}","{'pt': 8, 'idx': 2, 'roi': 82, 'flags': 6}","{'pt': 5, 'idx': 3, 'roi': 102, 'flags': 15}","{'pt': 3, 'idx': 4, 'roi': 101, 'flags': 14}","{'pt': 4, 'idx': 5, 'roi': 210, 'flags': 2}","{'pt': 1, 'idx': 6, 'roi': 174, 'flags': 9}","{'pt': 14, 'idx': 7, 'roi': 146, 'flags': 8}","{'pt': 0, 'idx': 8, 'roi': 144, 'flags': 1}","{'pt': 11, 'idx': 9, 'roi': 244, 'flags': 4}","{'pt': 4, 'idx': 10, 'roi': 251, 'flags': 3}","{'pt': 1, 'idx': 11, 'roi': 39, 'flags': 5}","{'pt': 4, 'idx': 12, 'roi': 203, 'flags': 7}","{'pt': 4, 'idx': 13, 'roi': 130, 'flags': 4}","{'pt': 4, 'idx': 14, 'roi': 237, 'flags': 14}","{'pt': 4, 'idx': 15, 'roi': 188, 'flags': 3}","{'pt': 3, 'idx': 16, 'roi': 173, 'flags': 4}","{'pt': 12, 'idx': 17, 'roi': 245, 'flags': 7}","{'pt': 1, 'idx': 18, 'roi': 145, 'flags': 14}","{'pt': 3, 'idx': 19, 'roi': 222, 'flags': 5}","{'pt': 6, 'idx': 20, 'roi': 234, 'flags': 4}","{'pt': 11, 'idx': 21, 'roi': 146, 'flags': 11}","{'pt': 3, 'idx': 22, 'roi': 101, 'flags': 9}","{'pt': 14, 'idx': 23, 'roi': 142, 'flags': 0}","{'pt': 4, 'idx': 24, 'roi': 77, 'flags': 10}","{'pt': 9, 'idx': 25, 'roi': 28, 'flags': 1}","{'pt': 8, 'idx': 26, 'roi': 132, 'flags': 10}","{'pt': 2, 'idx': 27, 'roi': 38, 'flags': 13}","{'pt': 7, 'idx': 28, 'roi': 165, 'flags': 5}","{'pt': 1, 'idx': 29, 'roi': 35, 'flags': 4}","{'pt': 13, 'idx': 30, 'roi': 26, 'flags': 6}","{'pt': 4, 'idx': 31, 'roi': 94, 'flags': 1}"
7,"{'pt': 9, 'idx': 0, 'roi': 35, 'flags': 8}","{'pt': 11, 'idx': 1, 'roi': 193, 'flags': 5}","{'pt': 10, 'idx': 2, 'roi': 42, 'flags': 12}","{'pt': 1, 'idx': 3, 'roi': 10, 'flags': 4}","{'pt': 15, 'idx': 4, 'roi': 205, 'flags': 15}","{'pt': 13, 'idx': 5, 'roi': 153, 'flags': 3}","{'pt': 8, 'idx': 6, 'roi': 103, 'flags': 9}","{'pt': 10, 'idx': 7, 'roi': 109, 'flags': 13}","{'pt': 9, 'idx': 8, 'roi': 142, 'flags': 2}","{'pt': 11, 'idx': 9, 'roi': 109, 'flags': 8}","{'pt': 10, 'idx': 10, 'roi': 75, 'flags': 6}","{'pt': 14, 'idx': 11, 'roi': 222, 'flags': 12}","{'pt': 10, 'idx': 12, 'roi': 73, 'flags': 15}","{'pt': 6, 'idx': 13, 'roi': 37, 'flags': 5}","{'pt': 6, 'idx': 14, 'roi': 68, 'flags': 12}","{'pt': 10, 'idx': 15, 'roi': 129, 'flags': 3}","{'pt': 15, 'idx': 16, 'roi': 118, 'flags': 4}","{'pt': 11, 'idx': 17, 'roi': 149, 'flags': 14}","{'pt': 5, 'idx': 18, 'roi': 140, 'flags': 0}","{'pt': 9, 'idx': 19, 'roi': 95, 'flags': 13}","{'pt': 1, 'idx': 20, 'roi': 123, 'flags': 9}","{'pt': 11, 'idx': 21, 'roi': 88, 'flags': 13}","{'pt': 0, 'idx': 22, 'roi': 160, 'flags': 1}","{'pt': 7, 'idx': 23, 'roi': 95, 'flags': 11}","{'pt': 14, 'idx': 24, 'roi': 91, 'flags': 12}","{'pt': 12, 'idx': 25, 'roi': 112, 'flags': 2}","{'pt': 15, 'idx': 26, 'roi': 2, 'flags': 0}","{'pt': 2, 'idx': 27, 'roi': 20, 'flags': 13}","{'pt': 7, 'idx': 28, 'roi': 166, 'flags': 13}","{'pt': 3, 'idx': 29, 'roi': 174, 'flags': 12}","{'pt': 0, 'idx': 30, 'roi': 87, 'flags': 5}","{'pt': 12, 'idx': 31, 'roi': 217, 'flags': 4}"
8,"{'pt': 11, 'idx': 0, 'roi': 71, 'flags': 6}","{'pt': 0, 'idx': 1, 'roi': 255, 'flags': 14}","{'pt': 3, 'idx': 2, 'roi': 80, 'flags': 12}","{'pt': 4, 'idx': 3, 'roi': 102, 'flags': 0}","{'pt': 1, 'idx': 4, 'roi': 27, 'flags': 10}","{'pt': 15, 'idx': 5, 'roi': 85, 'flags': 14}","{'pt': 5, 'idx': 6, 'roi': 131, 'flags': 3}","{'pt': 10, 'idx': 7, 'roi': 219, 'flags': 5}","{'pt': 11, 'idx': 8, 'roi': 117, 'flags': 8}","{'pt': 0, 'idx': 9, 'roi': 148, 'flags': 5}","{'pt': 14, 'idx': 10, 'roi': 202, 'flags': 11}","{'pt': 4, 'idx': 11, 'roi': 186, 'flags': 13}","{'pt': 2, 'idx': 12, 'roi': 39, 'flags': 9}","{'pt': 3, 'idx': 13, 'roi': 103, 'flags': 0}","{'pt': 2, 'idx': 14, 'roi': 122, 'flags': 6}","{'pt': 0, 'idx': 15, 'roi': 112, 'flags': 0}","{'pt': 6, 'idx': 16, 'roi': 189, 'flags': 15}","{'pt': 1, 'idx': 17, 'roi': 153, 'flags': 1}","{'pt': 4, 'idx': 18, 'roi': 241, 'flags': 7}","{'pt': 14, 'idx': 19, 'roi': 13, 'flags': 0}","{'pt': 14, 'idx': 20, 'roi': 157, 'flags': 1}","{'pt': 12, 'idx': 21, 'roi': 191, 'flags': 14}","{'pt': 0, 'idx': 22, 'roi': 119, 'flags': 11}","{'pt': 6, 'idx': 23, 'roi': 24, 'flags': 9}","{'pt': 8, 'idx': 24, 'roi': 166, 'flags': 1}","{'pt': 5, 'idx': 25, 'roi': 244, 'flags': 7}","{'pt': 9, 'idx': 26, 'roi': 45, 'flags': 2}","{'pt': 13, 'idx': 27, 'roi': 72, 'flags': 14}","{'pt': 6, 'idx': 28, 'roi': 136, 'flags': 8}","{'pt': 4, 'idx': 29, 'roi': 178, 'flags': 1}","{'pt': 5, 'idx': 30, 'roi': 247, 'flags': 2}","{'pt': 2, 'idx': 31, 'roi': 167, 'flags': 6}"
9,"{'pt': 3, 'idx': 0, 'roi': 130, 'flags': 0}","{'pt': 11, 'idx': 1, 'roi': 253, 'flags': 12}","{'pt': 3, 'idx': 2, 'roi': 58, 'flags': 12}","{'pt': 6, 'idx': 3, 'roi': 16, 'flags': 3}","{'pt': 0, 'idx': 4, 'roi': 104, 'flags': 11}","{'pt': 0, 'idx': 5, 'roi': 64, 'flags': 13}","{'pt': 15, 'idx': 6, 'roi': 119, 'flags': 0}","{'pt': 9, 'idx': 7, 'roi': 189, 'flags': 14}","{'pt': 13, 'idx': 8, 'roi': 246, 'flags': 4}","{'pt': 15, 'idx': 9, 'roi': 135, 'flags': 7}","{'pt': 2, 'idx': 10, 'roi': 89, 'flags': 11}","{'pt': 11, 'idx': 11, 'roi': 30, 'flags': 15}","{'pt': 13, 'idx': 12, 'roi': 138, 'flags': 4}","{'pt': 7, 'idx': 13, 'roi': 241, 'flags': 10}","{'pt': 0, 'idx': 14, 'roi': 181, 'flags': 1}","{'pt': 14, 'idx': 15, 'roi': 74, 'flags': 11}","{'pt': 8, 'idx': 16, 'roi': 196, 'flags': 13}","{'pt': 2, 'idx': 17, 'roi': 221, 'flags': 2}","{'pt': 14, 'idx': 18, 'roi': 148, 'flags': 9}","{'pt': 9, 'idx': 19, 'roi': 80, 'flags': 6}","{'pt': 5, 'idx': 20, 'roi': 136, 'flags': 5}","{'pt': 8, 'idx': 21, 'roi': 107, 'flags': 12}","{'pt': 12, 'idx': 22, 'roi': 0, 'flags': 6}","{'pt': 8, 'idx': 23, 'roi': 64, 'flags': 10}","{'pt': 3, 'idx': 24, 'roi': 166, 'flags': 15}","{'pt': 4, 'idx': 25, 'roi': 181, 'flags': 11}","{'pt': 11, 'idx': 26, 'roi': 168, 'flags': 7}","{'pt': 11, 'idx': 27, 'roi': 138, 'flags': 2}","{'pt': 3, 'idx': 28, 'roi': 25, 'flags': 9}","{'pt': 9, 'idx': 29, 'roi': 199, 'flags': 1}","{'pt': 12, 'idx': 30, 'roi': 71, 'flags': 8}","{'pt': 8, 'idx': 31, 'roi': 149, 'flags': 15}"
