,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"{'pt': 2, 'idx': 0}","{'pt': 5, 'idx': 1}","{'pt': 12, 'idx': 2}","{'pt': 8, 'idx': 3}","{'pt': 1, 'idx': 4}","{'pt': 2, 'idx': 5}","{'pt': 4, 'idx': 6}","{'pt': 15, 'idx': 7}","{'pt': 11, 'idx': 8}","{'pt': 10, 'idx': 9}","{'pt': 8, 'idx': 10}","{'pt': 9, 'idx': 11}","{'pt': 14, 'idx': 12}","{'pt': 15, 'idx': 13}","{'pt': 7, 'idx': 14}","{'pt': 15, 'idx': 15}","{'pt': 14, 'idx': 16}","{'pt': 2, 'idx': 17}","{'pt': 11, 'idx': 18}","{'pt': 14, 'idx': 19}","{'pt': 4, 'idx': 20}","{'pt': 10, 'idx': 21}","{'pt': 10, 'idx': 22}","{'pt': 15, 'idx': 23}","{'pt': 15, 'idx': 24}","{'pt': 9, 'idx': 25}","{'pt': 1, 'idx': 26}","{'pt': 9, 'idx': 27}","{'pt': 2, 'idx': 28}","{'pt': 11, 'idx': 29}","{'pt': 13, 'idx': 30}","{'pt': 13, 'idx': 31}"
1,"{'pt': 0, 'idx': 0}","{'pt': 10, 'idx': 1}","{'pt': 2, 'idx': 2}","{'pt': 7, 'idx': 3}","{'pt': 15, 'idx': 4}","{'pt': 5, 'idx': 5}","{'pt': 4, 'idx': 6}","{'pt': 15, 'idx': 7}","{'pt': 0, 'idx': 8}","{'pt': 9, 'idx': 9}","{'pt': 10, 'idx': 10}","{'pt': 10, 'idx': 11}","{'pt': 1, 'idx': 12}","{'pt': 2, 'idx': 13}","{'pt': 14, 'idx': 14}","{'pt': 8, 'idx': 15}","{'pt': 0, 'idx': 16}","{'pt': 14, 'idx': 17}","{'pt': 6, 'idx': 18}","{'pt': 15, 'idx': 19}","{'pt': 0, 'idx': 20}","{'pt': 8, 'idx': 21}","{'pt': 10, 'idx': 22}","{'pt': 1, 'idx': 23}","{'pt': 3, 'idx': 24}","{'pt': 11, 'idx': 25}","{'pt': 5, 'idx': 26}","{'pt': 0, 'idx': 27}","{'pt': 3, 'idx': 28}","{'pt': 12, 'idx': 29}","{'pt': 10, 'idx': 30}","{'pt': 9, 'idx': 31}"
2,"{'pt': 6, 'idx': 0}","{'pt': 3, 'idx': 1}","{'pt': 1, 'idx': 2}","{'pt': 7, 'idx': 3}","{'pt': 3, 'idx': 4}","{'pt': 12, 'idx': 5}","{'pt': 6, 'idx': 6}","{'pt': 5, 'idx': 7}","{'pt': 5, 'idx': 8}","{'pt': 9, 'idx': 9}","{'pt': 8, 'idx': 10}","{'pt': 12, 'idx': 11}","{'pt': 4, 'idx': 12}","{'pt': 5, 'idx': 13}","{'pt': 5, 'idx': 14}","{'pt': 6, 'idx': 15}","{'pt': 11, 'idx': 16}","{'pt': 9, 'idx': 17}","{'pt': 9, 'idx': 18}","{'pt': 2, 'idx': 19}","{'pt': 5, 'idx': 20}","{'pt': 6, 'idx': 21}","{'pt': 10, 'idx': 22}","{'pt': 11, 'idx': 23}","{'pt': 6, 'idx': 24}","{'pt': 4, 'idx': 25}","{'pt': 6, 'idx': 26}","{'pt': 10, 'idx': 27}","{'pt': 6, 'idx': 28}","{'pt': 10, 'idx': 29}","{'pt': 1, 'idx': 30}","{'pt': 1, 'idx': 31}"
3,"{'pt': 1, 'idx': 0}","{'pt': 7, 'idx': 1}","{'pt': 4, 'idx': 2}","{'pt': 2, 'idx': 3}","{'pt': 8, 'idx': 4}","{'pt': 5, 'idx': 5}","{'pt': 4, 'idx': 6}","{'pt': 15, 'idx': 7}","{'pt': 11, 'idx': 8}","{'pt': 1, 'idx': 9}","{'pt': 0, 'idx': 10}","{'pt': 14, 'idx': 11}","{'pt': 6, 'idx': 12}","{'pt': 0, 'idx': 13}","{'pt': 11, 'idx': 14}","{'pt': 12, 'idx': 15}","{'pt': 12, 'idx': 16}","{'pt': 10, 'idx': 17}","{'pt': 15, 'idx': 18}","{'pt': 12, 'idx': 19}","{'pt': 10, 'idx': 20}","{'pt': 3, 'idx': 21}","{'pt': 2, 'idx': 22}","{'pt': 10, 'idx': 23}","{'pt': 9, 'idx': 24}","{'pt': 15, 'idx': 25}","{'pt': 7, 'idx': 26}","{'pt': 9, 'idx': 27}","{'pt': 3, 'idx': 28}","{'pt': 15, 'idx': 29}","{'pt': 4, 'idx': 30}","{'pt': 0, 'idx': 31}"
4,"{'pt': 12, 'idx': 0}","{'pt': 6, 'idx': 1}","{'pt': 4, 'idx': 2}","{'pt': 9, 'idx': 3}","{'pt': 9, 'idx': 4}","{'pt': 3, 'idx': 5}","{'pt': 2, 'idx': 6}","{'pt': 3, 'idx': 7}","{'pt': 1, 'idx': 8}","{'pt': 13, 'idx': 9}","{'pt': 11, 'idx': 10}","{'pt': 5, 'idx': 11}","{'pt': 2, 'idx': 12}","{'pt': 2, 'idx': 13}","{'pt': 14, 'idx': 14}","{'pt': 4, 'idx': 15}","{'pt': 3, 'idx': 16}","{'pt': 0, 'idx': 17}","{'pt': 6, 'idx': 18}","{'pt': 14, 'idx': 19}","{'pt': 0, 'idx': 20}","{'pt': 13, 'idx': 21}","{'pt': 8, 'idx': 22}","{'pt': 2, 'idx': 23}","{'pt': 13, 'idx': 24}","{'pt': 15, 'idx': 25}","{'pt': 6, 'idx': 26}","{'pt': 0, 'idx': 27}","{'pt': 4, 'idx': 28}","{'pt': 13, 'idx': 29}","{'pt': 9, 'idx': 30}","{'pt': 12, 'idx': 31}"
5,"{'pt': 4, 'idx': 0}","{'pt': 14, 'idx': 1}","{'pt': 5, 'idx': 2}","{'pt': 0, 'idx': 3}","{'pt': 5, 'idx': 4}","{'pt': 4, 'idx': 5}","{'pt': 6, 'idx': 6}","{'pt': 8, 'idx': 7}","{'pt': 9, 'idx': 8}","{'pt': 0, 'idx': 9}","{'pt': 1, 'idx': 10}","{'pt': 13, 'idx': 11}","{'pt': 10, 'idx': 12}","{'pt': 14, 'idx': 13}","{'pt': 8, 'idx': 14}","{'pt': 13, 'idx': 15}","{'pt': 6, 'idx': 16}","{'pt': 8, 'idx': 17}","{'pt': 13, 'idx': 18}","{'pt': 9, 'idx': 19}","{'pt': 3, 'idx': 20}","{'pt': 8, 'idx': 21}","{'pt': 3, 'idx': 22}","{'pt': 7, 'idx': 23}","{'pt': 8, 'idx': 24}","{'pt': 13, 'idx': 25}","{'pt': 3, 'idx': 26}","{'pt': 0, 'idx': 27}","{'pt': 0, 'idx': 28}","{'pt': 5, 'idx': 29}","{'pt': 4, 'idx': 30}","{'pt': 2, 'idx': 31}"
6,"{'pt': 7, 'idx': 0}","{'pt': 1, 'idx': 1}","{'pt': 11, 'idx': 2}","{'pt': 4, 'idx': 3}","{'pt': 6, 'idx': 4}","{'pt': 0, 'idx': 5}","{'pt': 13, 'idx': 6}","{'pt': 9, 'idx': 7}","{'pt': 13, 'idx': 8}","{'pt': 9, 'idx': 9}","{'pt': 10, 'idx': 10}","{'pt': 1, 'idx': 11}","{'pt': 10, 'idx': 12}","{'pt': 4, 'idx': 13}","{'pt': 10, 'idx': 14}","{'pt': 14, 'idx': 15}","{'pt': 4, 'idx': 16}","{'pt': 0, 'idx': 17}","{'pt': 2, 'idx': 18}","{'pt': 13, 'idx': 19}","{'pt': 9, 'idx': 20}","{'pt': 9, 'idx': 21}","{'pt': 7, 'idx': 22}","{'pt': 12, 'idx': 23}","{'pt': 0, 'idx': 24}","{'pt': 15, 'idx': 25}","{'pt': 0, 'idx': 26}","{'pt': 5, 'idx': 27}","{'pt': 15, 'idx': 28}","{'pt': 7, 'idx': 29}","{'pt': 2, 'idx': 30}","{'pt': 7, 'idx': 31}"
7,"{'pt': 11, 'idx': 0}","{'pt': 7, 'idx': 1}","{'pt': 5, 'idx': 2}","{'pt': 14, 'idx': 3}","{'pt': 2, 'idx': 4}","{'pt': 1, 'idx': 5}","{'pt': 13, 'idx': 6}","{'pt': 10, 'idx': 7}","{'pt': 14, 'idx': 8}","{'pt': 13, 'idx': 9}","{'pt': 2, 'idx': 10}","{'pt': 7, 'idx': 11}","{'pt': 9, 'idx': 12}","{'pt': 1, 'idx': 13}","{'pt': 2, 'idx': 14}","{'pt': 5, 'idx': 15}","{'pt': 4, 'idx': 16}","{'pt': 7, 'idx': 17}","{'pt': 0, 'idx': 18}","{'pt': 15, 'idx': 19}","{'pt': 1, 'idx': 20}","{'pt': 7, 'idx': 21}","{'pt': 9, 'idx': 22}","{'pt': 14, 'idx': 23}","{'pt': 14, 'idx': 24}","{'pt': 2, 'idx': 25}","{'pt': 6, 'idx': 26}","{'pt': 5, 'idx': 27}","{'pt': 6, 'idx': 28}","{'pt': 11, 'idx': 29}","{'pt': 11, 'idx': 30}","{'pt': 4, 'idx': 31}"
8,"{'pt': 1, 'idx': 0}","{'pt': 15, 'idx': 1}","{'pt': 10, 'idx': 2}","{'pt': 15, 'idx': 3}","{'pt': 5, 'idx': 4}","{'pt': 15, 'idx': 5}","{'pt': 8, 'idx': 6}","{'pt': 14, 'idx': 7}","{'pt': 8, 'idx': 8}","{'pt': 10, 'idx': 9}","{'pt': 10, 'idx': 10}","{'pt': 4, 'idx': 11}","{'pt': 9, 'idx': 12}","{'pt': 9, 'idx': 13}","{'pt': 10, 'idx': 14}","{'pt': 6, 'idx': 15}","{'pt': 1, 'idx': 16}","{'pt': 10, 'idx': 17}","{'pt': 8, 'idx': 18}","{'pt': 5, 'idx': 19}","{'pt': 11, 'idx': 20}","{'pt': 0, 'idx': 21}","{'pt': 7, 'idx': 22}","{'pt': 12, 'idx': 23}","{'pt': 9, 'idx': 24}","{'pt': 7, 'idx': 25}","{'pt': 3, 'idx': 26}","{'pt': 13, 'idx': 27}","{'pt': 2, 'idx': 28}","{'pt': 7, 'idx': 29}","{'pt': 8, 'idx': 30}","{'pt': 8, 'idx': 31}"
9,"{'pt': 0, 'idx': 0}","{'pt': 2, 'idx': 1}","{'pt': 7, 'idx': 2}","{'pt': 8, 'idx': 3}","{'pt': 5, 'idx': 4}","{'pt': 5, 'idx': 5}","{'pt': 15, 'idx': 6}","{'pt': 4, 'idx': 7}","{'pt': 13, 'idx': 8}","{'pt': 7, 'idx': 9}","{'pt': 2, 'idx': 10}","{'pt': 7, 'idx': 11}","{'pt': 1, 'idx': 12}","{'pt': 9, 'idx': 13}","{'pt': 5, 'idx': 14}","{'pt': 15, 'idx': 15}","{'pt': 12, 'idx': 16}","{'pt': 0, 'idx': 17}","{'pt': 10, 'idx': 18}","{'pt': 8, 'idx': 19}","{'pt': 0, 'idx': 20}","{'pt': 7, 'idx': 21}","{'pt': 9, 'idx': 22}","{'pt': 14, 'idx': 23}","{'pt': 6, 'idx': 24}","{'pt': 11, 'idx': 25}","{'pt': 10, 'idx': 26}","{'pt': 8, 'idx': 27}","{'pt': 9, 'idx': 28}","{'pt': 0, 'idx': 29}","{'pt': 6, 'idx': 30}","{'pt': 5, 'idx': 31}"
