Implementation,LUTs,FFs,Logic Levels,LL-1,LL+1,High Fanout,HF-1,HF+1,Cumulative Fanout,CF-1,CF+1,Routes,Routes-1,Routes+1,Requirement,Req-1,Req+1,Path Delay,PD-1,PD+1,Slack,Slack-1,Slack+1,Logic Delay,LD-1,LD+1,Net Delay,ND-1,ND+1
../syn/I004_O004_D000_CSN_VHDL-freq320retfan10000,81,0,6,0,0,20,2,1,41,2,1,6,1,1,3.125,0.000,0.000,2.200,0.546,0.391,0.787,inf,inf,0.840(39%),0.096(18%),0.096(25%),1.360(61%),0.450(82%),0.295(75%)
../syn/I004_O004_D001_CSN_VHDL-freq320retfan10000,104,52,6,0,0,21,2,1,68,2,1,6,1,1,3.125,0.000,3.125,2.320,1.473,0.557,0.679,inf,2.532,0.644(28%),0.096(7%),0.094(17%),1.676(72%),1.377(93%),0.463(83%)
../syn/I004_O004_D002_CSN_VHDL-freq320retfan10000,104,104,6,0,0,20,2,1,50,2,1,6,1,1,3.125,0.000,3.125,2.134,0.367,0.473,0.874,inf,2.614,0.818(39%),0.094(26%),0.096(21%),1.316(61%),0.273(74%),0.377(79%)
../syn/I004_O004_D003_CSN_VHDL-freq320retfan10000,139,52,6,0,0,20,2,1,64,2,1,7,1,0,3.125,0.000,3.125,2.424,0.517,0.562,0.613,inf,2.480,0.860(36%),0.098(19%),0.480(86%),1.564(64%),0.419(81%),0.082(14%)
../syn/I004_O004_D004_CSN_VHDL-freq320retfan10000,142,72,6,0,0,22,2,1,52,2,1,6,1,1,3.125,0.000,3.125,2.118,1.274,0.419,0.913,inf,2.596,0.700(34%),0.096(8%),0.094(23%),1.418(66%),1.178(92%),0.325(77%)
../syn/I016_O002_D000-freq160retfan10000,637,0,11,0,0,38,1,1,86,1,1,11,1,1,6.250,6.250,6.250,5.015,0.479,0.469,1.129,5.752,5.731,1.229(25%),0.096(21%),0.096(21%),3.786(75%),0.383(79%),0.373(79%)
../syn/I016_O002_D000-freq160retfan16,675,0,11,0,0,20,1,1,68,1,1,11,1,1,6.250,6.250,6.250,4.714,0.318,0.389,1.397,5.913,5.823,1.353(29%),0.094(30%),0.096(25%),3.361(71%),0.224(70%),0.293(75%)
../syn/I016_O002_D000-freq320retfan10000,735,0,9,0,0,35,2,1,73,2,1,9,1,1,3.125,3.125,3.125,3.419,0.588,0.703,-0.345,2.415,2.223,0.831(25%),0.096(17%),0.096(14%),2.588(75%),0.492(83%),0.607(86%)
../syn/I016_O002_D000-freq320retfan16,798,0,10,0,0,18,1,1,45,1,1,10,1,1,3.125,3.125,3.125,3.556,0.805,0.897,-0.460,2.208,2.016,1.229(35%),0.097(13%),0.097(11%),2.327(65%),0.708(87%),0.800(89%)
../syn/I016_O002_D000-freq80retfan10000,637,0,10,0,0,37,1,1,81,1,1,10,1,1,12.500,12.500,12.500,5.909,0.492,0.386,6.505,11.989,12.083,1.169(20%),0.096(20%),0.096(25%),4.740(80%),0.396(80%),0.290(75%)
