Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar  5 19:38:50 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------------+--------+-------------+
| Net Name                                                               | Fanout | Driver Type |
+------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_1z            |     29 | LUT5        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_1             |     27 | LUT5        |
| dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_0             |     22 | LUT6        |
| dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_d_0             |     22 | LUT6        |
| shift_reg_tap_i/input_slr[29]                                          |     22 | FDRE        |
| shift_reg_tap_i/input_slr[42]                                          |     22 | FDRE        |
| dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_2             |     21 | LUT6        |
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_2_0           |     20 | LUT6        |
| dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/un1_b_i_c2_1                  |     20 | LUT6        |
| shift_reg_tap_i/input_slr[16]                                          |     18 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                           |     18 | FDRE        |
| shift_reg_tap_i/input_slr[28]                                          |     10 | FDRE        |
| shift_reg_tap_i/input_slr[41]                                          |     10 | FDRE        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_3[2]                       |      8 | LUT4        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_3[3]                       |      8 | LUT2        |
| shift_reg_tap_i/input_slr[14]                                          |      7 | FDRE        |
| shift_reg_tap_i/input_slr[15]                                          |      7 | FDRE        |
| shift_reg_tap_i/input_slr[1]                                           |      7 | FDRE        |
| shift_reg_tap_i/input_slr[2]                                           |      7 | FDRE        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_4[2]                       |      5 | LUT4        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_5[2]                       |      5 | LUT4        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_6[2]                       |      5 | LUT4        |
| shift_reg_tap_i/input_slr[27]                                          |      5 | FDRE        |
| shift_reg_tap_i/input_slr[40]                                          |      5 | FDRE        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_5[3]                       |      4 | LUT2        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_6[1]                       |      4 | LUT6        |
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt_6_3                        |      4 | LUT4        |
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt_7[2]                       |      4 | LUT6        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_3[1]                       |      3 | LUT6        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_5_0                        |      3 | LUT6        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_6_0                        |      3 | LUT6        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_5[1]                       |      3 | LUT6        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_7_0                        |      3 | LUT6        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_8_0                        |      3 | LUT6        |
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt_10_0                       |      3 | LUT5        |
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt_7[1]                       |      3 | LUT4        |
| dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/pt_9_0                        |      3 | LUT5        |
| lsfr_1/input_vector[50]                                                |      3 | FDRE        |
| shift_reg_tap_i/input_slr[0]                                           |      3 | FDRE        |
| shift_reg_tap_i/input_slr[10]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[11]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[12]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[13]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[17]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[18]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[19]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[20]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[21]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[22]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[23]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[24]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[25]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[26]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[30]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[31]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[32]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[33]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[34]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[35]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[36]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[37]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[38]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[39]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[43]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[44]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[45]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[46]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[47]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[48]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[49]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[4]                                           |      3 | FDRE        |
| shift_reg_tap_i/input_slr[50]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[51]                                          |      3 | FDRE        |
| shift_reg_tap_i/input_slr[5]                                           |      3 | FDRE        |
| shift_reg_tap_i/input_slr[6]                                           |      3 | FDRE        |
| shift_reg_tap_i/input_slr[7]                                           |      3 | FDRE        |
