Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Apr  9 19:12:14 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn_sel
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+---------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                        | Fanout | Driver Type |
+---------------------------------------------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[19]                                                   |     25 | FDRE        |
| shift_reg_tap_i/input_slr[23]                                                   |     25 | FDRE        |
| shift_reg_tap_i/input_slr[27]                                                   |     25 | FDRE        |
| shift_reg_tap_i/input_slr[31]                                                   |     25 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                                    |     23 | FDRE        |
| shift_reg_tap_i/input_slr[7]                                                    |     23 | FDRE        |
| dut_inst/dut_inst/stage_g.1.pair_g.2.csn_cmp_inst/idx_4_0                       |     21 | LUT6        |
| shift_reg_tap_i/input_slr[11]                                                   |     19 | FDRE        |
| shift_reg_tap_i/input_slr[15]                                                   |     19 | FDRE        |
| dut_inst/dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/idx[1]                        |     14 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/pt_11[1]                      |     13 | LUT6        |
| dut_inst/dut_inst/stage_g.2.pair_g.1.csn_cmp_inst/N_19                          |     13 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/pt_10_0                       |     12 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/pt_11[2]                      |     12 | LUT4        |
| dut_inst/dut_inst/stage_g.3.pair_g.0.csn_cmp_inst/N_14                          |     12 | LUT6        |
| dut_inst/dut_inst/stage_g.3.pair_g.0.csn_cmp_inst/N_15                          |     12 | LUT6        |
| shift_reg_tap_i/input_slr[10]                                                   |     12 | FDRE        |
| shift_reg_tap_i/input_slr[14]                                                   |     12 | FDRE        |
| shift_reg_tap_i/input_slr[2]                                                    |     12 | FDRE        |
| shift_reg_tap_i/input_slr[6]                                                    |     12 | FDRE        |
| dut_inst/dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_0_0                        |     11 | LUT2        |
| dut_inst/dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_1_0                        |     11 | LUT4        |
| dut_inst/dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_2[1]                       |     11 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.2.csn_cmp_inst/pt_12[2]                      |     11 | LUT4        |
| dut_inst/dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/N_20                          |     11 | LUT5        |
| dut_inst/dut_inst/stage_g.0.pair_g.2.csn_cmp_inst/pt_12[0]                      |     10 | LUT6        |
| shift_reg_tap_i/input_slr[17]                                                   |     10 | FDRE        |
| shift_reg_tap_i/input_slr[18]                                                   |     10 | FDRE        |
| shift_reg_tap_i/input_slr[21]                                                   |     10 | FDRE        |
| shift_reg_tap_i/input_slr[22]                                                   |     10 | FDRE        |
| dut_inst/dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_1_0                        |      9 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_2[0]                       |      9 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.2.csn_cmp_inst/pt_12[1]                      |      9 | LUT6        |
| dut_inst/dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/N_21                          |      9 | LUT6        |
| dut_inst/dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/N_22                          |      9 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_1_1                        |      8 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.2.csn_cmp_inst/idx_6_0                       |      8 | LUT6        |
| dut_inst/dut_inst/stage_g.2.pair_g.1.csn_cmp_inst/N_17                          |      8 | LUT5        |
| dut_inst/dut_inst/stage_g.3.pair_g.2.csn_cmp_inst/N_24                          |      8 | LUT5        |
| shift_reg_tap_i/input_slr[1]                                                    |      8 | FDRE        |
| shift_reg_tap_i/input_slr[5]                                                    |      8 | FDRE        |
| dut_inst/dut_inst/stage_g.3.pair_g.2.csn_cmp_inst/N_23                          |      7 | LUT5        |
| shift_reg_tap_i/input_slr[13]                                                   |      7 | FDRE        |
| shift_reg_tap_i/input_slr[26]                                                   |      7 | FDRE        |
| shift_reg_tap_i/input_slr[30]                                                   |      7 | FDRE        |
| shift_reg_tap_i/input_slr[9]                                                    |      7 | FDRE        |
| dut_inst/dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_2[2]                       |      6 | LUT4        |
| dut_inst/dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/pt_8_0                        |      6 | LUT5        |
| dut_inst/dut_inst/stage_g.1.pair_g.3.csn_cmp_inst/pt_9_0                        |      6 | LUT5        |
| dut_inst/dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/pt_6[1]                       |      6 | LUT6        |
| dut_inst/dut_inst/stage_g.2.pair_g.1.csn_cmp_inst/pt_5[1]                       |      6 | LUT6        |
| dut_inst/dut_inst/stage_g.3.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_1             |      6 | LUT5        |
| dut_inst/dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_1z            |      6 | LUT4        |
| dut_inst/dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_0_ac0_5_0             |      6 | LUT5        |
| dut_inst/dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_1_ac0_5_0             |      6 | LUT5        |
| dut_inst/dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_3[0]                       |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_3[2]                       |      5 | LUT4        |
| dut_inst/dut_inst/stage_g.0.pair_g.2.csn_cmp_inst/pt_11_0                       |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt[3]                         |      5 | LUT4        |
| dut_inst/dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt_4_0                        |      5 | LUT4        |
| dut_inst/dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_0             |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_d_0             |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_0_5           |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.1.pair_g.2.csn_cmp_inst/pt_7_0                        |      5 | LUT5        |
| dut_inst/dut_inst/stage_g.1.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_0_6           |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.2.pair_g.1.csn_cmp_inst/N_18                          |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.3.pair_g.0.csn_cmp_inst/pt_10_3                       |      5 | LUT6        |
| dut_inst/dut_inst/stage_g.3.pair_g.2.csn_cmp_inst/N_25                          |      5 | LUT6        |
| shift_reg_tap_i/input_slr[25]                                                   |      5 | FDRE        |
| shift_reg_tap_i/input_slr[29]                                                   |      5 | FDRE        |
| shift_reg_tap_i/input_slr[8]                                                    |      5 | FDRE        |
| dut_inst/dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/idx_0_0                       |      4 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/pt_3[1]                       |      4 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_13[1]                      |      4 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_14_0                       |      4 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.2.csn_cmp_inst/pt_7_0                        |      4 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/idx_7_0                       |      4 | LUT5        |
| dut_inst/dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/pt_13_0                       |      4 | LUT6        |
| dut_inst/dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/pt_7_0                        |      4 | LUT4        |
| dut_inst/dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/pt_8_0                        |      4 | LUT6        |
| dut_inst/dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt[0]                         |      4 | LUT5        |
| dut_inst/dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/pt_0[0]                       |      4 | LUT5        |
| dut_inst/dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/pt_15[1]                      |      4 | LUT4        |
| dut_inst/dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/pt_15[2]                      |      4 | LUT6        |
