Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb  6 17:13:33 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------+--------+-------------+
| Net Name                                 | Fanout | Driver Type |
+------------------------------------------+--------+-------------+
| muon_cand_1.pt[3]                        |     22 | FDRE        |
| muon_cand_0.pt[3]                        |     21 | FDRE        |
| muon_cand_10.pt[1]                       |     21 | FDRE        |
| muon_cand_6.pt[3]                        |     21 | FDRE        |
| muon_cand_14.pt[1]                       |     20 | FDRE        |
| muon_cand_2.pt[3]                        |     20 | FDRE        |
| muon_cand_3.pt[1]                        |     20 | FDRE        |
| muon_cand_5.pt[1]                        |     20 | FDRE        |
| muon_cand_6.pt[2]                        |     19 | FDRE        |
| muon_cand_10.pt[2]                       |     18 | FDRE        |
| muon_cand_15.pt[1]                       |     18 | FDRE        |
| muon_cand_15.pt[2]                       |     18 | FDRE        |
| muon_cand_15.pt[3]                       |     18 | FDRE        |
| muon_cand_4.pt[3]                        |     18 | FDRE        |
| muon_cand_5.pt[3]                        |     18 | FDRE        |
| muon_cand_6.pt[1]                        |     18 | FDRE        |
| muon_cand_7.pt[2]                        |     18 | FDRE        |
| muon_cand_7.pt[3]                        |     18 | FDRE        |
| muon_cand_8.pt[1]                        |     18 | FDRE        |
| muon_cand_9.pt[2]                        |     18 | FDRE        |
| muon_cand_9.pt[3]                        |     18 | FDRE        |
| muon_cand_0.pt[0]                        |     17 | FDRE        |
| muon_cand_0.pt[1]                        |     17 | FDRE        |
| muon_cand_0.pt[2]                        |     17 | FDRE        |
| muon_cand_1.pt[0]                        |     17 | FDRE        |
| muon_cand_1.pt[1]                        |     17 | FDRE        |
| muon_cand_1.pt[2]                        |     17 | FDRE        |
| muon_cand_10.pt[0]                       |     17 | FDRE        |
| muon_cand_10.pt[3]                       |     17 | FDRE        |
| muon_cand_11.pt[0]                       |     17 | FDRE        |
| muon_cand_11.pt[1]                       |     17 | FDRE        |
| muon_cand_11.pt[2]                       |     17 | FDRE        |
| muon_cand_11.pt[3]                       |     17 | FDRE        |
