Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb  6 16:39:12 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------+--------+-------------+
| Net Name                          | Fanout | Driver Type |
+-----------------------------------+--------+-------------+
| muon_sorter_1/pt_ret_105          |     40 | FDRE        |
| muon_sorter_1/N_5_0               |     37 | LUT6        |
| muon_sorter_1/N_1_0               |     34 | LUT6        |
| muon_sorter_1/N_3_0               |     34 | LUT6        |
| muon_sorter_1/N_2_0               |     33 | LUT6        |
| muon_sorter_1/N_4_0               |     33 | LUT6        |
| muon_sorter_1/pt_ret_106          |     26 | FDRE        |
| muon_sorter_1/pt_ret_107          |     25 | FDRE        |
| muon_sorter_1/pt_ret_104          |     23 | FDRE        |
| muon_sorter_1/pt_ret_108          |     23 | FDRE        |
| muon_sorter_1/pt_ret_103          |     21 | FDRE        |
| muon_sorter_1/pt_ret_109          |     21 | FDRE        |
| muon_sorter_1/N_163_0             |     20 | LUT6        |
| muon_sorter_1/pt_ret_1            |     19 | FDRE        |
| muon_sorter_1/pt_ret_110          |     19 | FDRE        |
| muon_sorter_1/un2248_pt_compare_o |     19 | FDRE        |
| muon_sorter_1/N_227_0             |     17 | LUT6        |
| muon_sorter_1/pt_ret_0            |     17 | FDRE        |
| muon_sorter_1/pt_ret_10           |     17 | FDRE        |
| muon_cand_0.pt[0]                 |     16 | FDRE        |
| muon_cand_0.pt[1]                 |     16 | FDRE        |
| muon_cand_0.pt[2]                 |     16 | FDRE        |
| muon_cand_0.pt[3]                 |     16 | FDRE        |
| muon_cand_1.pt[0]                 |     16 | FDRE        |
| muon_cand_1.pt[1]                 |     16 | FDRE        |
| muon_cand_1.pt[2]                 |     16 | FDRE        |
| muon_cand_1.pt[3]                 |     16 | FDRE        |
| muon_cand_10.pt[0]                |     16 | FDRE        |
| muon_cand_10.pt[1]                |     16 | FDRE        |
| muon_cand_10.pt[2]                |     16 | FDRE        |
| muon_cand_10.pt[3]                |     16 | FDRE        |
| muon_cand_11.pt[0]                |     16 | FDRE        |
| muon_cand_11.pt[1]                |     16 | FDRE        |
| muon_cand_11.pt[2]                |     16 | FDRE        |
| muon_cand_11.pt[3]                |     16 | FDRE        |
| muon_cand_12.pt[0]                |     16 | FDRE        |
| muon_cand_12.pt[1]                |     16 | FDRE        |
| muon_cand_12.pt[2]                |     16 | FDRE        |
| muon_cand_12.pt[3]                |     16 | FDRE        |
| muon_cand_13.pt[0]                |     16 | FDRE        |
| muon_cand_13.pt[1]                |     16 | FDRE        |
| muon_cand_13.pt[2]                |     16 | FDRE        |
| muon_cand_13.pt[3]                |     16 | FDRE        |
| muon_cand_14.pt[0]                |     16 | FDRE        |
| muon_cand_14.pt[1]                |     16 | FDRE        |
| muon_cand_14.pt[2]                |     16 | FDRE        |
| muon_cand_14.pt[3]                |     16 | FDRE        |
| muon_cand_15.pt[0]                |     16 | FDRE        |
| muon_cand_15.pt[1]                |     16 | FDRE        |
| muon_cand_15.pt[2]                |     16 | FDRE        |
| muon_cand_15.pt[3]                |     16 | FDRE        |
| muon_cand_2.pt[0]                 |     16 | FDRE        |
| muon_cand_2.pt[1]                 |     16 | FDRE        |
| muon_cand_2.pt[2]                 |     16 | FDRE        |
| muon_cand_2.pt[3]                 |     16 | FDRE        |
| muon_cand_3.pt[0]                 |     16 | FDRE        |
| muon_cand_3.pt[1]                 |     16 | FDRE        |
| muon_cand_3.pt[2]                 |     16 | FDRE        |
| muon_cand_3.pt[3]                 |     16 | FDRE        |
| muon_cand_4.pt[0]                 |     16 | FDRE        |
| muon_cand_4.pt[1]                 |     16 | FDRE        |
| muon_cand_4.pt[2]                 |     16 | FDRE        |
| muon_cand_4.pt[3]                 |     16 | FDRE        |
| muon_cand_5.pt[0]                 |     16 | FDRE        |
| muon_cand_5.pt[1]                 |     16 | FDRE        |
| muon_cand_5.pt[2]                 |     16 | FDRE        |
| muon_cand_5.pt[3]                 |     16 | FDRE        |
| muon_cand_6.pt[0]                 |     16 | FDRE        |
| muon_cand_6.pt[1]                 |     16 | FDRE        |
| muon_cand_6.pt[2]                 |     16 | FDRE        |
| muon_cand_6.pt[3]                 |     16 | FDRE        |
| muon_cand_7.pt[0]                 |     16 | FDRE        |
| muon_cand_7.pt[1]                 |     16 | FDRE        |
| muon_cand_7.pt[2]                 |     16 | FDRE        |
| muon_cand_7.pt[3]                 |     16 | FDRE        |
| muon_cand_8.pt[0]                 |     16 | FDRE        |
