Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar 20 22:13:41 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                                                                                                                                      | Fanout | Driver Type |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[4]                                                                                                                                                                  |     47 | FDRE        |
| shift_reg_tap_i/input_slr[5]                                                                                                                                                                  |     44 | FDRE        |
| shift_reg_tap_i/input_slr[12]                                                                                                                                                                 |     40 | FDRE        |
| shift_reg_tap_i/input_slr[6]                                                                                                                                                                  |     40 | FDRE        |
| shift_reg_tap_i/input_slr[10]                                                                                                                                                                 |     39 | FDRE        |
| shift_reg_tap_i/input_slr[11]                                                                                                                                                                 |     39 | FDRE        |
| shift_reg_tap_i/input_slr[14]                                                                                                                                                                 |     39 | FDRE        |
| shift_reg_tap_i/input_slr[15]                                                                                                                                                                 |     39 | FDRE        |
| shift_reg_tap_i/input_slr[7]                                                                                                                                                                  |     39 | FDRE        |
| shift_reg_tap_i/input_slr[13]                                                                                                                                                                 |     38 | FDRE        |
| shift_reg_tap_i/input_slr[8]                                                                                                                                                                  |     38 | FDRE        |
| shift_reg_tap_i/input_slr[9]                                                                                                                                                                  |     37 | FDRE        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_compare_i_1_0_0                                  |     29 | LUT6        |
| shift_reg_tap_i/input_slr[0]                                                                                                                                                                  |     29 | FDRE        |
| shift_reg_tap_i/input_slr[2]                                                                                                                                                                  |     29 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                                                                                                                                                  |     29 | FDRE        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_bitonic_sort_low_i_0    |     26 | LUT4        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/un1_compare_i_i_0_d0                                  |     26 | LUT5        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/un1_compare_i_7_0                                   |     24 | LUT6        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/un1_compare_i_i_0_0                                   |     24 | LUT6        |
| shift_reg_tap_i/input_slr[1]                                                                                                                                                                  |     23 | FDRE        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/un1_compare_i_2_0                                     |     22 | LUT5        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[1].compare_i/pt_m4_0_a3_1                                                                    |     21 | LUT5        |
| dut_inst/pt_N_4                                                                                                                                                                               |     21 | LUT5        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/un1_bitonic_sort_high_0   |     20 | LUT4        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/un1_bitonic_sort_low_0     |     20 | LUT4        |
| dut_inst/idx2_0                                                                                                                                                                               |     20 | LUT6        |
| dut_inst/un1_b_0                                                                                                                                                                              |     20 | LUT6        |
| dut_inst/ALTBtt_m3_0_a3_0                                                                                                                                                                     |     19 | LUT6        |
| dut_inst/bitonic_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_bitonic_sort_low_0_d0   |     18 | LUT4        |
| dut_inst/un1_bitonic_sort_low_0[10]                                                                                                                                                           |     18 | LUT4        |
