Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar 21 13:40:28 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
|                  Instance                  |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+--------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
| wrapper                                    |                                                                              (top) |       1265 |       1265 |       0 |    0 | 463 |      0 |      0 |    0 |            0 |
|   (wrapper)                                |                                                                              (top) |          0 |          0 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|   dut_inst                                 | muon_sorter_I016_O016_D000_BITONIC_SEL_TOPVHDL_PT4BIT-freq280x400retfan10000_rev_1 |       1211 |       1211 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                             | muon_sorter_I016_O016_D000_BITONIC_SEL_TOPVHDL_PT4BIT-freq280x400retfan10000_rev_1 |          2 |          2 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     bitonic_inst                           |                                                                   retiming_bitonic |       1209 |       1209 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|       sorter_inst                          |                                                             bitonic_sort_16s_1s_8s |       1209 |       1209 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_i            |                                                            bitonic_merge_16s_1s_8s |        554 |        554 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high       |                                                           bitonic_merge_8s_1s_4s_1 |        209 |        209 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high     |                                                           bitonic_merge_4s_1s_2s_5 |         70 |         70 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
