Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 18 16:51:42 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                                                                                                                       | Fanout | Driver Type |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| shift_reg_tap_i/input_slr[140]                                                                                                                                                 |     67 | FDRE        |
| shift_reg_tap_i/input_slr[150]                                                                                                                                                 |     67 | FDRE        |
| shift_reg_tap_i/input_slr[0]                                                                                                                                                   |     63 | FDRE        |
| shift_reg_tap_i/input_slr[10]                                                                                                                                                  |     63 | FDRE        |
| shift_reg_tap_i/input_slr[20]                                                                                                                                                  |     63 | FDRE        |
| shift_reg_tap_i/input_slr[30]                                                                                                                                                  |     63 | FDRE        |
| shift_reg_tap_i/input_slr[120]                                                                                                                                                 |     62 | FDRE        |
| shift_reg_tap_i/input_slr[130]                                                                                                                                                 |     61 | FDRE        |
| shift_reg_tap_i/input_slr[40]                                                                                                                                                  |     57 | FDRE        |
| shift_reg_tap_i/input_slr[50]                                                                                                                                                  |     57 | FDRE        |
| shift_reg_tap_i/input_slr[60]                                                                                                                                                  |     56 | FDRE        |
| shift_reg_tap_i/input_slr[70]                                                                                                                                                  |     56 | FDRE        |
| shift_reg_tap_i/input_slr[80]                                                                                                                                                  |     55 | FDRE        |
| shift_reg_tap_i/input_slr[90]                                                                                                                                                  |     55 | FDRE        |
| shift_reg_tap_i/input_slr[100]                                                                                                                                                 |     54 | FDRE        |
| shift_reg_tap_i/input_slr[110]                                                                                                                                                 |     54 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[7].compare_i/un1_compare_i_6_0                                                                                      |     45 | LUT6        |
| dut_inst/un1_b_4                                                                                                                                                               |     42 | LUT6        |
| dut_inst/idx2_15                                                                                                                                                               |     41 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[6].compare_i/pt_m6                                                                                                  |     41 | LUT5        |
| dut_inst/idx2                                                                                                                                                                  |     40 | LUT6        |
| dut_inst/idx2_37                                                                                                                                                               |     40 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[2].compare_i/pt_m6_0                                                                                                |     40 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[6].compare_i/pt_m3                                                                                                  |     38 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_compare_i_1_9_0                                 |     38 | LUT6        |
| dut_inst/un1_b_3                                                                                                                                                               |     38 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/un1_compare_i_1_10_0                                |     37 | LUT6        |
| dut_inst/idx2_12                                                                                                                                                               |     36 | LUT6        |
| dut_inst/idx2_34                                                                                                                                                               |     36 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_19                                            |     36 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[3].compare_i/un1_compare_i_13_0                                                           |     34 | LUT6        |
| dut_inst/idx2_22                                                                                                                                                               |     33 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/un1_compare_i_1_0_0                                                           |     33 | LUT5        |
| dut_inst/idx2_42                                                                                                                                                               |     32 | LUT5        |
| dut_inst/idx2_45                                                                                                                                                               |     32 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[3].compare_i/un1_compare_i_9_0                                                                                      |     32 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_compare_i_3_0                                  |     32 | LUT5        |
