Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Apr  8 18:59:50 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------+--------+-------------+
| Net Name                                                          | Fanout | Driver Type |
+-------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.44.csn_cmp_inst/un1_b_i_d0_c3_RNIA2GC3_1z        |     48 | LUT6        |
| dut_inst/stage_g.48.csn_cmp_inst/un1_b_i_ac0_5_0_35               |     48 | LUT5        |
| dut_inst/stage_g.18.csn_cmp_inst/un1_b_i_d0_ac0_5_0_RNIB5IB1_1z   |     45 | LUT5        |
| dut_inst/stage_g.12.csn_cmp_inst/un1_N_5_mux                      |     40 | LUT5        |
| dut_inst/stage_g.34.csn_cmp_inst/un1_N_5_mux_1                    |     39 | LUT4        |
| dut_inst/stage_g.10.csn_cmp_inst/un1_b_i_c4_2                     |     38 | LUT5        |
| dut_inst/stage_g.33.csn_cmp_inst/un1_b_i_c4_3                     |     38 | LUT5        |
| dut_inst/stage_g.54.csn_cmp_inst/un1_b_i_ac0_5_0_21               |     38 | LUT5        |
| dut_inst/stage_g.39.csn_cmp_inst/un1_b_i_ac0_5_0_16               |     37 | LUT6        |
| dut_inst/stage_g.55.csn_cmp_inst/un1_b_i_d0_c3_RNIE1392_1z        |     37 | LUT6        |
| dut_inst/stage_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_31                |     36 | LUT5        |
| dut_inst/stage_g.31.csn_cmp_inst/un1_N_5_mux_0                    |     36 | LUT6        |
| dut_inst/stage_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_9                 |     36 | LUT5        |
| dut_inst/stage_g.14.csn_cmp_inst/un1_b_i_c4_1                     |     35 | LUT5        |
| dut_inst/stage_g.23.csn_cmp_inst/un1_b_i_ac0_5_0_20               |     35 | LUT5        |
| dut_inst/stage_g.29.csn_cmp_inst/un1_b_i_c4_4                     |     35 | LUT6        |
| dut_inst/stage_g.35.csn_cmp_inst/un1_b_i_d0_ac0_5_0_0_RNIOJCJ8_1z |     35 | LUT4        |
| dut_inst/stage_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_27                |     35 | LUT5        |
| dut_inst/stage_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_24                |     33 | LUT5        |
| dut_inst/stage_g.21.csn_cmp_inst/un1_b_i_ac0_5_0_7                |     33 | LUT6        |
| dut_inst/stage_g.8.csn_cmp_inst/un1_b_i_ac0_5_0_32                |     32 | LUT6        |
| dut_inst/stage_g.49.csn_cmp_inst/un1_b_i_ac0_5_0_0_5              |     31 | LUT6        |
| dut_inst/stage_g.49.csn_cmp_inst/un1_b_i_ac0_5_d_3                |     31 | LUT6        |
| dut_inst/stage_g.30.csn_cmp_inst/un1_b_i_ac0_5_0_0_1              |     30 | LUT6        |
| dut_inst/stage_g.47.csn_cmp_inst/un1_b_i_ac0_5_0_36               |     30 | LUT5        |
| dut_inst/stage_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_8                 |     30 | LUT5        |
| dut_inst/stage_g.53.csn_cmp_inst/un1_b_i_d1_ac0_5_0_0_RNIG2UG_1z  |     30 | LUT4        |
| dut_inst/stage_g.42.csn_cmp_inst/un1_b_i_ac0_5_0_12               |     29 | LUT5        |
| dut_inst/stage_g.46.csn_cmp_inst/un1_b_i_d1_ac0_5_0_0_RNIO29R_1z  |     28 | LUT4        |
| dut_inst/stage_g.15.csn_cmp_inst/un1_b_i_c4_0_0                   |     27 | LUT5        |
| dut_inst/stage_g.28.csn_cmp_inst/un1_b_i_ac0_5_0_3                |     27 | LUT5        |
| dut_inst/stage_g.41.csn_cmp_inst/un1_b_i_ac0_5_0_33               |     27 | LUT5        |
| dut_inst/stage_g.9.csn_cmp_inst/un1_b_i_ac0_5_0_1                 |     26 | LUT5        |
| dut_inst/stage_g.12.csn_cmp_inst/pt_30_0                          |     25 | LUT6        |
| dut_inst/stage_g.15.csn_cmp_inst/pt_16_3                          |     25 | LUT6        |
| dut_inst/stage_g.27.csn_cmp_inst/un1_b_i_ac0_5_0_30               |     25 | LUT6        |
| dut_inst/stage_g.36.csn_cmp_inst/un1_b_i_ac0_5_0_15               |     25 | LUT5        |
| dut_inst/stage_g.46.csn_cmp_inst/pt_47_0                          |     24 | LUT6        |
| dut_inst/stage_g.55.csn_cmp_inst/pt_62_3                          |     24 | LUT6        |
| dut_inst/stage_g.56.csn_cmp_inst/un1_b_i_d0_c3_RNIN2QP4           |     24 | LUT6        |
| dut_inst/stage_g.57.csn_cmp_inst/un1_b_i_c4_0                     |     24 | LUT6        |
| dut_inst/stage_g.60.csn_cmp_inst/un1_b_i_ac0_5_0_0_7              |     24 | LUT6        |
| dut_inst/stage_g.60.csn_cmp_inst/un1_b_i_ac0_5_d_1                |     24 | LUT6        |
| dut_inst/stage_g.61.csn_cmp_inst/un1_b_i_c3                       |     24 | LUT6        |
| dut_inst/stage_g.62.csn_cmp_inst/un1_b_i_d0_c3_RNITLHP3           |     24 | LUT6        |
| dut_inst/stage_g.37.csn_cmp_inst/un1_b_i_d0_ac0_5_0_1             |     23 | LUT5        |
