Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Apr  8 18:57:25 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper_csn
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------+-------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
|           Instance          |                                  Module                                 | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+-----------------------------+-------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
| wrapper_csn                 |                                                                   (top) |       1586 |       1586 |       0 |    0 | 932 |      0 |      0 |    0 |            0 |
|   (wrapper_csn)             |                                                                   (top) |          0 |          0 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|   dut_inst                  | muon_sorter_I016_O016_D000_CSN_SERIAL_VHDL-freq280x400retfan10000_rev_1 |       1516 |       1516 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.csn_cmp_inst  |                                                              csn_cmp_52 |         16 |         16 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.1.csn_cmp_inst  |                                                              csn_cmp_42 |         17 |         17 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.10.csn_cmp_inst |                                                              csn_cmp_35 |         20 |         20 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.11.csn_cmp_inst |                                                              csn_cmp_32 |         32 |         32 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.12.csn_cmp_inst |                                                              csn_cmp_29 |         28 |         28 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.13.csn_cmp_inst |                                                              csn_cmp_40 |         31 |         31 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.14.csn_cmp_inst |                                                               csn_cmp_1 |         20 |         20 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.15.csn_cmp_inst |                                                               csn_cmp_3 |         27 |         27 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.16.csn_cmp_inst |                                                              csn_cmp_57 |         28 |         28 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.17.csn_cmp_inst |                                                              csn_cmp_14 |         29 |         29 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.18.csn_cmp_inst |                                                              csn_cmp_11 |         27 |         27 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.19.csn_cmp_inst |                                                              csn_cmp_48 |         21 |         21 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.2.csn_cmp_inst  |                                                               csn_cmp_4 |         25 |         25 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.20.csn_cmp_inst |                                                              csn_cmp_45 |         21 |         21 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.21.csn_cmp_inst |                                                               csn_cmp_9 |         16 |         16 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.22.csn_cmp_inst |                                                               csn_cmp_0 |         21 |         21 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.23.csn_cmp_inst |                                                              csn_cmp_36 |         15 |         15 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.24.csn_cmp_inst |                                                              csn_cmp_33 |         21 |         21 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.25.csn_cmp_inst |                                                              csn_cmp_30 |         21 |         21 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.26.csn_cmp_inst |                                                              csn_cmp_41 |         20 |         20 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.27.csn_cmp_inst |                                                              csn_cmp_51 |         18 |         18 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.28.csn_cmp_inst |                                                               csn_cmp_2 |         25 |         25 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.29.csn_cmp_inst |                                                              csn_cmp_58 |         22 |         22 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.3.csn_cmp_inst  |                                                              csn_cmp_56 |         25 |         25 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.30.csn_cmp_inst |                                                               csn_cmp_5 |         30 |         30 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.31.csn_cmp_inst |                                                              csn_cmp_39 |         35 |         35 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
