Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar  5 22:41:50 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------------+--------+-------------+
| Net Name                                                               | Fanout | Driver Type |
+------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.6.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_15            |     40 | LUT6        |
| dut_inst/stage_g.7.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_4             |     38 | LUT5        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_6             |     37 | LUT5        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_10            |     36 | LUT5        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_14            |     36 | LUT5        |
| dut_inst/stage_g.2.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_37            |     34 | LUT5        |
| dut_inst/stage_g.4.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_47            |     30 | LUT5        |
| shift_reg_tap_i/input_slr[107]                                         |     29 | FDRE        |
| shift_reg_tap_i/input_slr[120]                                         |     29 | FDRE        |
| shift_reg_tap_i/input_slr[133]                                         |     29 | FDRE        |
| shift_reg_tap_i/input_slr[146]                                         |     29 | FDRE        |
| shift_reg_tap_i/input_slr[29]                                          |     29 | FDRE        |
| shift_reg_tap_i/input_slr[42]                                          |     29 | FDRE        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_13            |     27 | LUT5        |
| dut_inst/stage_g.4.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_17            |     27 | LUT5        |
| dut_inst/stage_g.5.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_5             |     27 | LUT5        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_3             |     27 | LUT5        |
| dut_inst/stage_g.5.pair_g.6.csn_cmp_inst/un1_b_i_c4_1                  |     25 | LUT4        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_36            |     25 | LUT5        |
| shift_reg_tap_i/input_slr[81]                                          |     25 | FDRE        |
| shift_reg_tap_i/input_slr[94]                                          |     25 | FDRE        |
| dut_inst/stage_g.1.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_18            |     24 | LUT6        |
| dut_inst/stage_g.1.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_39            |     24 | LUT6        |
| dut_inst/stage_g.2.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_49            |     24 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/N_2                           |     24 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/N_1                           |     24 | LUT6        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_23            |     23 | LUT5        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_c4_0                  |     23 | LUT5        |
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_48            |     22 | LUT6        |
| dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_45            |     22 | LUT6        |
| dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_29            |     22 | LUT5        |
| dut_inst/stage_g.2.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_12            |     22 | LUT5        |
| dut_inst/stage_g.2.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_46            |     22 | LUT5        |
| dut_inst/stage_g.3.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_30            |     22 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_0_4           |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_d_0_3           |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_0_3           |     22 | LUT4        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_d_0_2           |     22 | LUT4        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_0_1           |     22 | LUT4        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_d_0_1           |     22 | LUT4        |
| shift_reg_tap_i/input_slr[159]                                         |     22 | FDRE        |
| shift_reg_tap_i/input_slr[172]                                         |     22 | FDRE        |
| shift_reg_tap_i/input_slr[185]                                         |     22 | FDRE        |
| shift_reg_tap_i/input_slr[198]                                         |     22 | FDRE        |
| shift_reg_tap_i/input_slr[55]                                          |     22 | FDRE        |
| shift_reg_tap_i/input_slr[68]                                          |     22 | FDRE        |
| dut_inst/stage_g.3.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_40            |     21 | LUT5        |
| dut_inst/stage_g.3.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_7             |     21 | LUT5        |
| dut_inst/stage_g.3.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_27            |     21 | LUT5        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_21            |     21 | LUT5        |
| shift_reg_tap_i/input_slr[16]                                          |     21 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                           |     21 | FDRE        |
| dut_inst/stage_g.0.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_19            |     20 | LUT5        |
| dut_inst/stage_g.1.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_42            |     20 | LUT6        |
| dut_inst/stage_g.1.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_1             |     20 | LUT6        |
| dut_inst/stage_g.1.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_38            |     20 | LUT6        |
