Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar  5 22:37:47 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper_csn
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
|               Instance              |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+-------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
| wrapper_csn                         |                                                            (top) |       1314 |       1314 |       0 |    0 | 924 |      0 |      0 |    0 |            0 |
|   (wrapper_csn)                     |                                                            (top) |          0 |          0 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|   dut_inst                          | muon_sorter_I016_O016_D000_CSN_VHDL-freq280x320retfan10000_rev_1 |       1244 |       1244 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.0.csn_cmp_inst |                                      csn_cmp_false_false_false_0 |         19 |         19 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.1.csn_cmp_inst |                                     csn_cmp_false_false_false_42 |         19 |         19 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.2.csn_cmp_inst |                                     csn_cmp_false_false_false_39 |         20 |         20 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.3.csn_cmp_inst |                                     csn_cmp_false_false_false_36 |         17 |         17 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.4.csn_cmp_inst |                                     csn_cmp_false_false_false_33 |         17 |         17 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.5.csn_cmp_inst |                                     csn_cmp_false_false_false_43 |         19 |         19 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.6.csn_cmp_inst |                                     csn_cmp_false_false_false_27 |         18 |         18 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.7.csn_cmp_inst |                                     csn_cmp_false_false_false_14 |         19 |         19 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.1.pair_g.0.csn_cmp_inst |                                     csn_cmp_false_false_false_57 |         20 |         20 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
