Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar  6 14:47:14 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------------+--------+-------------+
| Net Name                                                               | Fanout | Driver Type |
+------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/un1_b_i_35                    |     43 | LUT6        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/N_989_reto                    |     38 | LUT6        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/N_990_reto                    |     36 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_reto_0                |     35 | FDRE        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/un1_b_i_13                    |     34 | LUT5        |
| dut_inst/stage_g.5.pair_g.2.csn_cmp_inst/un1_b_i_14                    |     31 | LUT5        |
| dut_inst/stage_g.5.pair_g.5.csn_cmp_inst/un1_b_i_18                    |     31 | LUT5        |
| shift_reg_tap_i/input_slr[55]                                          |     31 | FDRE        |
| shift_reg_tap_i/input_slr[68]                                          |     31 | FDRE        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/N_31_0                        |     30 | LUT6        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/N_34_0                        |     30 | LUT6        |
| dut_inst/un1_b_i_o_0                                                   |     30 | FDRE        |
| dut_inst/stage_g.0.pair_g.4.csn_cmp_inst/un1_b_i_26                    |     29 | LUT5        |
| dut_inst/stage_g.0.pair_g.2.csn_cmp_inst/un1_b_i_19                    |     28 | LUT5        |
| dut_inst/stage_g.0.pair_g.6.csn_cmp_inst/un1_b_i_23                    |     28 | LUT5        |
| dut_inst/stage_g.1.pair_g.5.csn_cmp_inst/un1_b_i_27                    |     28 | LUT6        |
| dut_inst/stage_g.1.pair_g.7.csn_cmp_inst/un1_b_i_24                    |     28 | LUT6        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5                 |     28 | FDRE        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_ac0_6                 |     28 | FDRE        |
| dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/un1_b_i_36                    |     27 | LUT5        |
| dut_inst/un1_b_i_o_6                                                   |     27 | FDRE        |
| shift_reg_tap_i/input_slr[107]                                         |     27 | FDRE        |
| shift_reg_tap_i/input_slr[120]                                         |     27 | FDRE        |
| shift_reg_tap_i/input_slr[133]                                         |     27 | FDRE        |
| shift_reg_tap_i/input_slr[146]                                         |     27 | FDRE        |
| dut_inst/stage_g.2.pair_g.2.csn_cmp_inst/un1_b_i_37                    |     26 | LUT6        |
| dut_inst/un1_b_i_o_4                                                   |     26 | FDRE        |
| shift_reg_tap_i/input_slr[185]                                         |     26 | FDRE        |
| shift_reg_tap_i/input_slr[198]                                         |     26 | FDRE        |
| shift_reg_tap_i/input_slr[81]                                          |     26 | FDRE        |
| shift_reg_tap_i/input_slr[94]                                          |     26 | FDRE        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_15                    |     25 | LUT6        |
| dut_inst/stage_g.5.pair_g.3.csn_cmp_inst/un1_b_i_8                     |     25 | LUT3        |
| shift_reg_tap_i/input_slr[159]                                         |     25 | FDRE        |
| shift_reg_tap_i/input_slr[172]                                         |     25 | FDRE        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/N_987_reto                    |     24 | LUT5        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/N_991_reto                    |     24 | LUT6        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/pt_ret_16                     |     24 | FDRE        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/pt_ret_17                     |     24 | FDRE        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_12                    |     24 | LUT5        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_c3_reto_1             |     24 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_s0_reto               |     24 | LUT5        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_s1_reto               |     24 | LUT5        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/un1_b_i_30                    |     23 | LUT5        |
| dut_inst/stage_g.0.pair_g.5.csn_cmp_inst/un1_b_i_28                    |     23 | LUT5        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_s0_reto_1             |     23 | FDRE        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_s1_reto_1             |     23 | FDRE        |
| shift_reg_tap_i/input_slr[29]                                          |     23 | FDRE        |
| shift_reg_tap_i/input_slr[42]                                          |     23 | FDRE        |
| dut_inst/stage_g.0.pair_g.7.csn_cmp_inst/un1_b_i_25                    |     22 | LUT5        |
| dut_inst/stage_g.4.pair_g.3.csn_cmp_inst/un1_b_i_41                    |     22 | LUT6        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/pt_ret_50_0                   |     22 | FDRE        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/pt_ret_51_0                   |     22 | FDRE        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_reto                  |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_c3_reto               |     22 | LUT6        |
| dut_inst/un1_b_i_o_5                                                   |     22 | FDRE        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/un1_b_i_21                    |     21 | LUT5        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_o_10                  |     21 | LUT5        |
| dut_inst/un1_b_i_o_8                                                   |     21 | FDRE        |
| dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/un1_b_i_29                    |     20 | LUT6        |
| dut_inst/stage_g.1.pair_g.2.csn_cmp_inst/un1_b_i_39                    |     20 | LUT6        |
