Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 13 15:18:16 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------+--------+-------------+
| Net Name                          | Fanout | Driver Type |
+-----------------------------------+--------+-------------+
| muon_sorter_1/max_pt_0[8]         |     48 | LUT6        |
| muon_sorter_1/max_pt_1[6]         |     48 | LUT6        |
| muon_sorter_1/max_pt_9[6]         |     48 | LUT6        |
| muon_sorter_1/max_pt_0[7]         |     47 | LUT6        |
| muon_sorter_1/max_pt_12[15]       |     46 | LUT4        |
| muon_sorter_1/max_pt_10[7]        |     45 | LUT6        |
| muon_sorter_1/max_pt_14[11]       |     43 | LUT4        |
| muon_sorter_1/max_pt_12[5]        |     42 | LUT6        |
| muon_sorter_1/max_pt_14[6]        |     42 | LUT6        |
| muon_sorter_1/max_pt_12[1]        |     41 | LUT6        |
| muon_sorter_1/max_pt_12[2]        |     41 | LUT4        |
| muon_sorter_1/max_pt_14[0]        |     41 | LUT6        |
| muon_sorter_1/max_pt_14[14]       |     41 | LUT5        |
| muon_sorter_1/max_pt_14_0         |     41 | LUT6        |
| muon_sorter_1/max_pt_9[9]         |     41 | LUT6        |
| muon_sorter_1/max_pt_0[10]        |     40 | LUT6        |
| muon_sorter_1/max_pt_5[9]         |     39 | LUT6        |
| muon_sorter_1/max_pt_11_1[14]     |     38 | LUT6        |
| muon_sorter_1/max_pt_14[10]       |     38 | LUT6        |
| muon_sorter_1/max_pt_14[1]        |     38 | LUT6        |
| muon_sorter_1/max_pt_14[5]        |     38 | LUT6        |
| muon_sorter_1/max_pt_14[7]        |     38 | LUT6        |
| muon_sorter_1/max_pt_9[1]         |     38 | LUT6        |
| muon_sorter_1/max_pt_12[8]        |     37 | LUT6        |
| muon_sorter_1/max_pt_13_1[14]     |     37 | LUT6        |
| muon_sorter_1/max_pt_14[12]       |     37 | LUT6        |
| muon_sorter_1/max_pt_14[8]        |     37 | LUT6        |
| muon_sorter_1/max_pt_1[3]         |     37 | LUT5        |
| muon_sorter_1/max_pt_3_1[14]      |     37 | LUT6        |
| muon_sorter_1/max_pt_9[2]         |     37 | LUT6        |
| muon_sorter_1/max_pt_9_1[14]      |     37 | LUT6        |
| muon_sorter_1/max_pt_12[4]        |     36 | LUT6        |
| muon_sorter_1/max_pt_13_0[14]     |     36 | LUT6        |
| muon_sorter_1/max_pt_13_2[14]     |     36 | LUT6        |
| muon_sorter_1/max_pt_14[13]       |     36 | LUT6        |
| muon_sorter_1/max_pt_14[3]        |     36 | LUT4        |
| muon_sorter_1/max_pt_4_1[14]      |     36 | LUT6        |
| muon_sorter_1/max_pt_7[9]         |     36 | LUT6        |
| muon_sorter_1/max_pt_0[2]         |     35 | LUT6        |
| muon_sorter_1/max_pt_12[14]       |     35 | LUT5        |
| muon_sorter_1/max_pt_13[15]       |     35 | LUT4        |
| muon_sorter_1/max_pt_10_2[14]     |     34 | LUT6        |
| muon_sorter_1/max_pt_12[6]        |     34 | LUT6        |
| muon_sorter_1/max_pt_1_0[14]      |     34 | LUT6        |
| muon_sorter_1/max_pt_1_1[14]      |     34 | LUT6        |
| muon_sorter_1/max_pt_1_2[14]      |     34 | LUT6        |
| muon_sorter_1/max_pt_9[7]         |     34 | LUT6        |
| muon_sorter_1/max_pt_10_0[14]     |     33 | LUT6        |
| muon_sorter_1/max_pt_14[2]        |     33 | LUT6        |
| muon_sorter_1/max_pt_7[8]         |     33 | LUT6        |
| muon_sorter_1/max_pt_0[9]         |     32 | LUT6        |
| muon_sorter_1/max_pt_12[7]        |     32 | LUT6        |
| muon_sorter_1/max_pt_14[9]        |     32 | LUT5        |
| muon_sorter_1/max_pt_2[6]         |     32 | LUT6        |
