Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 13 17:59:26 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------+--------+-------------+
| Net Name                    | Fanout | Driver Type |
+-----------------------------+--------+-------------+
| muon_sorter_1/max_pt_12[1]  |     53 | LUT6        |
| muon_sorter_1/max_pt_7[10]  |     52 | LUT6        |
| muon_sorter_1/max_pt_10[12] |     51 | LUT6        |
| muon_sorter_1/max_pt_10[14] |     51 | LUT6        |
| muon_sorter_1/max_pt_8[9]   |     51 | LUT6        |
| muon_sorter_1/max_pt_12[0]  |     50 | LUT6        |
| muon_sorter_1/max_pt_12[15] |     50 | LUT6        |
| muon_sorter_1/max_pt_12[7]  |     50 | LUT6        |
| muon_sorter_1/max_pt_3[10]  |     50 | LUT6        |
| muon_sorter_1/max_pt_0[2]   |     49 | LUT6        |
| muon_sorter_1/max_pt_12[12] |     49 | LUT6        |
| muon_sorter_1/max_pt_12[9]  |     49 | LUT6        |
| muon_sorter_1/max_pt_7[11]  |     49 | LUT6        |
| muon_sorter_1/max_pt_7[8]   |     49 | LUT6        |
| muon_sorter_1/max_pt_8[12]  |     49 | LUT6        |
| muon_sorter_1/max_pt_9[8]   |     49 | LUT6        |
| muon_sorter_1/max_pt_0[3]   |     48 | LUT6        |
| muon_sorter_1/max_pt_12[13] |     48 | LUT6        |
| muon_sorter_1/max_pt_2[2]   |     48 | LUT6        |
| muon_sorter_1/max_pt_3[0]   |     48 | LUT6        |
| muon_sorter_1/max_pt_3[15]  |     48 | LUT6        |
| muon_sorter_1/max_pt_3[1]   |     48 | LUT6        |
| muon_sorter_1/max_pt_3[4]   |     48 | LUT6        |
| muon_sorter_1/max_pt_4[12]  |     48 | LUT6        |
| muon_sorter_1/max_pt_5[10]  |     48 | LUT6        |
| muon_sorter_1/max_pt_5[14]  |     48 | LUT6        |
| muon_sorter_1/max_pt_7[0]   |     48 | LUT6        |
| muon_sorter_1/max_pt_7[14]  |     48 | LUT6        |
| muon_sorter_1/max_pt_7[3]   |     48 | LUT6        |
| muon_sorter_1/max_pt_0[10]  |     47 | LUT6        |
| muon_sorter_1/max_pt_0[11]  |     47 | LUT6        |
| muon_sorter_1/max_pt_0[12]  |     47 | LUT6        |
| muon_sorter_1/max_pt_0[15]  |     47 | LUT6        |
| muon_sorter_1/max_pt_0[1]   |     47 | LUT6        |
| muon_sorter_1/max_pt_0[5]   |     47 | LUT6        |
| muon_sorter_1/max_pt_0[6]   |     47 | LUT6        |
| muon_sorter_1/max_pt_0[9]   |     47 | LUT6        |
| muon_sorter_1/max_pt_10[13] |     47 | LUT6        |
| muon_sorter_1/max_pt_10[15] |     47 | LUT6        |
| muon_sorter_1/max_pt_10[4]  |     47 | LUT6        |
| muon_sorter_1/max_pt_12[11] |     47 | LUT6        |
| muon_sorter_1/max_pt_12[5]  |     47 | LUT6        |
| muon_sorter_1/max_pt_12[8]  |     47 | LUT6        |
| muon_sorter_1/max_pt_1[12]  |     47 | LUT6        |
| muon_sorter_1/max_pt_1[13]  |     47 | LUT6        |
| muon_sorter_1/max_pt_1[14]  |     47 | LUT6        |
| muon_sorter_1/max_pt_1[4]   |     47 | LUT6        |
| muon_sorter_1/max_pt_1[5]   |     47 | LUT6        |
| muon_sorter_1/max_pt_2[10]  |     47 | LUT6        |
| muon_sorter_1/max_pt_2[11]  |     47 | LUT6        |
| muon_sorter_1/max_pt_2[12]  |     47 | LUT6        |
| muon_sorter_1/max_pt_2[1]   |     47 | LUT6        |
| muon_sorter_1/max_pt_3[14]  |     47 | LUT6        |
| muon_sorter_1/max_pt_4[0]   |     47 | LUT6        |
| muon_sorter_1/max_pt_4[11]  |     47 | LUT6        |
| muon_sorter_1/max_pt_5[13]  |     47 | LUT6        |
| muon_sorter_1/max_pt_5[15]  |     47 | LUT6        |
| muon_sorter_1/max_pt_5[6]   |     47 | LUT6        |
| muon_sorter_1/max_pt_7[1]   |     47 | LUT6        |
| muon_sorter_1/max_pt_7[2]   |     47 | LUT6        |
| muon_sorter_1/max_pt_8[15]  |     47 | LUT6        |
| muon_sorter_1/max_pt_9[11]  |     47 | LUT6        |
| muon_sorter_1/max_pt_0[0]   |     46 | LUT6        |
| muon_sorter_1/max_pt_0[14]  |     46 | LUT6        |
| muon_sorter_1/max_pt_0[7]   |     46 | LUT6        |
| muon_sorter_1/max_pt_0[8]   |     46 | LUT6        |
| muon_sorter_1/max_pt_10[0]  |     46 | LUT6        |
| muon_sorter_1/max_pt_10[10] |     46 | LUT6        |
| muon_sorter_1/max_pt_10[5]  |     46 | LUT6        |
| muon_sorter_1/max_pt_10[6]  |     46 | LUT6        |
| muon_sorter_1/max_pt_11[10] |     46 | LUT6        |
| muon_sorter_1/max_pt_12[3]  |     46 | LUT5        |
| muon_sorter_1/max_pt_12[4]  |     46 | LUT6        |
