Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sat Mar  2 20:19:31 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : bitonic_sorter_16_top
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                                                                                                                            | Fanout | Driver Type |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[2].compare_i/idx2_0                                                                           |     39 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/idx2_8_0                                                                                                    |     39 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[3].compare_i/idx2_7_1                                                                                                    |     38 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_1                                                  |     37 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[3].compare_i/idx2_3                                                                           |     36 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_9                                                                            |     36 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2_0                                                 |     34 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[2].compare_i/idx2_0_0_0                                                                        |     34 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[2].compare_i/idx2_6_0                                                                                                    |     34 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[6].compare_i/idx2_18                                                                                                     |     33 | LUT6        |
| dut_inst/idx2_o_8                                                                                                                                                                   |     32 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_3_0                                              |     32 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2_11                                                                          |     32 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_8                                                 |     32 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[5].compare_i/idx2_4                                                                                                      |     32 | LUT6        |
| dut_inst/un1_b_o_15                                                                                                                                                                 |     32 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_7_0                                                                         |     31 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[1].compare_i/idx2_9                                                                                                      |     31 | LUT6        |
| dut_inst/un1_b_o_13                                                                                                                                                                 |     31 | FDRE        |
| dut_inst/idx2_o_14                                                                                                                                                                  |     30 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_0                                                 |     30 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_6_0_0                                                                        |     30 | LUT6        |
| dut_inst/un1_b_o_4                                                                                                                                                                  |     30 | FDRE        |
| dut_inst/idx2_o_2                                                                                                                                                                   |     29 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_6_0_0_0                                            |     29 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx_ret_60_ret_0_RNINGQQ1_1 |     29 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/un1_b_ac0_5_0_0              |     29 | LUT6        |
| dut_inst/idx2_o                                                                                                                                                                     |     28 | FDRE        |
| dut_inst/idx2_o_15                                                                                                                                                                  |     28 | FDRE        |
| dut_inst/idx2_o_7                                                                                                                                                                   |     28 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_3_0                                               |     28 | LUT5        |
| dut_inst/un1_b_o_11                                                                                                                                                                 |     28 | FDRE        |
| dut_inst/un1_b_o_8                                                                                                                                                                  |     28 | FDRE        |
| dut_inst/idx2_o_16                                                                                                                                                                  |     27 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[4].compare_i/idx2_2_0                                                                                                    |     27 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_8                        |     27 | LUT6        |
| dut_inst/un1_b_o_17                                                                                                                                                                 |     27 | FDRE        |
| dut_inst/un1_b_o_9                                                                                                                                                                  |     27 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2                                                  |     26 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.cmp_g[7].compare_i/idx2_0_0                                                                                                    |     26 | LUT6        |
| dut_inst/un1_b_o_5                                                                                                                                                                  |     26 | FDRE        |
| dut_inst/idx2_o_4                                                                                                                                                                   |     25 | FDRE        |
| dut_inst/un1_b_o_12                                                                                                                                                                 |     25 | FDRE        |
| dut_inst/idx2_o_1                                                                                                                                                                   |     24 | FDRE        |
| dut_inst/idx2_o_13                                                                                                                                                                  |     24 | FDRE        |
| dut_inst/idx2_o_3                                                                                                                                                                   |     24 | FDRE        |
| dut_inst/idx2_o_6                                                                                                                                                                   |     24 | FDRE        |
| dut_inst/idx2_o_9                                                                                                                                                                   |     24 | FDRE        |
| dut_inst/un1_b_o_14                                                                                                                                                                 |     24 | FDRE        |
| dut_inst/un1_b_o_3                                                                                                                                                                  |     24 | FDRE        |
| dut_inst/idx2_o_18                                                                                                                                                                  |     23 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[3].compare_i/idx2_3                                                                            |     23 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_7                       |     23 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_4                         |     23 | LUT6        |
| dut_inst/un1_b_o_1                                                                                                                                                                  |     23 | FDRE        |
| dut_inst/un1_b_o_16                                                                                                                                                                 |     23 | FDRE        |
| dut_inst/un1_b_o_2                                                                                                                                                                  |     23 | FDRE        |
| dut_inst/idx2_o_10                                                                                                                                                                  |     22 | FDRE        |
| dut_inst/idx2_o_11                                                                                                                                                                  |     22 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0             |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_d_0             |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0              |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_ac0_5_d_0              |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0              |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_d_0              |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0               |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_ac0_5_d_0               |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx_ret_68_ret_0_RNIPUUA1_1  |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_3                        |     22 | LUT6        |
| dut_inst/un1_b_o_0                                                                                                                                                                  |     22 | FDRE        |
| dut_inst/un1_b_o_10                                                                                                                                                                 |     22 | FDRE        |
| dut_inst/un1_b_o_6                                                                                                                                                                  |     22 | FDRE        |
| dut_inst/idx2_o_17                                                                                                                                                                  |     21 | FDRE        |
| dut_inst/idx2_o_5                                                                                                                                                                   |     21 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/un1_b_ac0_5_0_1z              |     21 | LUT6        |
| dut_inst/un1_b_o                                                                                                                                                                    |     21 | FDRE        |
| unsorted_muons[0].pt[3]                                                                                                                                                             |     21 | FDRE        |
| unsorted_muons[1].pt[3]                                                                                                                                                             |     21 | FDRE        |
| dut_inst/idx2_o_0                                                                                                                                                                   |     20 | FDRE        |
| dut_inst/idx2_o_12                                                                                                                                                                  |     20 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_0_0                    |     20 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_0_0                     |     20 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_0                       |     20 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_0                        |     20 | LUT6        |
| dut_inst/un1_b_o_7                                                                                                                                                                  |     20 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[2].compare_i/un1_b_18                                                                          |     19 | LUT5        |
| dut_inst/un1_b_o_18                                                                                                                                                                 |     19 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_c2                    |     18 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_c2                     |     18 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_c2                     |     18 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_c2                      |     18 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/pt_lut6_2_o6_2                                           |     18 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[1].compare_i/pt_lut6_2_o6_0_0_0                                       |     18 | LUT4        |
| dut_inst/un1_compare_i_1_o_0[12]                                                                                                                                                    |     18 | FDRE        |
| dut_inst/un1_compare_i_1_o_1[12]                                                                                                                                                    |     18 | FDRE        |
| unsorted_muons[10].pt[3]                                                                                                                                                            |     18 | FDRE        |
| unsorted_muons[11].pt[3]                                                                                                                                                            |     18 | FDRE        |
| unsorted_muons[8].pt[3]                                                                                                                                                             |     18 | FDRE        |
| unsorted_muons[9].pt[3]                                                                                                                                                             |     18 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_high/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/un1_b_1                       |     17 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_8                         |     17 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/un1_b_2                        |     17 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/pt_lut6_2_o5_4_3             |     16 | LUT4        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_sort_high/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/un1_b_4                        |     16 | LUT5        |
