Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar  6 15:26:12 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------------+--------+-------------+
| Net Name                                                     | Fanout | Driver Type |
+--------------------------------------------------------------+--------+-------------+
| dut_inst/un1_b_i_o_26                                        |     40 | FDRE        |
| dut_inst/un1_b_i_o_38                                        |     36 | FDRE        |
| dut_inst/un1_b_i_o_23                                        |     35 | FDRE        |
| dut_inst/stage_g.3.pair_g.0.csn_cmp_inst/un1_b_i_30          |     33 | LUT5        |
| dut_inst/stage_g.6.pair_g.3.csn_cmp_inst/idx_ret_1_0         |     33 | FDRE        |
| dut_inst/stage_g.6.pair_g.3.csn_cmp_inst/idx_ret_7           |     33 | FDRE        |
| dut_inst/un1_b_i_o_0                                         |     33 | FDRE        |
| dut_inst/un1_b_i_o_2                                         |     30 | FDRE        |
| dut_inst/un1_b_i_o_25                                        |     30 | FDRE        |
| dut_inst/stage_g.6.pair_g.1.csn_cmp_inst/un1_b_i_35          |     27 | LUT5        |
| dut_inst/un1_b_i_o_28                                        |     27 | FDRE        |
| dut_inst/un1_b_i_o_3                                         |     27 | FDRE        |
| dut_inst/un1_b_i_o_40                                        |     27 | FDRE        |
| dut_inst/stage_g.3.pair_g.2.csn_cmp_inst/un1_b_i_14          |     26 | LUT5        |
| dut_inst/stage_g.3.pair_g.3.csn_cmp_inst/un1_b_i_16          |     26 | LUT5        |
| dut_inst/stage_g.3.pair_g.4.csn_cmp_inst/un1_b_i_15          |     26 | LUT5        |
| dut_inst/stage_g.3.pair_g.5.csn_cmp_inst/un1_b_i             |     25 | LUT5        |
| dut_inst/stage_g.3.pair_g.6.csn_cmp_inst/un1_b_i_17          |     25 | LUT5        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_c4          |     25 | LUT5        |
| dut_inst/un1_b_i_o_4                                         |     25 | FDRE        |
| dut_inst/pt_o_7[3]                                           |     24 | FDRE        |
| dut_inst/pt_o_8[3]                                           |     24 | FDRE        |
| dut_inst/stage_g.3.pair_g.7.csn_cmp_inst/un1_b_i_29          |     24 | LUT5        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/N_261               |     24 | LUT5        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/N_262               |     24 | LUT5        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_c4_0        |     24 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/idx_ret_18_RNIB7742 |     24 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/idx_ret_18_RNI596H2 |     24 | LUT6        |
| dut_inst/un1_b_i_o                                           |     24 | FDRE        |
| dut_inst/un1_b_i_o_10                                        |     24 | FDRE        |
| dut_inst/un1_b_i_o_11                                        |     24 | FDRE        |
| dut_inst/un1_b_i_o_6                                         |     24 | FDRE        |
| dut_inst/pt_o_4[3]                                           |     23 | FDRE        |
| dut_inst/pt_o_5[3]                                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_27                                        |     23 | FDRE        |
| dut_inst/un1_b_i_o_8                                         |     23 | FDRE        |
| dut_inst/stage_g.6.pair_g.3.csn_cmp_inst/un1_b_i_o_41        |     22 | FDRE        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_0_3 |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_0_1 |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_d_0_1 |     22 | LUT6        |
| dut_inst/un1_b_i_o_1                                         |     22 | FDRE        |
| dut_inst/un1_b_i_o_14                                        |     22 | FDRE        |
| dut_inst/un1_b_i_o_5                                         |     22 | FDRE        |
| dut_inst/un1_b_i_o_7                                         |     22 | FDRE        |
| dut_inst/un1_b_i_o_9                                         |     22 | FDRE        |
| dut_inst/pt_o_19[3]                                          |     21 | FDRE        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_34          |     21 | LUT5        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_0_0 |     21 | LUT6        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_d_0_0 |     21 | LUT6        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/idx_ret_0_RNISN952  |     21 | LUT6        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/idx_ret_50          |     21 | FDRE        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/idx_ret_51          |     21 | FDRE        |
| dut_inst/un1_b_i_o_35                                        |     21 | FDRE        |
| dut_inst/un1_b_i_o_39                                        |     21 | FDRE        |
| dut_inst/pt_o_14[3]                                          |     20 | FDRE        |
| dut_inst/pt_o_18[3]                                          |     20 | FDRE        |
| dut_inst/pt_o_2[3]                                           |     20 | FDRE        |
| dut_inst/pt_o_3[3]                                           |     20 | FDRE        |
| dut_inst/stage_g.4.pair_g.4.csn_cmp_inst/N_254               |     20 | LUT5        |
| dut_inst/stage_g.7.pair_g.0.csn_cmp_inst/un1_b_i_reto_2      |     20 | FDRE        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_c2_5        |     20 | LUT6        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_reto_0      |     20 | FDRE        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/idx_ret_51_0        |     20 | FDRE        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/idx_ret_52          |     20 | FDRE        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/pt_ret_0_RNI9MS4    |     20 | LUT6        |
| dut_inst/un1_b_i_o_12                                        |     20 | FDRE        |
| dut_inst/un1_b_i_o_16                                        |     20 | FDRE        |
| dut_inst/un1_b_i_o_29                                        |     20 | FDRE        |
| dut_inst/un1_b_i_o_37                                        |     20 | FDRE        |
| dut_inst/N_269                                               |     19 | LUT5        |
| dut_inst/stage_g.4.pair_g.4.csn_cmp_inst/N_253               |     19 | LUT5        |
| dut_inst/stage_g.5.pair_g.3.csn_cmp_inst/pt_o_9_0            |     19 | FDRE        |
| dut_inst/stage_g.5.pair_g.5.csn_cmp_inst/pt_o_6_0            |     19 | FDRE        |
| dut_inst/stage_g.6.pair_g.3.csn_cmp_inst/un1_b_i_32          |     19 | LUT5        |
| dut_inst/pt_o[3]                                             |     18 | FDRE        |
| dut_inst/pt_o_0[3]                                           |     18 | FDRE        |
| dut_inst/stage_g.4.pair_g.2.csn_cmp_inst/N_270               |     18 | LUT5        |
| dut_inst/stage_g.6.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0     |     18 | LUT5        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_d     |     18 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/idx_ret_54_RNI86K91 |     18 | LUT4        |
| dut_inst/un1_b_i_o_13                                        |     18 | FDRE        |
| dut_inst/un1_b_i_o_15                                        |     18 | FDRE        |
| dut_inst/un1_b_i_o_24                                        |     18 | FDRE        |
| dut_inst/un1_b_i_o_36                                        |     18 | FDRE        |
