Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar  6 19:11:08 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------------+--------+-------------+
| Net Name                                                               | Fanout | Driver Type |
+------------------------------------------------------------------------+--------+-------------+
| dut_inst/pt_o_22[3]                                                    |     37 | FDRE        |
| dut_inst/pt_o_23[3]                                                    |     37 | FDRE        |
| dut_inst/un1_b_i_o_0                                                   |     36 | FDRE        |
| dut_inst/un1_b_i_o_5                                                   |     36 | FDRE        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_52                    |     34 | LUT6        |
| dut_inst/un1_b_i_o_25                                                  |     34 | FDRE        |
| dut_inst/un1_b_i_o_3                                                   |     34 | FDRE        |
| dut_inst/un1_b_i_o_32                                                  |     34 | FDRE        |
| dut_inst/un1_b_i_o_21                                                  |     33 | FDRE        |
| dut_inst/un1_b_i_o_o                                                   |     33 | FDRE        |
| dut_inst/un1_b_i_o                                                     |     32 | FDRE        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_51                    |     31 | LUT5        |
| dut_inst/un1_b_i_o_34                                                  |     31 | FDRE        |
| dut_inst/un1_b_i_o_18                                                  |     30 | FDRE        |
| dut_inst/un1_b_i_o_19                                                  |     30 | FDRE        |
| dut_inst/un1_b_i_o_2                                                   |     30 | FDRE        |
| dut_inst/un1_b_i_o_26                                                  |     30 | FDRE        |
| dut_inst/stage_g.3.pair_g.7.csn_cmp_inst/un1_b_i_49                    |     29 | LUT5        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_0_1z          |     29 | LUT4        |
| dut_inst/un1_b_i_o_7                                                   |     29 | FDRE        |
| dut_inst/pt_o_17[3]                                                    |     28 | FDRE        |
| dut_inst/pt_o_18[3]                                                    |     28 | FDRE        |
| dut_inst/stage_g.3.pair_g.0.csn_cmp_inst/un1_b_i_48                    |     28 | LUT5        |
| dut_inst/stage_g.6.pair_g.3.csn_cmp_inst/un1_b_i_42                    |     28 | LUT5        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_d_1z            |     27 | LUT5        |
| dut_inst/un1_b_i_o_24                                                  |     27 | FDRE        |
| dut_inst/un1_b_i_o_9                                                   |     27 | FDRE        |
| dut_inst/un1_b_i_o_22                                                  |     26 | FDRE        |
| dut_inst/un1_b_i_o_4                                                   |     26 | FDRE        |
| dut_inst/stage_g.6.pair_g.4.csn_cmp_inst/un1_b_i_41                    |     25 | LUT5        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_46                    |     25 | LUT6        |
| dut_inst/un1_b_i_o_1                                                   |     25 | FDRE        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_50                    |     24 | LUT5        |
| dut_inst/un1_b_i_o_23                                                  |     24 | FDRE        |
| dut_inst/un1_b_i_o_36                                                  |     24 | FDRE        |
| dut_inst/un1_b_i_o_8                                                   |     24 | FDRE        |
| dut_inst/pt_o_0[3]                                                     |     23 | FDRE        |
| dut_inst/pt_o_14[3]                                                    |     23 | FDRE        |
| dut_inst/pt_o_15[3]                                                    |     23 | FDRE        |
| dut_inst/pt_o_1[3]                                                     |     23 | FDRE        |
| dut_inst/pt_o_2[3]                                                     |     23 | FDRE        |
