Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar  6 19:34:56 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------------+--------+-------------+
| Net Name                                                               | Fanout | Driver Type |
+------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_45                    |     34 | LUT6        |
| dut_inst/un1_b_i_o_35                                                  |     34 | FDRE        |
| dut_inst/un1_b_i_o                                                     |     32 | FDRE        |
| dut_inst/un1_b_i_o_1                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_17                                                  |     32 | FDRE        |
| dut_inst/stage_g.3.pair_g.1.csn_cmp_inst/un1_b_i_17                    |     31 | LUT5        |
| dut_inst/un1_b_i_o_o                                                   |     31 | FDRE        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_39                    |     30 | LUT5        |
| dut_inst/un1_b_i_o_19                                                  |     30 | FDRE        |
| dut_inst/stage_g.3.pair_g.0.csn_cmp_inst/un1_b_i_41                    |     29 | LUT5        |
| dut_inst/un1_b_i_o_23                                                  |     29 | FDRE        |
| dut_inst/un1_b_i_o_4                                                   |     29 | FDRE        |
| dut_inst/stage_g.3.pair_g.7.csn_cmp_inst/un1_b_i_42                    |     28 | LUT5        |
| dut_inst/stage_g.7.pair_g.0.csn_cmp_inst/un1_b_i_38                    |     28 | LUT6        |
| dut_inst/un1_b_i_o_36                                                  |     28 | FDRE        |
| dut_inst/un1_b_i_o_8                                                   |     28 | FDRE        |
| dut_inst/stage_g.3.pair_g.3.csn_cmp_inst/un1_b_i_19                    |     27 | LUT5        |
| dut_inst/pt_o_17[3]                                                    |     26 | FDRE        |
| dut_inst/pt_o_18[3]                                                    |     26 | FDRE        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_44                    |     26 | LUT5        |
| dut_inst/un1_b_i_o_24                                                  |     25 | FDRE        |
| dut_inst/un1_b_i_o_25                                                  |     25 | FDRE        |
| dut_inst/stage_g.4.pair_g.4.csn_cmp_inst/N_166                         |     24 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_d0_c3_RNIRARN1        |     24 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_d0_c3_RNIGQA91        |     24 | LUT6        |
| dut_inst/un1_b_i_o_13                                                  |     24 | FDRE        |
