Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 13 20:19:32 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------+--------+-------------+
| Net Name                                       | Fanout | Driver Type |
+------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_14_reto[14]               |     28 | FDRE        |
| muon_sorter_1/max_pt_1_o[15]                   |     27 | FDRE        |
| muon_sorter_1/max_pt_15_o[0]                   |     22 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_144          |     22 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_64           |     21 | FDSE        |
| muon_sorter_1/max_pt_0_o[15]                   |     20 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[208]         |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[214]         |     19 | FDRE        |
| muon_sorter_1/max_pt_5_2[2]                    |     18 | LUT4        |
| muon_sorter_1/un1_muon_sorter_1_1_208          |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_81           |     18 | FDRE        |
| muon_sorter_1/max_pt_14[10]                    |     17 | LUT5        |
| muon_sorter_1/max_pt_14_1_0[2]                 |     17 | LUT6        |
| muon_sorter_1/max_pt_2_o[15]                   |     17 | FDRE        |
| muon_sorter_1/max_pt_7[11]                     |     17 | LUT6        |
| muon_sorter_1/top_candoi[170]                  |     17 | LUT6        |
| muon_sorter_1/top_candoi[171]                  |     17 | LUT6        |
| muon_sorter_1/N_1107                           |     16 | LUT6        |
| muon_sorter_1/N_3138_i                         |     16 | LUT6        |
| muon_sorter_1/max_pt_0_0[7]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_0_2[13]                   |     16 | LUT4        |
| muon_sorter_1/max_pt_0_3[7]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_10[12]                    |     16 | LUT5        |
| muon_sorter_1/max_pt_10[13]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_10[2]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_10[6]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_10[9]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_10_1[12]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_10_1[13]                  |     16 | LUT5        |
| muon_sorter_1/max_pt_10_1[5]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_10_3[10]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_11[13]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_11[2]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_11_1[0]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_11_1[13]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_11_1_0[2]                 |     16 | LUT6        |
| muon_sorter_1/max_pt_11_2[12]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_11_3[8]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_12[10]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_12[15]                    |     16 | LUT5        |
| muon_sorter_1/max_pt_12[6]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_12_1[13]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_12_1_1[13]                |     16 | LUT6        |
| muon_sorter_1/max_pt_12_2[7]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_12_3[15]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_12_3[2]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_12_3[3]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_12_3[6]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_12_3[9]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_13[11]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_13_0[14]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_13_1[14]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_13_2[2]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_13_2[6]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_14[12]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_14[15]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_14[2]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_14_1[7]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_14_1_0[15]                |     16 | LUT6        |
| muon_sorter_1/max_pt_15_o[8]                   |     16 | FDRE        |
| muon_sorter_1/max_pt_1[1]                      |     16 | LUT6        |
| muon_sorter_1/max_pt_1_0[12]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_1_1[12]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_1_1[15]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_1_2[13]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_1_3[4]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_2[10]                     |     16 | LUT5        |
| muon_sorter_1/max_pt_3[11]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_3[1]                      |     16 | LUT6        |
| muon_sorter_1/max_pt_3[6]                      |     16 | LUT6        |
| muon_sorter_1/max_pt_3_1[3]                    |     16 | LUT5        |
| muon_sorter_1/max_pt_3_2_0[12]                 |     16 | LUT5        |
| muon_sorter_1/max_pt_3_3[9]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_4[15]                     |     16 | LUT3        |
| muon_sorter_1/max_pt_4_1[11]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_5[3]                      |     16 | LUT6        |
| muon_sorter_1/max_pt_5[5]                      |     16 | LUT3        |
| muon_sorter_1/max_pt_5_0[15]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_5_1[0]                    |     16 | LUT5        |
| muon_sorter_1/max_pt_5_1[13]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_5_1[15]                   |     16 | LUT5        |
| muon_sorter_1/max_pt_5_1[6]                    |     16 | LUT6        |
| muon_sorter_1/max_pt_5_1_0[3]                  |     16 | LUT6        |
| muon_sorter_1/max_pt_5_2[0]                    |     16 | LUT4        |
| muon_sorter_1/max_pt_5_2[10]                   |     16 | LUT6        |
| muon_sorter_1/max_pt_5_2[6]                    |     16 | LUT4        |
| muon_sorter_1/max_pt_6[0]                      |     16 | LUT6        |
