Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 13 21:50:27 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------+--------+-------------+
| Net Name                               | Fanout | Driver Type |
+----------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_9[0]              |     25 | LUT6        |
| muon_sorter_1/max_pt_4[0]              |     23 | LUT6        |
| muon_sorter_1/max_pt_10[0]             |     22 | LUT6        |
| muon_sorter_1/max_pt_12[0]             |     22 | LUT6        |
| muon_sorter_1/max_pt_15[0]             |     22 | LUT6        |
| muon_sorter_1/max_pt_13[0]             |     21 | LUT5        |
| muon_sorter_1/un1_muon_sorter_1_1[239] |     20 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[228] |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[238] |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[229] |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[231] |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[236] |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[237] |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[30]  |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[0]   |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[100] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[101] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[102] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[103] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[108] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[109] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[110] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[111] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[112] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[113] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[114] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[115] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[116] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[117] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[118] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[119] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[124] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[125] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[126] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[127] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[128] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[129] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[12]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[130] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[131] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[133] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[134] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[135] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[13]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[140] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[141] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[142] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[143] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[144] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[145] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[146] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[147] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[148] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[149] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[150] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[151] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[156] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[158] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[15]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[160] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[161] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[162] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[163] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[164] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[165] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[166] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[167] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[16]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[172] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[173] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[174] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[175] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[176] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[177] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[178] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[179] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[17]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[180] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[181] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[182] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[183] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[188] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[189] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[18]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[190] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[191] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[192] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[193] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[194] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[195] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[198] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[199] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[19]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[1]   |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[204] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[205] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[208] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[209] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[20]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[210] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[211] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[212] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[213] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[214] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[21]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[221] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[224] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[225] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[226] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[227] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[22]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[230] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[23]  |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[240] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[241] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[242] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[243] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[244] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[245] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[246] |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[247] |     17 | FDRE        |
