Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 13 20:53:01 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------+--------+-------------+
| Net Name                                        | Fanout | Driver Type |
+-------------------------------------------------+--------+-------------+
| muon_sorter_1/pt[3]                             |     65 | FDSE        |
| muon_sorter_1/max_pt_13[12]                     |     59 | LUT6        |
| muon_sorter_1/max_pt_13[11]                     |     57 | LUT6        |
| muon_sorter_1/pt[2]                             |     56 | FDSE        |
| muon_sorter_1/max_pt_13[10]                     |     50 | LUT6        |
| muon_sorter_1/pt[1]                             |     50 | FDSE        |
| muon_sorter_1/max_pt_13[9]                      |     49 | LUT6        |
| muon_sorter_1/pt[0]                             |     49 | FDSE        |
| muon_sorter_1/max_pt_8[1]                       |     47 | LUT6        |
| muon_sorter_1/max_pt_13[13]                     |     45 | LUT6        |
| muon_sorter_1/max_pt_7[1]                       |     45 | LUT6        |
| muon_sorter_1/max_pt_11[11]                     |     44 | LUT5        |
| muon_sorter_1/max_pt_13[3]                      |     44 | LUT6        |
| muon_sorter_1/max_pt_13[15]                     |     42 | LUT6        |
| muon_sorter_1/pt_ret_21_RNI7IVM2                |     42 | LUT6        |
| muon_sorter_1/pt_ret_10_RNI9NFD                 |     41 | LUT6        |
| muon_sorter_1/max_pt_11[2]                      |     40 | LUT6        |
| muon_sorter_1/max_pt_2[11]                      |     40 | LUT6        |
| muon_sorter_1/max_pt_11[12]                     |     39 | LUT6        |
| muon_sorter_1/max_pt_12[0]                      |     39 | LUT6        |
| muon_sorter_1/max_pt_13[14]                     |     39 | LUT6        |
| muon_sorter_1/max_pt_13[2]                      |     39 | LUT6        |
| muon_sorter_1/max_pt_13[7]                      |     39 | LUT6        |
| muon_sorter_1/max_pt_11[13]                     |     38 | LUT6        |
| muon_sorter_1/max_pt_13[4]                      |     38 | LUT6        |
| muon_sorter_1/max_pt_3[12]                      |     38 | LUT4        |
| muon_sorter_1/max_pt_13[1]                      |     37 | LUT6        |
| muon_sorter_1/max_pt_8[2]                       |     36 | LUT6        |
| muon_sorter_1/max_pt_10_1[1]                    |     35 | LUT5        |
| muon_sorter_1/max_pt_13[0]                      |     34 | LUT5        |
| muon_sorter_1/max_pt_5[11]                      |     34 | LUT6        |
| muon_sorter_1/max_pt_13[8]                      |     33 | LUT6        |
| muon_sorter_1/max_pt_14[0]                      |     33 | LUT5        |
| muon_sorter_1/max_pt_12_1[13]                   |     32 | LUT4        |
| muon_sorter_1/max_pt_14[10]                     |     32 | LUT6        |
| muon_sorter_1/max_pt_14_reto[14]                |     32 | FDRE        |
| muon_sorter_1/max_pt_0_o[15]                    |     31 | FDRE        |
| muon_sorter_1/max_pt_10[3]                      |     31 | LUT6        |
| muon_sorter_1/max_pt_13[6]                      |     31 | LUT6        |
| muon_sorter_1/max_pt_9[12]                      |     31 | LUT6        |
| muon_sorter_1/max_pt_12_3[13]                   |     30 | LUT6        |
| muon_sorter_1/max_pt_14[12]                     |     30 | LUT6        |
| muon_sorter_1/max_pt_14[15]                     |     30 | LUT6        |
| muon_sorter_1/max_pt_7[2]                       |     30 | LUT6        |
| muon_sorter_1/max_pt_10[4]                      |     29 | LUT6        |
| muon_sorter_1/max_pt_12[14]                     |     29 | LUT6        |
| muon_sorter_1/max_pt_14[13]                     |     29 | LUT5        |
| muon_sorter_1/max_pt_14[1]                      |     29 | LUT6        |
| muon_sorter_1/max_pt_14[7]                      |     29 | LUT6        |
| muon_sorter_1/max_pt_3[11]                      |     29 | LUT6        |
| muon_sorter_1/max_pt_4[11]                      |     29 | LUT6        |
| muon_sorter_1/max_pt_5[0]                       |     29 | LUT6        |
| muon_sorter_1/max_pt_7[14]                      |     29 | LUT6        |
| muon_sorter_1/max_pt_7[9]                       |     29 | LUT6        |
| muon_sorter_1/max_pt_8[6]                       |     29 | LUT6        |
| muon_sorter_1/max_pt_14[11]                     |     28 | LUT6        |
| muon_sorter_1/max_pt_14[2]                      |     28 | LUT5        |
| muon_sorter_1/max_pt_2_o[15]                    |     28 | FDRE        |
| muon_sorter_1/max_pt_3[1]                       |     28 | LUT6        |
| muon_sorter_1/max_pt_5[3]                       |     28 | LUT6        |
| muon_sorter_1/max_pt_5[9]                       |     28 | LUT6        |
| muon_sorter_1/max_pt_6_1[12]                    |     28 | LUT6        |
| muon_sorter_1/max_pt_7[12]                      |     28 | LUT6        |
| muon_sorter_1/max_pt_10[10]                     |     27 | LUT6        |
| muon_sorter_1/max_pt_5[10]                      |     27 | LUT5        |
| muon_sorter_1/max_pt_5[15]                      |     27 | LUT5        |
| muon_sorter_1/max_pt_5_1[6]                     |     27 | LUT6        |
| muon_sorter_1/max_pt_6[6]                       |     27 | LUT6        |
| muon_sorter_1/max_pt_8[11]                      |     27 | LUT4        |
