Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Feb 13 21:22:02 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------+--------+-------------+
| Net Name                                           | Fanout | Driver Type |
+----------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_14_reto[14]                   |     26 | FDRE        |
| muon_sorter_1/pt_3_rep1                            |     23 | FDSE        |
| muon_sorter_1/un1_muon_sorter_1_1_80               |     23 | FDRE        |
| muon_sorter_1/max_pt_15_o[0]                       |     22 | FDRE        |
| muon_sorter_1/max_pt_2_o[15]                       |     21 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_64               |     21 | FDSE        |
| muon_sorter_1/un1_muon_sorter_1_1[209]             |     20 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[212]             |     20 | FDRE        |
| muon_sorter_1/top_cand_rep_3[200]                  |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[210]             |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[211]             |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[213]             |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[214]             |     19 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1[222]             |     19 | FDRE        |
| muon_sorter_1/max_pt_14[10]                        |     18 | LUT6        |
| muon_sorter_1/max_pt_15_iso[0]                     |     18 | LUT5        |
| muon_sorter_1/max_pt_15_o[8]                       |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_112              |     18 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_81               |     18 | FDRE        |
| muon_sorter_1/max_pt_0_o[15]                       |     17 | FDRE        |
| muon_sorter_1/max_pt_5_1[4]                        |     17 | LUT5        |
| muon_sorter_1/max_pt_6_1[2]                        |     17 | LUT5        |
| muon_sorter_1/max_pt_7_1[5]                        |     17 | LUT5        |
| muon_sorter_1/sr_p.sr_1_11.pt_1_1_RNIC80UOB3[1]/O6 |     17 | LUT6        |
| muon_sorter_1/top_cand_1_1[251]                    |     17 | FDSE        |
| muon_sorter_1/un1_muon_sorter_1_1[146]             |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_145              |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_1_32               |     17 | FDSE        |
| muon_sorter_1/un1_muon_sorter_1_1_33               |     17 | FDRE        |
| muon_sorter_1/un1_muon_sorter_1_2_0                |     17 | FDSE        |
| muon_sorter_1/N_1400_1                             |     16 | LUT6        |
| muon_sorter_1/N_601                                |     16 | LUT6        |
| muon_sorter_1/N_618                                |     16 | LUT6        |
| muon_sorter_1/N_636                                |     16 | LUT6        |
| muon_sorter_1/max_pt_0[5]                          |     16 | LUT4        |
| muon_sorter_1/max_pt_0_0[8]                        |     16 | LUT6        |
| muon_sorter_1/max_pt_0_1_2[10]                     |     16 | LUT6        |
| muon_sorter_1/max_pt_0_1_2[3]                      |     16 | LUT3        |
| muon_sorter_1/max_pt_0_3[11]                       |     16 | LUT6        |
| muon_sorter_1/max_pt_0_3[8]                        |     16 | LUT5        |
| muon_sorter_1/max_pt_10[12]                        |     16 | LUT5        |
| muon_sorter_1/max_pt_10[13]                        |     16 | LUT6        |
| muon_sorter_1/max_pt_10[2]                         |     16 | LUT6        |
| muon_sorter_1/max_pt_10[6]                         |     16 | LUT6        |
| muon_sorter_1/max_pt_10[9]                         |     16 | LUT6        |
| muon_sorter_1/max_pt_10_1[13]                      |     16 | LUT5        |
| muon_sorter_1/max_pt_11[6]                         |     16 | LUT6        |
| muon_sorter_1/max_pt_11_0[12]                      |     16 | LUT6        |
| muon_sorter_1/max_pt_11_1[5]                       |     16 | LUT5        |
| muon_sorter_1/max_pt_12[10]                        |     16 | LUT6        |
