Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 14 15:16:40 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------+--------+-------------+
| Net Name                    | Fanout | Driver Type |
+-----------------------------+--------+-------------+
| muon_sorter_1/max_pt_11[15] |     52 | LUT6        |
| muon_sorter_1/max_pt_6[3]   |     52 | LUT6        |
| muon_sorter_1/max_pt_6[2]   |     51 | LUT6        |
| muon_sorter_1/max_pt_0[15]  |     50 | LUT6        |
| muon_sorter_1/max_pt_8[9]   |     50 | LUT6        |
| muon_sorter_1/max_pt_0[14]  |     49 | LUT6        |
| muon_sorter_1/max_pt_0[8]   |     49 | LUT6        |
| muon_sorter_1/max_pt_12[14] |     49 | LUT6        |
| muon_sorter_1/max_pt_13[8]  |     49 | LUT6        |
| muon_sorter_1/max_pt_2[12]  |     49 | LUT6        |
| muon_sorter_1/max_pt_2[8]   |     49 | LUT6        |
| muon_sorter_1/max_pt_6[11]  |     49 | LUT6        |
| muon_sorter_1/max_pt_6[12]  |     49 | LUT6        |
| muon_sorter_1/max_pt_6[13]  |     49 | LUT6        |
| muon_sorter_1/max_pt_6[4]   |     49 | LUT6        |
| muon_sorter_1/max_pt_8[10]  |     49 | LUT6        |
| muon_sorter_1/max_pt_0[10]  |     48 | LUT6        |
| muon_sorter_1/max_pt_0[13]  |     48 | LUT6        |
| muon_sorter_1/max_pt_10[9]  |     48 | LUT6        |
| muon_sorter_1/max_pt_11[0]  |     48 | LUT6        |
| muon_sorter_1/max_pt_11[13] |     48 | LUT6        |
| muon_sorter_1/max_pt_11[1]  |     48 | LUT6        |
| muon_sorter_1/max_pt_13[1]  |     48 | LUT6        |
| muon_sorter_1/max_pt_1[4]   |     48 | LUT6        |
| muon_sorter_1/max_pt_2[13]  |     48 | LUT6        |
| muon_sorter_1/max_pt_2[14]  |     48 | LUT6        |
| muon_sorter_1/max_pt_3[15]  |     48 | LUT6        |
| muon_sorter_1/max_pt_3[3]   |     48 | LUT6        |
| muon_sorter_1/max_pt_3[7]   |     48 | LUT6        |
| muon_sorter_1/max_pt_4[14]  |     48 | LUT6        |
| muon_sorter_1/max_pt_5[8]   |     48 | LUT6        |
| muon_sorter_1/max_pt_6[14]  |     48 | LUT6        |
| muon_sorter_1/max_pt_6[5]   |     48 | LUT6        |
| muon_sorter_1/max_pt_6[6]   |     48 | LUT6        |
| muon_sorter_1/max_pt_6[9]   |     48 | LUT6        |
| muon_sorter_1/max_pt_8[12]  |     48 | LUT6        |
| muon_sorter_1/max_pt_8[15]  |     48 | LUT6        |
| muon_sorter_1/max_pt_8[2]   |     48 | LUT6        |
| muon_sorter_1/max_pt_8[3]   |     48 | LUT6        |
| muon_sorter_1/max_pt_0[12]  |     47 | LUT6        |
| muon_sorter_1/max_pt_10[5]  |     47 | LUT6        |
| muon_sorter_1/max_pt_11[10] |     47 | LUT6        |
| muon_sorter_1/max_pt_11[11] |     47 | LUT6        |
