Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 14 14:48:13 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------+--------+-------------+
| Net Name                       | Fanout | Driver Type |
+--------------------------------+--------+-------------+
| muon_sorter_1/max_pt_13[7]     |     56 | LUT5        |
| muon_sorter_1/max_pt_13[8]     |     52 | LUT6        |
| muon_sorter_1/max_pt_13[13]    |     51 | LUT5        |
| muon_sorter_1/max_pt_13[5]     |     49 | LUT6        |
| muon_sorter_1/max_pt_13[6]     |     49 | LUT6        |
| muon_sorter_1/max_pt_12_1[14]  |     47 | LUT6        |
| muon_sorter_1/max_pt_12_3[14]  |     46 | LUT5        |
| muon_sorter_1/max_pt_13[2]     |     46 | LUT6        |
| muon_sorter_1/max_pt_3[6]      |     46 | LUT6        |
| muon_sorter_1/max_pt_5[0]      |     46 | LUT6        |
| muon_sorter_1/max_pt_11[13]    |     45 | LUT6        |
| muon_sorter_1/max_pt_13[10]    |     45 | LUT6        |
| muon_sorter_1/max_pt_5[1]      |     44 | LUT5        |
| muon_sorter_1/max_pt_3[3]      |     43 | LUT6        |
| muon_sorter_1/max_pt_3[8]      |     43 | LUT6        |
| muon_sorter_1/max_pt_3[7]      |     42 | LUT6        |
| muon_sorter_1/max_pt_0[11]     |     41 | LUT6        |
| muon_sorter_1/max_pt_8[7]      |     41 | LUT6        |
| muon_sorter_1/max_pt_5[4]      |     40 | LUT6        |
| muon_sorter_1/max_pt_8[15]     |     39 | LUT6        |
| muon_sorter_1/max_pt_0[10]     |     38 | LUT6        |
| muon_sorter_1/max_pt_10[8]     |     38 | LUT6        |
| muon_sorter_1/max_pt_13[0]     |     37 | LUT6        |
| muon_sorter_1/max_pt_13[9]     |     37 | LUT6        |
| muon_sorter_1/max_pt_3[1]      |     37 | LUT6        |
| muon_sorter_1/max_pt_5[7]      |     37 | LUT6        |
| muon_sorter_1/max_pt_8[13]     |     37 | LUT6        |
| muon_sorter_1/max_pt_8[6]      |     37 | LUT6        |
| muon_sorter_1/max_pt_13[12]    |     36 | LUT5        |
| muon_sorter_1/max_pt_13[15]    |     36 | LUT6        |
| muon_sorter_1/max_pt_3[9]      |     36 | LUT6        |
| muon_sorter_1/max_pt_10[5]     |     35 | LUT6        |
| muon_sorter_1/max_pt_1[3]      |     35 | LUT6        |
| muon_sorter_1/max_pt_3[2]      |     35 | LUT5        |
| muon_sorter_1/max_pt_5[6]      |     35 | LUT6        |
| muon_sorter_1/max_pt_10[3]     |     34 | LUT6        |
| muon_sorter_1/max_pt_14[7]     |     34 | LUT6        |
| muon_sorter_1/max_pt_8_reto[3] |     34 | FDRE        |
| muon_sorter_1/max_pt_0[5]      |     33 | LUT6        |
| muon_sorter_1/max_pt_13[1]     |     33 | LUT3        |
| muon_sorter_1/max_pt_14[1]     |     33 | LUT6        |
| muon_sorter_1/max_pt_14[9]     |     33 | LUT6        |
| muon_sorter_1/max_pt_6_1[14]   |     33 | LUT5        |
| muon_sorter_1/max_pt_8_reto[2] |     33 | FDRE        |
| muon_cand_0.pt[0]              |     32 | FDRE        |
| muon_cand_0.pt[1]              |     32 | FDRE        |
| muon_cand_0.pt[2]              |     32 | FDRE        |
| muon_sorter_1/max_pt_10[2]     |     32 | LUT6        |
| muon_sorter_1/max_pt_12_1[5]   |     32 | LUT6        |
| muon_sorter_1/max_pt_12_1[9]   |     32 | LUT6        |
| muon_sorter_1/max_pt_13[4]     |     32 | LUT5        |
| muon_sorter_1/max_pt_14[0]     |     32 | LUT6        |
| muon_sorter_1/max_pt_1[5]      |     32 | LUT6        |
| muon_sorter_1/max_pt_1_0[14]   |     32 | LUT6        |
| muon_sorter_1/max_pt_1_1[14]   |     32 | LUT5        |
| muon_sorter_1/max_pt_1_2[14]   |     32 | LUT5        |
| muon_sorter_1/max_pt_3[0]      |     32 | LUT6        |
| muon_sorter_1/max_pt_3[4]      |     32 | LUT6        |
| muon_sorter_1/max_pt_3_0[14]   |     32 | LUT6        |
| muon_sorter_1/max_pt_3_1[14]   |     32 | LUT5        |
| muon_sorter_1/max_pt_7_1[14]   |     32 | LUT6        |
| muon_sorter_1/max_pt_8[10]     |     32 | LUT6        |
| muon_sorter_1/max_pt_8[11]     |     32 | LUT6        |
| muon_cand_1.pt[0]              |     31 | FDRE        |
| muon_cand_1.pt[1]              |     31 | FDRE        |
| muon_cand_1.pt[2]              |     31 | FDRE        |
| muon_sorter_1/max_pt_10[4]     |     31 | LUT6        |
| muon_sorter_1/max_pt_12_1[0]   |     31 | LUT6        |
| muon_sorter_1/max_pt_12_1[10]  |     31 | LUT6        |
| muon_sorter_1/max_pt_12_1[12]  |     31 | LUT6        |
| muon_sorter_1/max_pt_12_1[13]  |     31 | LUT5        |
| muon_sorter_1/max_pt_12_1[15]  |     31 | LUT5        |
| muon_sorter_1/max_pt_12_1[4]   |     31 | LUT6        |
| muon_sorter_1/max_pt_12_1[6]   |     31 | LUT6        |
| muon_sorter_1/max_pt_12_3[5]   |     31 | LUT6        |
| muon_sorter_1/max_pt_13[14]    |     31 | LUT6        |
| muon_sorter_1/max_pt_8_reto[0] |     31 | FDRE        |
| muon_sorter_1/max_pt_9_1[14]   |     31 | LUT6        |
| muon_sorter_1/max_pt_12_1[11]  |     30 | LUT5        |
| muon_sorter_1/max_pt_12_1[2]   |     30 | LUT6        |
| muon_sorter_1/max_pt_12_1[7]   |     30 | LUT6        |
| muon_sorter_1/max_pt_12_3[0]   |     30 | LUT5        |
| muon_sorter_1/max_pt_12_3[13]  |     30 | LUT6        |
| muon_sorter_1/max_pt_12_3[15]  |     30 | LUT5        |
| muon_sorter_1/max_pt_12_3[4]   |     30 | LUT4        |
| muon_sorter_1/max_pt_12_3[9]   |     30 | LUT4        |
| muon_sorter_1/max_pt_14[12]    |     30 | LUT6        |
| muon_sorter_1/max_pt_14[13]    |     30 | LUT6        |
| muon_sorter_1/max_pt_14[15]    |     30 | LUT6        |
| muon_sorter_1/max_pt_5[3]      |     30 | LUT6        |
| muon_sorter_1/max_pt_7[2]      |     30 | LUT5        |
| muon_sorter_1/max_pt_7[6]      |     30 | LUT6        |
| muon_sorter_1/max_pt_8[1]      |     30 | LUT4        |
| muon_cand_0.pt[3]              |     29 | FDRE        |
| muon_cand_1.pt[3]              |     29 | FDRE        |
| muon_sorter_1/max_pt_0_0[9]    |     29 | LUT6        |
| muon_sorter_1/max_pt_0_1[9]    |     29 | LUT5        |
| muon_sorter_1/max_pt_10[0]     |     29 | LUT6        |
| muon_sorter_1/max_pt_12_1_1[8] |     29 | LUT6        |
| muon_sorter_1/max_pt_12_1_2[8] |     29 | LUT3        |
| muon_sorter_1/max_pt_12_3[11]  |     29 | LUT6        |
| muon_sorter_1/max_pt_12_3[2]   |     29 | LUT4        |
| muon_sorter_1/max_pt_12_3[6]   |     29 | LUT4        |
| muon_sorter_1/max_pt_12_3[7]   |     29 | LUT5        |
| muon_sorter_1/max_pt_13[3]     |     29 | LUT5        |
| muon_sorter_1/max_pt_14[8]     |     29 | LUT6        |
| muon_sorter_1/max_pt_6_0[14]   |     29 | LUT6        |
| muon_sorter_1/max_pt_6_2[14]   |     29 | LUT6        |
| muon_sorter_1/max_pt_8[5]      |     29 | LUT6        |
| muon_sorter_1/max_pt_8[8]      |     29 | LUT4        |
| muon_sorter_1/max_pt_8[9]      |     29 | LUT3        |
| muon_cand_6.pt[2]              |     28 | FDRE        |
| muon_cand_6.pt[3]              |     28 | FDRE        |
| muon_sorter_1/max_pt_0[3]      |     28 | LUT6        |
| muon_sorter_1/max_pt_0[4]      |     28 | LUT6        |
| muon_sorter_1/max_pt_12_2[3]   |     28 | LUT4        |
| muon_sorter_1/max_pt_12_3[8]   |     28 | LUT4        |
| muon_sorter_1/max_pt_3_2[14]   |     28 | LUT4        |
| muon_sorter_1/max_pt_5[10]     |     28 | LUT5        |
| muon_sorter_1/max_pt_5_0[14]   |     28 | LUT6        |
| muon_sorter_1/max_pt_5_1[14]   |     28 | LUT5        |
| muon_cand_13.pt[2]             |     27 | FDRE        |
| muon_cand_13.pt[3]             |     27 | FDRE        |
| muon_cand_15.pt[2]             |     27 | FDRE        |
| muon_cand_15.pt[3]             |     27 | FDRE        |
| muon_cand_3.pt[2]              |     27 | FDRE        |
| muon_cand_3.pt[3]              |     27 | FDRE        |
| muon_cand_4.pt[2]              |     27 | FDRE        |
| muon_cand_4.pt[3]              |     27 | FDRE        |
| muon_sorter_1/max_pt_0[12]     |     27 | LUT6        |
| muon_sorter_1/max_pt_0_2[9]    |     27 | LUT4        |
| muon_sorter_1/max_pt_11[7]     |     27 | LUT4        |
| muon_sorter_1/max_pt_12_0[3]   |     27 | LUT6        |
| muon_sorter_1/max_pt_12_1[3]   |     27 | LUT5        |
| muon_sorter_1/max_pt_13[11]    |     27 | LUT6        |
| muon_sorter_1/max_pt_1[7]      |     27 | LUT6        |
| muon_sorter_1/max_pt_3[12]     |     27 | LUT6        |
| muon_cand_12.pt[0]             |     26 | FDRE        |
| muon_cand_12.pt[1]             |     26 | FDRE        |
| muon_cand_12.pt[2]             |     26 | FDRE        |
| muon_cand_12.pt[3]             |     26 | FDRE        |
| muon_cand_13.pt[0]             |     26 | FDRE        |
| muon_cand_13.pt[1]             |     26 | FDRE        |
| muon_cand_14.pt[3]             |     26 | FDRE        |
| muon_cand_15.pt[0]             |     26 | FDRE        |
| muon_cand_15.pt[1]             |     26 | FDRE        |
| muon_cand_2.pt[0]              |     26 | FDRE        |
| muon_cand_2.pt[1]              |     26 | FDRE        |
| muon_cand_2.pt[2]              |     26 | FDRE        |
| muon_cand_2.pt[3]              |     26 | FDRE        |
| muon_cand_3.pt[0]              |     26 | FDRE        |
| muon_cand_3.pt[1]              |     26 | FDRE        |
| muon_cand_4.pt[0]              |     26 | FDRE        |
| muon_cand_4.pt[1]              |     26 | FDRE        |
| muon_sorter_1/max_pt_0[2]      |     26 | LUT6        |
| muon_sorter_1/max_pt_10[6]     |     26 | LUT6        |
| muon_sorter_1/max_pt_12_3[1]   |     26 | LUT6        |
| muon_sorter_1/max_pt_14[5]     |     26 | LUT6        |
| muon_sorter_1/max_pt_1[11]     |     26 | LUT5        |
| muon_sorter_1/max_pt_1[8]      |     26 | LUT6        |
| muon_sorter_1/max_pt_7[7]      |     26 | LUT6        |
| muon_sorter_1/max_pt_8[4]      |     26 | LUT6        |
| muon_cand_14.pt[0]             |     25 | FDRE        |
| muon_cand_14.pt[1]             |     25 | FDRE        |
| muon_cand_14.pt[2]             |     25 | FDRE        |
| muon_sorter_1/max_pt_11[14]    |     25 | LUT6        |
| muon_sorter_1/max_pt_11[1]     |     25 | LUT6        |
| muon_sorter_1/max_pt_11_1[14]  |     25 | LUT6        |
| muon_sorter_1/max_pt_12[1]     |     25 | LUT5        |
| muon_sorter_1/max_pt_12_1[1]   |     25 | LUT6        |
| muon_sorter_1/max_pt_14[14]    |     25 | LUT5        |
| muon_sorter_1/max_pt_14[3]     |     25 | LUT6        |
| muon_sorter_1/max_pt_14_1[4]   |     25 | LUT6        |
| muon_sorter_1/max_pt_14_3[4]   |     25 | LUT6        |
| muon_sorter_1/max_pt_1[2]      |     25 | LUT6        |
| muon_sorter_1/max_pt_1[6]      |     25 | LUT5        |
| muon_sorter_1/max_pt_3[10]     |     25 | LUT6        |
| muon_sorter_1/max_pt_3[13]     |     25 | LUT6        |
| muon_sorter_1/max_pt_3[15]     |     25 | LUT6        |
| muon_sorter_1/max_pt_5[11]     |     25 | LUT6        |
| muon_sorter_1/max_pt_5_2[14]   |     25 | LUT4        |
| muon_sorter_1/max_pt_7[0]      |     25 | LUT6        |
| muon_sorter_1/max_pt_7[8]      |     25 | LUT6        |
| muon_cand_10.pt[0]             |     24 | FDRE        |
| muon_cand_10.pt[1]             |     24 | FDRE        |
| muon_cand_10.pt[2]             |     24 | FDRE        |
| muon_cand_10.pt[3]             |     24 | FDRE        |
| muon_cand_11.pt[0]             |     24 | FDRE        |
| muon_cand_11.pt[1]             |     24 | FDRE        |
| muon_cand_11.pt[2]             |     24 | FDRE        |
| muon_cand_11.pt[3]             |     24 | FDRE        |
| muon_cand_5.pt[0]              |     24 | FDRE        |
| muon_cand_5.pt[1]              |     24 | FDRE        |
| muon_cand_5.pt[2]              |     24 | FDRE        |
| muon_cand_5.pt[3]              |     24 | FDRE        |
| muon_cand_6.pt[0]              |     24 | FDRE        |
| muon_cand_6.pt[1]              |     24 | FDRE        |
| muon_cand_7.pt[0]              |     24 | FDRE        |
| muon_cand_7.pt[1]              |     24 | FDRE        |
| muon_cand_7.pt[2]              |     24 | FDRE        |
+--------------------------------+--------+-------------+


