Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Feb  5 17:53:57 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------+--------+-------------+
| Net Name                          | Fanout | Driver Type |
+-----------------------------------+--------+-------------+
| muon_sorter_1/max_pt_11[14]       |     54 | LUT6        |
| muon_sorter_1/max_pt_13[1]        |     53 | LUT6        |
| muon_sorter_1/max_pt_13[8]        |     52 | LUT6        |
| muon_sorter_1/max_pt_13[14]       |     51 | LUT6        |
| muon_sorter_1/max_pt_13[6]        |     51 | LUT6        |
| muon_sorter_1/max_pt_3[0]         |     51 | LUT6        |
| muon_sorter_1/max_pt_10[6]        |     50 | LUT5        |
| muon_sorter_1/max_pt_13[4]        |     50 | LUT6        |
| muon_sorter_1/max_pt_12_1[14]     |     47 | LUT6        |
| muon_sorter_1/max_pt_11[9]        |     46 | LUT6        |
| muon_sorter_1/max_pt_13[9]        |     46 | LUT6        |
| muon_sorter_1/max_pt_13[2]        |     44 | LUT6        |
| muon_sorter_1/max_pt_10[2]        |     43 | LUT6        |
| muon_sorter_1/max_pt_13[11]       |     43 | LUT5        |
| muon_sorter_1/max_pt_13[7]        |     42 | LUT6        |
| muon_sorter_1/max_pt_3[6]         |     41 | LUT6        |
| muon_sorter_1/max_pt_3[7]         |     40 | LUT6        |
| muon_sorter_1/max_pt_13[0]        |     38 | LUT6        |
| muon_sorter_1/max_pt_9[1]         |     38 | LUT6        |
| muon_sorter_1/max_pt_3_0[14]      |     37 | LUT6        |
| muon_sorter_1/max_pt_3_1[14]      |     37 | LUT4        |
| muon_sorter_1/max_pt_0[5]         |     36 | LUT6        |
| muon_sorter_1/max_pt_13[5]        |     36 | LUT5        |
| muon_sorter_1/max_pt_6_0[14]      |     36 | LUT6        |
| muon_sorter_1/max_pt_6_1[14]      |     36 | LUT5        |
| muon_sorter_1/max_pt_8[6]         |     36 | LUT6        |
| muon_sorter_1/max_pt_12_1[0]      |     35 | LUT6        |
| muon_sorter_1/max_pt_12_1[10]     |     35 | LUT6        |
| muon_sorter_1/max_pt_13[15]       |     35 | LUT5        |
| muon_sorter_1/max_pt_4_0[14]      |     35 | LUT6        |
