Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Feb  5 22:44:41 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------+--------+-------------+
| Net Name                       | Fanout | Driver Type |
+--------------------------------+--------+-------------+
| muon_sorter_1/max_pt_13[14]    |     56 | LUT6        |
| muon_sorter_1/max_pt_11[14]    |     53 | LUT6        |
| muon_sorter_1/max_pt_13[1]     |     52 | LUT6        |
| muon_sorter_1/max_pt_10[6]     |     51 | LUT5        |
| muon_sorter_1/max_pt_13[4]     |     51 | LUT5        |
| muon_sorter_1/max_pt_13[6]     |     51 | LUT6        |
| muon_sorter_1/max_pt_13[8]     |     51 | LUT6        |
| muon_sorter_1/max_pt_6[9]      |     48 | LUT3        |
| muon_sorter_1/max_pt_13[11]    |     47 | LUT5        |
| muon_sorter_1/max_pt_13[5]     |     46 | LUT5        |
| muon_sorter_1/max_pt_11[9]     |     45 | LUT6        |
| muon_sorter_1/max_pt_12_1[14]  |     45 | LUT6        |
| muon_sorter_1/max_pt_13[2]     |     44 | LUT6        |
| muon_sorter_1/max_pt_10[2]     |     43 | LUT6        |
| muon_sorter_1/max_pt_3[0]      |     43 | LUT6        |
| muon_sorter_1/max_pt_13[7]     |     42 | LUT6        |
| muon_sorter_1/max_pt_13[9]     |     42 | LUT6        |
| muon_sorter_1/max_pt_13[0]     |     40 | LUT6        |
| muon_sorter_1/max_pt_13[3]     |     39 | LUT5        |
| muon_sorter_1/max_pt_6[8]      |     39 | LUT6        |
| muon_cand_4.pt[2]              |     37 | FDRE        |
| muon_cand_4.pt[3]              |     37 | FDRE        |
| muon_sorter_1/max_pt_3[7]      |     37 | LUT6        |
| muon_cand_15.pt[2]             |     36 | FDRE        |
| muon_cand_15.pt[3]             |     36 | FDRE        |
| muon_sorter_1/max_pt_13[15]    |     36 | LUT5        |
| muon_sorter_1/max_pt_9[1]      |     36 | LUT6        |
| muon_sorter_1/max_pt_13[13]    |     35 | LUT6        |
| muon_sorter_1/max_pt_3[6]      |     35 | LUT6        |
| muon_cand_0.pt[2]              |     34 | FDRE        |
| muon_cand_0.pt[3]              |     34 | FDRE        |
| muon_sorter_1/max_pt_0[5]      |     34 | LUT6        |
| muon_sorter_1/max_pt_10[4]     |     34 | LUT6        |
| muon_sorter_1/max_pt_10[7]     |     34 | LUT6        |
| muon_sorter_1/max_pt_14[14]    |     34 | LUT6        |
| muon_cand_12.pt[2]             |     33 | FDRE        |
| muon_cand_12.pt[3]             |     33 | FDRE        |
| muon_cand_3.pt[3]              |     33 | FDRE        |
| muon_sorter_1/max_pt_11[5]     |     33 | LUT4        |
| muon_sorter_1/max_pt_13[12]    |     33 | LUT6        |
| muon_sorter_1/max_pt_3_0[14]   |     33 | LUT6        |
| muon_sorter_1/max_pt_3_1[14]   |     33 | LUT5        |
| muon_cand_1.pt[2]              |     32 | FDRE        |
| muon_cand_1.pt[3]              |     32 | FDRE        |
| muon_cand_11.pt[2]             |     32 | FDRE        |
| muon_cand_11.pt[3]             |     32 | FDRE        |
| muon_cand_3.pt[2]              |     32 | FDRE        |
| muon_cand_6.pt[2]              |     32 | FDRE        |
| muon_cand_6.pt[3]              |     32 | FDRE        |
| muon_cand_8.pt[3]              |     32 | FDRE        |
| muon_sorter_1/max_pt_10_1[14]  |     32 | LUT6        |
| muon_sorter_1/max_pt_12_1[5]   |     32 | LUT6        |
| muon_sorter_1/max_pt_12_1[9]   |     32 | LUT6        |
| muon_sorter_1/max_pt_4_0[14]   |     32 | LUT6        |
