Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sat Mar  2 20:51:11 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : bitonic_sorter_16_top
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                                                                                                                       | Fanout | Driver Type |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_9                                            |     47 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_10                                          |     44 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_ac0_5_0_0_1                                                             |     36 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_8                                            |     35 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_ac0_5_d_0                                                               |     35 | LUT6        |
| dut_inst/un1_b_o_17                                                                                                                                                            |     35 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[3].compare_i/idx2_ac0_5_0_0_0                                                            |     34 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2_ac0_5_0_0_2                                                            |     33 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[3].compare_i/idx2_ac0_5_d_0                                                              |     32 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_2_0                                          |     32 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2_11                                          |     31 | LUT5        |
| dut_inst/un1_b_o_15                                                                                                                                                            |     31 | FDRE        |
| dut_inst/idx2_o_20                                                                                                                                                             |     30 | FDRE        |
| dut_inst/idx2_o_o                                                                                                                                                              |     30 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2_ac0_5_d_2                                                              |     30 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_2_0                                           |     30 | LUT5        |
| dut_inst/un1_bitonic_sort_high_o_0[0]                                                                                                                                          |     30 | FDRE        |
| dut_inst/un1_bitonic_sort_low_o_0[0]                                                                                                                                           |     30 | FDRE        |
| dut_inst/un1_bitonic_sort_high_o[39]                                                                                                                                           |     29 | FDRE        |
| dut_inst/un1_bitonic_sort_high_o_0[26]                                                                                                                                         |     29 | FDRE        |
| dut_inst/un1_bitonic_sort_low_o[39]                                                                                                                                            |     29 | FDRE        |
| dut_inst/un1_bitonic_sort_low_o_0[26]                                                                                                                                          |     29 | FDRE        |
| unsorted_muons[4].pt[3]                                                                                                                                                        |     29 | FDRE        |
| unsorted_muons[5].pt[3]                                                                                                                                                        |     29 | FDRE        |
| dut_inst/idx2_o_18                                                                                                                                                             |     28 | FDRE        |
| dut_inst/idx2_o_o_0                                                                                                                                                            |     28 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[2].compare_i/idx2_ac0_5_0_0                                                              |     28 | LUT6        |
| dut_inst/un1_b_o_o_10                                                                                                                                                          |     28 | FDRE        |
| unsorted_muons[12].pt[3]                                                                                                                                                       |     28 | FDRE        |
| unsorted_muons[13].pt[3]                                                                                                                                                       |     28 | FDRE        |
| dut_inst/idx2_o_17                                                                                                                                                             |     27 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_sort_low/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/pt_lut6_2_o5_0              |     27 | LUT2        |
| dut_inst/un1_b_o_12                                                                                                                                                            |     27 | FDRE        |
| dut_inst/un1_bitonic_sort_high_o_0[13]                                                                                                                                         |     27 | FDRE        |
| dut_inst/un1_bitonic_sort_high_o_0[39]                                                                                                                                         |     27 | FDRE        |
| dut_inst/un1_bitonic_sort_low_o_0[13]                                                                                                                                          |     27 | FDRE        |
| dut_inst/idx2_o_19                                                                                                                                                             |     26 | FDRE        |
| dut_inst/idx2_o_30                                                                                                                                                             |     26 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0_1                                                            |     26 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[2].compare_i/idx2_ac0_5_d                                                                |     26 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_0                                             |     26 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[3].compare_i/idx2_ac0_5_d                                                                 |     26 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/pt_lut6_2_o5_6_0          |     26 | LUT2        |
| dut_inst/un1_b_o_o_1                                                                                                                                                           |     26 | FDRE        |
| dut_inst/idx2_o_o_1                                                                                                                                                            |     25 | FDRE        |
| dut_inst/idx2_o_o_3                                                                                                                                                            |     25 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_2                                                                       |     25 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[3].compare_i/idx2_ac0_5_0_0_0                                                             |     25 | LUT6        |
| dut_inst/idx2_o_10                                                                                                                                                             |     24 | FDRE        |
| dut_inst/idx2_o_13                                                                                                                                                             |     24 | FDRE        |
| dut_inst/idx2_o_o_2                                                                                                                                                            |     24 | FDRE        |
| dut_inst/idx2_o_o_5                                                                                                                                                            |     24 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_d_1                                                              |     24 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2_0                                            |     24 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_high/genblk1.bitonic_sort_low/genblk1.bitonic_sort_low/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/pt_lut6_2_o6_3_0           |     24 | LUT2        |
| dut_inst/sorter_inst/genblk1.bitonic_sort_low/genblk1.bitonic_sort_low/genblk1.bitonic_sort_high/genblk1.bitonic_merge_i/genblk1.cmp_g[0].compare_i/pt_lut6_2_o6_0_0           |     24 | LUT2        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.cmp_g[2].compare_i/idx2_7                                                                       |     23 | LUT5        |
| dut_inst/un1_b_o_11                                                                                                                                                            |     23 | FDRE        |
| dut_inst/un1_b_o_16                                                                                                                                                            |     23 | FDRE        |
| dut_inst/un1_b_o_o_2                                                                                                                                                           |     23 | FDRE        |
| dut_inst/idx2_o_11                                                                                                                                                             |     22 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0        |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0         |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0         |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_ac0_5_0_0          |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2                   |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_0                  |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_0                  |     22 | LUT6        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_0                   |     22 | LUT6        |
| dut_inst/un1_b_o_9                                                                                                                                                             |     22 | FDRE        |
