Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar  4 16:23:05 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------+---------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
|                 Instance                 |                                Module                               | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+------------------------------------------+---------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------+--------------+
| wrapper                                  |                                                               (top) |       1495 |       1495 |       0 |    0 | 1525 |      0 |      0 |    0 |            0 |
|   (wrapper)                              |                                                               (top) |          0 |          0 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|   dut_inst                               | muon_sorter_I016_O016_D002_BITONIC_TOPVHDL-freq320retfan10000_rev_1 |       1425 |       1425 |       0 |    0 |  623 |      0 |      0 |    0 |            0 |
|     (dut_inst)                           | muon_sorter_I016_O016_D002_BITONIC_TOPVHDL-freq320retfan10000_rev_1 |          2 |          2 |       0 |    0 |  477 |      0 |      0 |    0 |            0 |
|     sorter_inst                          |                                              bitonic_sort_16s_1s_8s |       1423 |       1423 |       0 |    0 |  146 |      0 |      0 |    0 |            0 |
|       genblk1.bitonic_merge_i            |                                             bitonic_merge_16s_1s_8s |        654 |        654 |       0 |    0 |   41 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_high       |                                            bitonic_merge_8s_1s_4s_1 |        301 |        301 |       0 |    0 |    8 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_high     |                                            bitonic_merge_4s_1s_2s_6 |        102 |        102 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high   |                                           bitonic_merge_2s_1s_1s_18 |         33 |         33 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.cmp_g[0].compare_i |                                                       compare_1s_54 |         33 |         33 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_low    |                                           bitonic_merge_2s_1s_1s_17 |         39 |         39 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.cmp_g[0].compare_i |                                                       compare_1s_53 |         39 |         39 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.cmp_g[0].compare_i   |                                                       compare_1s_52 |         11 |         11 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.cmp_g[1].compare_i   |                                                       compare_1s_51 |         19 |         19 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|           genblk1.bitonic_merge_low      |                                            bitonic_merge_4s_1s_2s_5 |        105 |        105 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_high   |                                           bitonic_merge_2s_1s_1s_16 |         41 |         41 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.cmp_g[0].compare_i |                                                       compare_1s_50 |         41 |         41 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.bitonic_merge_low    |                                           bitonic_merge_2s_1s_1s_15 |         37 |         37 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|               genblk1.cmp_g[0].compare_i |                                                       compare_1s_49 |         37 |         37 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.cmp_g[0].compare_i   |                                                       compare_1s_48 |         10 |         10 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|             genblk1.cmp_g[1].compare_i   |                                                       compare_1s_47 |         17 |         17 |       0 |    0 |    0 |      0 |      0 |    0 |            0 |
|           genblk1.cmp_g[0].compare_i     |                                                       compare_1s_45 |         25 |         25 |       0 |    0 |    2 |      0 |      0 |    0 |            0 |
|           genblk1.cmp_g[1].compare_i     |                                                       compare_1s_46 |         25 |         25 |       0 |    0 |    2 |      0 |      0 |    0 |            0 |
|           genblk1.cmp_g[2].compare_i     |                                                       compare_1s_43 |         23 |         23 |       0 |    0 |    2 |      0 |      0 |    0 |            0 |
|           genblk1.cmp_g[3].compare_i     |                                                       compare_1s_44 |         21 |         21 |       0 |    0 |    2 |      0 |      0 |    0 |            0 |
|         genblk1.bitonic_merge_low        |                                            bitonic_merge_8s_1s_4s_0 |        244 |        244 |       0 |    0 |    2 |      0 |      0 |    0 |            0 |
