Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar  5 23:20:05 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------+--------+-------------+
| Net Name                                              | Fanout | Driver Type |
+-------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.7.pair_g.0.csn_cmp_inst/un1_b_i_52   |     42 | LUT6        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_58   |     38 | LUT6        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_45   |     35 | LUT6        |
| dut_inst/un1_b_i_o_23                                 |     35 | FDRE        |
| dut_inst/un1_b_i_o_o_34                               |     35 | FDRE        |
| dut_inst/stage_g.6.pair_g.4.csn_cmp_inst/un1_b_i_51   |     34 | LUT5        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_57   |     33 | LUT5        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_46   |     33 | LUT6        |
| dut_inst/un1_b_i_o_o_0                                |     33 | FDRE        |
| dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_44   |     31 | LUT5        |
| dut_inst/stage_g.6.pair_g.1.csn_cmp_inst/un1_b_i_59   |     31 | LUT5        |
| dut_inst/stage_g.5.pair_g.6.csn_cmp_inst/un1_b_i_54   |     29 | LUT5        |
| dut_inst/stage_g.6.pair_g.3.csn_cmp_inst/un1_b_i_50   |     29 | LUT5        |
| dut_inst/un1_b_i_o_o_16                               |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_9                                |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_40                               |     28 | FDRE        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_43   |     27 | LUT6        |
| dut_inst/un1_b_i_o_o_20                               |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_26                               |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_28                               |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_4                                |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_5                                |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_1                                |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_10                               |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_2                                |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_23                               |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_24                               |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_6                                |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_8                                |     26 | FDRE        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_48   |     25 | LUT6        |
| dut_inst/un1_b_i_o_o_14                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_18                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_3                                |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_30                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_31                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_32                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_33                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_36                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_12                               |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_17                               |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_22                               |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_25                               |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_35                               |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_11                               |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_21                               |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_38                               |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_39                               |     23 | FDRE        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_53   |     22 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_55   |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_56   |     22 | LUT5        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_49   |     22 | LUT5        |
| dut_inst/un1_b_i_o_o_27                               |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_7                                |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_19                               |     21 | FDRE        |
| dut_inst/un1_b_i_o_o_41                               |     21 | FDRE        |
| dut_inst/un1_b_i_o_o_13                               |     20 | FDRE        |
| dut_inst/pt_o_11[3]                                   |     19 | FDRE        |
| dut_inst/pt_o_12[3]                                   |     19 | FDRE        |
| dut_inst/un1_b_i_o_o_29                               |     19 | FDRE        |
| dut_inst/un1_b_i_o_o_37                               |     19 | FDRE        |
| dut_inst/un1_b_i_o_o                                  |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_15                               |     18 | FDRE        |
| dut_inst/i217_i                                       |     17 | FDRE        |
| dut_inst/i218_i                                       |     17 | FDRE        |
| dut_inst/pt_o_21[3]                                   |     17 | FDRE        |
| dut_inst/pt_o_22[3]                                   |     17 | FDRE        |
| shift_reg_tap_i/input_slr[81]                         |     17 | FDRE        |
| shift_reg_tap_i/input_slr[94]                         |     17 | FDRE        |
