Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Mar  6 15:37:16 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------------+--------+-------------+
| Net Name                                                 | Fanout | Driver Type |
+----------------------------------------------------------+--------+-------------+
| dut_inst/pt_o_19[3]                                      |     40 | FDRE        |
| dut_inst/pt_o_21[3]                                      |     40 | FDRE        |
| dut_inst/un1_b_i_o_27                                    |     36 | FDRE        |
| dut_inst/un1_b_i_o_29                                    |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_14                                  |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_10                                  |     33 | FDRE        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_34      |     31 | LUT5        |
| dut_inst/un1_b_i_o_16                                    |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_5                                   |     30 | FDRE        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_53      |     29 | LUT3        |
| dut_inst/un1_b_i_o                                       |     29 | FDRE        |
| dut_inst/un1_b_i_o_40                                    |     29 | FDRE        |
| dut_inst/stage_g.5.pair_g.5.csn_cmp_inst/un1_b_i_38      |     28 | LUT5        |
| dut_inst/un1_b_i_o_22                                    |     28 | FDRE        |
| dut_inst/un1_b_i_o_46                                    |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_0                                   |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_1                                   |     27 | FDRE        |
| dut_inst/un1_b_i_o_18                                    |     26 | FDRE        |
| dut_inst/un1_b_i_o_48                                    |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_12                                  |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_4                                   |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_8                                   |     26 | FDRE        |
| dut_inst/un1_b_i_o_21                                    |     25 | FDRE        |
| dut_inst/un1_b_i_o_39                                    |     25 | FDRE        |
| dut_inst/un1_b_i_o_44                                    |     25 | FDRE        |
| dut_inst/un1_b_i_o_o                                     |     25 | FDRE        |
| dut_inst/stage_g.4.pair_g.2.csn_cmp_inst/un1_b_i_30      |     24 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0 |     24 | LUT6        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_ac0_6_0 |     24 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_6_1 |     24 | LUT4        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_ac0_6   |     24 | LUT4        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_2 |     24 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_ac0_6_2 |     24 | LUT5        |
| dut_inst/un1_b_i_o_38                                    |     24 | FDRE        |
| dut_inst/un1_b_i_o_47                                    |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_6                                   |     24 | FDRE        |
| dut_inst/stage_g.4.pair_g.4.csn_cmp_inst/un1_b_i_27      |     23 | LUT5        |
| dut_inst/un1_b_i_o_19                                    |     23 | FDRE        |
| dut_inst/un1_b_i_o_20                                    |     23 | FDRE        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/pt_78_0         |     22 | LUT2        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_c3_14   |     22 | LUT6        |
| dut_inst/un1_b_i_o_31                                    |     22 | FDRE        |
| dut_inst/un1_b_i_o_42                                    |     22 | FDRE        |
| dut_inst/un1_b_i_o_43                                    |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_7                                   |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_9                                   |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_2                                   |     21 | FDRE        |
| dut_inst/pt_o_23[3]                                      |     20 | FDRE        |
| dut_inst/pt_o_24[3]                                      |     20 | FDRE        |
| dut_inst/stage_g.7.pair_g.0.csn_cmp_inst/un1_b_i_51      |     20 | LUT3        |
| dut_inst/un1_b_i_o_23                                    |     20 | FDRE        |
| dut_inst/un1_b_i_o_32                                    |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_11                                  |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_15                                  |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_17                                  |     20 | FDRE        |
