Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 14 00:06:27 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------+--------+-------------+
| Net Name                                           | Fanout | Driver Type |
+----------------------------------------------------+--------+-------------+
| muon_sorter_1/top_candoi[8]                        |     29 | FDRE        |
| muon_sorter_1/top_candoi[24]                       |     28 | FDRE        |
| muon_sorter_1/top_candoi[136]                      |     24 | FDRE        |
| muon_sorter_1/top_candoi[152]                      |     24 | FDRE        |
| muon_sorter_1/top_candoi[40]                       |     24 | FDRE        |
| muon_sorter_1/top_candoi[88]                       |     24 | FDRE        |
| muon_sorter_1/top_candoi[153]                      |     22 | FDRE        |
| muon_sorter_1/top_candoi[9]                        |     22 | FDRE        |
| muon_sorter_1/top_candoi[104]                      |     21 | FDRE        |
| muon_sorter_1/top_candoi[137]                      |     21 | FDRE        |
| muon_sorter_1/top_candoi[25]                       |     21 | FDRE        |
| muon_sorter_1/top_candoi[41]                       |     21 | FDRE        |
| muon_sorter_1/top_candoi[89]                       |     20 | FDRE        |
| muon_sorter_1/top_candoi[10]                       |     18 | FDRE        |
| muon_sorter_1/top_candoi[11]                       |     18 | FDRE        |
| muon_sorter_1/top_candoi[120]                      |     18 | FDRE        |
| muon_sorter_1/top_candoi[121]                      |     18 | FDRE        |
| muon_sorter_1/max_pt_12_1[4]                       |     17 | LUT5        |
| muon_sorter_1/max_pt_13[13]                        |     17 | LUT6        |
| muon_sorter_1/max_pt_13_1_reto[3]                  |     17 | FDRE        |
| muon_sorter_1/max_pt_13_reto[12]                   |     17 | FDRE        |
| muon_sorter_1/max_pt_15[15]                        |     17 | LUT4        |
| muon_sorter_1/max_pt_4_1[2]                        |     17 | LUT6        |
| muon_sorter_1/max_pt_5_1[3]                        |     17 | LUT6        |
| muon_sorter_1/max_pt_7[15]                         |     17 | LUT6        |
| muon_sorter_1/max_pt_8_1[13]                       |     17 | LUT6        |
| muon_sorter_1/max_pt_9_1[0]                        |     17 | LUT5        |
| muon_sorter_1/max_pt_9_1[10]                       |     17 | LUT6        |
| muon_sorter_1/max_pt_9_1[14]                       |     17 | LUT5        |
| muon_sorter_1/pt_compare_13_6_25_0_a2[1]           |     17 | LUT6        |
| muon_sorter_1/top_candoi[105]                      |     17 | FDRE        |
| muon_sorter_1/top_candoi[26]                       |     17 | FDRE        |
| muon_sorter_1/top_candoi[27]                       |     17 | FDRE        |
