Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar  5 23:32:43 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------+--------+-------------+
| Net Name                                               | Fanout | Driver Type |
+--------------------------------------------------------+--------+-------------+
| dut_inst/un1_b_i_o_o_o_16                              |     46 | FDRE        |
| dut_inst/un1_b_i_o                                     |     44 | FDRE        |
| dut_inst/un1_b_i_o_0                                   |     40 | FDRE        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_51    |     36 | LUT5        |
| dut_inst/un1_b_i_o_2                                   |     36 | FDRE        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_54    |     35 | LUT5        |
| dut_inst/un1_b_i_o_14                                  |     33 | FDRE        |
| dut_inst/un1_b_i_o_1                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_18                                  |     31 | FDRE        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_57    |     30 | LUT5        |
| dut_inst/un1_b_i_o_o_o_25                              |     30 | FDRE        |
| dut_inst/un1_b_i_o_15                                  |     29 | FDRE        |
| dut_inst/un1_b_i_o_17                                  |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_o_15                              |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_o_7                               |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_o_20                              |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_o_34                              |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_o_35                              |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_o_24                              |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_o_4                               |     27 | FDRE        |
| dut_inst/un1_b_i_o_13                                  |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_10                              |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_11                              |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_21                              |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_29                              |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_31                              |     26 | FDRE        |
| dut_inst/un1_b_i_o_9                                   |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_o_18                              |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_o_19                              |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_o_22                              |     25 | FDRE        |
