Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 14 03:03:26 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------+--------+-------------+
| Net Name                    | Fanout | Driver Type |
+-----------------------------+--------+-------------+
| muon_sorter_1/max_pt_4[6]   |     52 | LUT6        |
| muon_sorter_1/max_pt_10[12] |     51 | LUT6        |
| muon_sorter_1/max_pt_12[1]  |     51 | LUT6        |
| muon_sorter_1/max_pt_10[11] |     49 | LUT6        |
| muon_sorter_1/max_pt_10[1]  |     49 | LUT6        |
| muon_sorter_1/max_pt_12[5]  |     49 | LUT6        |
| muon_sorter_1/max_pt_2[9]   |     49 | LUT6        |
| muon_sorter_1/max_pt_4[10]  |     49 | LUT6        |
| muon_sorter_1/max_pt_5[2]   |     49 | LUT6        |
| muon_sorter_1/max_pt_8[10]  |     49 | LUT6        |
| muon_sorter_1/max_pt_8[11]  |     49 | LUT6        |
| muon_sorter_1/max_pt_8[13]  |     49 | LUT6        |
| muon_sorter_1/max_pt_8[14]  |     49 | LUT6        |
| muon_sorter_1/max_pt_10[14] |     48 | LUT6        |
| muon_sorter_1/max_pt_10[3]  |     48 | LUT6        |
| muon_sorter_1/max_pt_10[8]  |     48 | LUT6        |
| muon_sorter_1/max_pt_12[12] |     48 | LUT6        |
| muon_sorter_1/max_pt_12[13] |     48 | LUT6        |
| muon_sorter_1/max_pt_12[4]  |     48 | LUT6        |
| muon_sorter_1/max_pt_12[6]  |     48 | LUT6        |
| muon_sorter_1/max_pt_12[7]  |     48 | LUT6        |
| muon_sorter_1/max_pt_12[8]  |     48 | LUT6        |
| muon_sorter_1/max_pt_12[9]  |     48 | LUT6        |
| muon_sorter_1/max_pt_1[15]  |     48 | LUT6        |
| muon_sorter_1/max_pt_2[4]   |     48 | LUT6        |
| muon_sorter_1/max_pt_2[5]   |     48 | LUT6        |
| muon_sorter_1/max_pt_2[6]   |     48 | LUT6        |
| muon_sorter_1/max_pt_2[8]   |     48 | LUT6        |
| muon_sorter_1/max_pt_4[14]  |     48 | LUT6        |
| muon_sorter_1/max_pt_4[15]  |     48 | LUT6        |
| muon_sorter_1/max_pt_4[7]   |     48 | LUT6        |
| muon_sorter_1/max_pt_4[9]   |     48 | LUT6        |
| muon_sorter_1/max_pt_7[10]  |     48 | LUT6        |
