Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sat Mar  2 22:26:44 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : bitonic_sorter_16_top
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                                                                                                        | Fanout | Driver Type |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_0_0                           |     45 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[0].compare_i/idx2_0                              |     41 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_0                             |     40 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[0].compare_i/idx2_0_0                          |     39 | LUT5        |
| dut_inst/idx2_o_o_o_14                                                                                                                                          |     36 | FDRE        |
| dut_inst/idx2_o_o_o_15                                                                                                                                          |     36 | FDRE        |
| dut_inst/un1_b_o_o_o_15                                                                                                                                         |     36 | FDRE        |
| dut_inst/un1_b_o_o_o_16                                                                                                                                         |     36 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2_0                            |     33 | LUT5        |
| dut_inst/idx2_o_o_o_o_13                                                                                                                                        |     31 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_high/genblk1.cmp_g[1].compare_i/idx2                               |     31 | LUT5        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_low/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2                                |     31 | LUT5        |
| dut_inst/un1_b_o_o_o_o_6                                                                                                                                        |     31 | FDRE        |
| dut_inst/idx2_o_o_o_o_11                                                                                                                                        |     30 | FDRE        |
| dut_inst/un1_b_o_o_o_o_4                                                                                                                                        |     29 | FDRE        |
| dut_inst/idx2_o_o_o_o_9                                                                                                                                         |     28 | FDRE        |
| dut_inst/un1_b_o_o_o_o_9                                                                                                                                        |     28 | FDRE        |
| dut_inst/idx2_o_o_o_11                                                                                                                                          |     27 | FDRE        |
| dut_inst/idx2_o_o_o_12                                                                                                                                          |     27 | FDRE        |
| dut_inst/idx2_o_o_o_o                                                                                                                                           |     27 | FDRE        |
| dut_inst/sorter_inst/genblk1.bitonic_merge_i/genblk1.bitonic_merge_high/genblk1.bitonic_merge_low/genblk1.cmp_g[1].compare_i/idx2_0                             |     27 | LUT5        |
| dut_inst/un1_b_o_o_o_11                                                                                                                                         |     27 | FDRE        |
| dut_inst/un1_b_o_o_o_18                                                                                                                                         |     27 | FDRE        |
| dut_inst/un1_b_o_o_o_o                                                                                                                                          |     27 | FDRE        |
| dut_inst/un1_b_o_o_o_o_10                                                                                                                                       |     27 | FDRE        |
| dut_inst/idx2_o_o_o_o_0                                                                                                                                         |     26 | FDRE        |
| dut_inst/un1_b_o_o_o_o_7                                                                                                                                        |     26 | FDRE        |
| dut_inst/idx2_o_o_o_o_16                                                                                                                                        |     25 | FDRE        |
| dut_inst/idx2_o_o_o_o_19                                                                                                                                        |     25 | FDRE        |
| dut_inst/idx2_o_o_o_o_24                                                                                                                                        |     25 | FDRE        |
| dut_inst/idx2_o_o_o_o_25                                                                                                                                        |     25 | FDRE        |
| dut_inst/un1_b_o_o_o_o_1                                                                                                                                        |     25 | FDRE        |
| dut_inst/un1_b_o_o_o_o_8                                                                                                                                        |     25 | FDRE        |
| dut_inst/idx2_o_o_o_o_1                                                                                                                                         |     24 | FDRE        |
| dut_inst/idx2_o_o_o_o_2                                                                                                                                         |     24 | FDRE        |
| dut_inst/idx2_o_o_o_o_23                                                                                                                                        |     24 | FDRE        |
| dut_inst/idx2_o_o_o_o_7                                                                                                                                         |     24 | FDRE        |
| dut_inst/idx2_o_o_o_o_15                                                                                                                                        |     23 | FDRE        |
| dut_inst/idx2_o_o_o_o_20                                                                                                                                        |     23 | FDRE        |
| dut_inst/idx2_o_o_o_o_26                                                                                                                                        |     23 | FDRE        |
| dut_inst/idx2_o_o_o_o_6                                                                                                                                         |     23 | FDRE        |
| dut_inst/idx2_o_o_o_o_8                                                                                                                                         |     23 | FDRE        |
| dut_inst/un1_b_o_o_o_o_2                                                                                                                                        |     23 | FDRE        |
| dut_inst/un1_b_o_o_o_o_5                                                                                                                                        |     23 | FDRE        |
| dut_inst/idx2_o_o_o_o_12                                                                                                                                        |     22 | FDRE        |
| dut_inst/idx2_o_o_o_o_18                                                                                                                                        |     22 | FDRE        |
