Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar  5 23:50:15 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------+--------+-------------+
| Net Name                                                         | Fanout | Driver Type |
+------------------------------------------------------------------+--------+-------------+
| dut_inst/pt_o_11[3]                                              |     38 | FDRE        |
| dut_inst/pt_o_16[3]                                              |     38 | FDRE        |
| dut_inst/stage_g.7.pair_g.0.csn_cmp_inst/un1_b_i_51              |     36 | LUT3        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_53              |     36 | LUT3        |
| dut_inst/un1_b_i_o_o_o_20                                        |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_o_22                                        |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_o_24                                        |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_o_26                                        |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_0                                       |     34 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_13                                      |     32 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_1                                       |     31 | FDRE        |
| dut_inst/un1_b_i_o_2                                             |     29 | FDRE        |
| dut_inst/un1_b_i_o_4                                             |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_21                                      |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_23                                      |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_12                                      |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_16                                      |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_6                                       |     28 | FDRE        |
| dut_inst/un1_b_i_o_7                                             |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_11                                      |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_19                                      |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_9                                       |     26 | FDRE        |
| dut_inst/un1_b_i_o_5                                             |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_15                                      |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_20                                      |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_22                                      |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_3                                       |     25 | FDRE        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_ac0_6           |     24 | LUT4        |
| dut_inst/un1_b_i_o_3                                             |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_8                                       |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_7                                       |     23 | FDRE        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_52              |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_50              |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_c3_2            |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_49              |     22 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/N_1040                  |     22 | LUT2        |
| dut_inst/un1_b_i_o_o_9                                           |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o                                         |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_17                                      |     21 | FDRE        |
| dut_inst/un1_b_i_o_6                                             |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_14                                      |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_18                                      |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_4                                       |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_5                                       |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_7                                           |     19 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_10                                      |     19 | FDRE        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/m1023_lut6_2_o5         |     18 | LUT3        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/m460_lut6_2_o5          |     18 | LUT3        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/m518_lut6_2_o5          |     18 | LUT3        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/m821_lut6_2_o5          |     18 | LUT3        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_lut6_2_o6 |     18 | LUT5        |
| dut_inst/un1_b_i_o_o_8                                           |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o                                           |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_0                                         |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_1                                         |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_19                                        |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_2                                         |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_21                                        |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_23                                        |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_25                                        |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_3                                         |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_4                                         |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_5                                         |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_6                                         |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_o_o_2                                       |     18 | FDRE        |
| dut_inst/pt_o_12[3]                                              |     17 | FDRE        |
| dut_inst/pt_o_13[3]                                              |     17 | FDRE        |
| dut_inst/pt_o_15[3]                                              |     17 | FDRE        |
| dut_inst/pt_o_5[3]                                               |     17 | FDRE        |
| dut_inst/pt_o_8[3]                                               |     17 | FDRE        |
| dut_inst/pt_o_9[3]                                               |     17 | FDRE        |
| dut_inst/stage_g.5.pair_g.2.csn_cmp_inst/un1_b_i_18              |     15 | LUT5        |
| dut_inst/pt_o_17[3]                                              |     13 | FDRE        |
| dut_inst/pt_o_20[3]                                              |     13 | FDRE        |
| dut_inst/pt_o_2[3]                                               |     13 | FDRE        |
| dut_inst/pt_o_6[3]                                               |     13 | FDRE        |
| dut_inst/pt_o_18[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_19[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_23[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_24[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_25[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_26[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_33[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_34[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_37[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_40[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_47[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_48[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_51[3]                                              |     12 | FDRE        |
| dut_inst/pt_o_52[3]                                              |     12 | FDRE        |
| dut_inst/stage_g.1.pair_g.5.csn_cmp_inst/un1_b_i_4               |     12 | LUT5        |
| dut_inst/pt_o_30[3]                                              |     11 | FDRE        |
| dut_inst/pt_o_31[3]                                              |     11 | FDRE        |
