Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 22:43:00 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                 | Fanout | Driver Type |
+--------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_30             |     46 | LUT6        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_d0_ac0_5_RNIF2G31_1z    |     45 | LUT5        |
| dut_inst/stage_g.9.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_54              |     45 | LUT6        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_c4_1                    |     42 | LUT5        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/un1_b_i_ac0_5_d_1z              |     38 | LUT6        |
| dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_58              |     37 | LUT6        |
| dut_inst/stage_g.7.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_6               |     37 | LUT5        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_4               |     36 | LUT5        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_16              |     35 | LUT5        |
| dut_inst/stage_g.7.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_20              |     35 | LUT5        |
| dut_inst/stage_g.6.pair_g.9.csn_cmp_inst/un1_b_i_d0_c3_RNIH4NB1_1z       |     34 | LUT6        |
| dut_inst/stage_g.7.pair_g.7.csn_cmp_inst/un1_b_i_d0_ac0_6_RNII75P_1z     |     34 | LUT5        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_78              |     34 | LUT5        |
| dut_inst/stage_g.9.pair_g.8.csn_cmp_inst/un1_b_i_d0_c3_RNIDR4Q1_1z       |     34 | LUT6        |
| dut_inst/stage_g.10.pair_g.0.csn_cmp_inst/N_111                          |     33 | LUT6        |
| dut_inst/stage_g.10.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_32             |     33 | LUT5        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_47              |     33 | LUT5        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_73              |     33 | LUT5        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_0_4             |     33 | LUT6        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_d_4               |     33 | LUT6        |
| dut_inst/stage_g.5.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_67              |     32 | LUT5        |
| dut_inst/stage_g.6.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_37              |     32 | LUT6        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/un1_b_i_c4_6                    |     32 | LUT5        |
| dut_inst/stage_g.0.pair_g.7.csn_cmp_inst/un1_b_i_ac0_5_0_18              |     31 | LUT5        |
| dut_inst/stage_g.5.pair_g.7.csn_cmp_inst/un1_b_i_ac0_5_0_59              |     31 | LUT5        |
| dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_8               |     30 | LUT5        |
| dut_inst/stage_g.0.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_13              |     30 | LUT5        |
