Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 22:27:27 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------------------+--------+-------------+
| Net Name                                                           | Fanout | Driver Type |
+--------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_24        |     44 | LUT6        |
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_44       |     42 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/N_1824                    |     40 | LUT5        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_15        |     39 | LUT5        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_d0_c3_RNI6B474_1z |     36 | LUT6        |
| dut_inst/stage_g.9.pair_g.0.csn_cmp_inst/un1_b_i_d0_c3_RNIBVD4D_1z |     36 | LUT5        |
| dut_inst/stage_g.5.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_76        |     35 | LUT5        |
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_31       |     34 | LUT6        |
| dut_inst/stage_g.2.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_54        |     34 | LUT5        |
| dut_inst/stage_g.4.pair_g.8.csn_cmp_inst/un1_b_i_ac0_5_0_85        |     34 | LUT5        |
| dut_inst/stage_g.4.pair_g.9.csn_cmp_inst/N_1347                    |     33 | LUT5        |
| dut_inst/stage_g.9.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_d_4         |     33 | LUT6        |
| dut_inst/stage_g.1.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_78        |     32 | LUT6        |
| dut_inst/stage_g.5.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_69        |     32 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_c4_1              |     32 | LUT5        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/un1_b_i_ac0_5_0_3         |     30 | LUT5        |
| dut_inst/stage_g.5.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_74        |     30 | LUT5        |
| dut_inst/stage_g.9.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_0_65      |     30 | LUT4        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_ac0_5_0_64        |     30 | LUT6        |
| dut_inst/stage_g.1.pair_g.7.csn_cmp_inst/un1_b_i_ac0_5_0_73        |     29 | LUT6        |
| dut_inst/stage_g.10.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_41       |     29 | LUT6        |
| dut_inst/stage_g.10.pair_g.5.csn_cmp_inst/un1_b_i_ac0_5_0_33       |     29 | LUT6        |
| dut_inst/stage_g.2.pair_g.7.csn_cmp_inst/un1_b_i_ac0_5_0_47        |     29 | LUT5        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_14        |     29 | LUT5        |
| shift_reg_tap_i/input_slr[16]                                      |     29 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                       |     29 | FDRE        |
| dut_inst/stage_g.10.pair_g.4.csn_cmp_inst/un1_b_i_ac0_5_0_35       |     28 | LUT6        |
