Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar  7 02:43:00 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------+--------+-------------+
| Net Name                                                          | Fanout | Driver Type |
+-------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.6.pair_g.7.csn_cmp_inst/un1_b_i_15               |     44 | LUT5        |
| dut_inst/stage_g.6.pair_g.4.csn_cmp_inst/un1_b_i_34               |     43 | LUT6        |
| dut_inst/stage_g.2.pair_g.9.csn_cmp_inst/un1_b_i                  |     42 | LUT6        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_23               |     42 | LUT6        |
| dut_inst/stage_g.5.pair_g.6.csn_cmp_inst/un1_b_i_19               |     41 | LUT6        |
| dut_inst/stage_g.5.pair_g.7.csn_cmp_inst/un1_b_i_33               |     40 | LUT6        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_47               |     40 | LUT6        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_46               |     39 | LUT5        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_67               |     38 | LUT6        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/un1_b_i_18               |     37 | LUT6        |
| dut_inst/stage_g.0.pair_g.0.csn_cmp_inst/un1_b_i_25               |     34 | LUT5        |
| dut_inst/stage_g.5.pair_g.8.csn_cmp_inst/un1_b_i_ac0_5_0_0_1      |     34 | FDRE        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_51               |     34 | LUT5        |
| dut_inst/stage_g.9.pair_g.0.csn_cmp_inst/un1_b_i_31               |     34 | LUT5        |
| dut_inst/un1_b_i_o_14                                             |     34 | FDRE        |
| dut_inst/stage_g.1.pair_g.9.csn_cmp_inst/un1_b_i_39               |     33 | LUT6        |
| dut_inst/stage_g.2.pair_g.2.csn_cmp_inst/un1_b_i_72               |     33 | LUT5        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_s0_6             |     33 | LUT6        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_s1_5             |     33 | LUT6        |
| dut_inst/pt_o_15[3]                                               |     32 | FDRE        |
| dut_inst/pt_o_16[3]                                               |     32 | FDRE        |
| dut_inst/stage_g.0.pair_g.7.csn_cmp_inst/un1_b_i_91               |     32 | LUT5        |
| dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/un1_b_i_29               |     32 | LUT5        |
| dut_inst/stage_g.3.pair_g.3.csn_cmp_inst/un1_b_i_71               |     32 | LUT5        |
| dut_inst/stage_g.5.pair_g.8.csn_cmp_inst/un1_b_i_ac0_5_d_1        |     32 | FDRE        |
| dut_inst/stage_g.2.pair_g.10.csn_cmp_inst/un1_b_i_86              |     31 | LUT6        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_9                |     31 | LUT5        |
| dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_s1_2             |     31 | LUT5        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_32               |     31 | LUT6        |
| dut_inst/stage_g.0.pair_g.6.csn_cmp_inst/un1_b_i_83               |     30 | LUT5        |
| dut_inst/stage_g.1.pair_g.4.csn_cmp_inst/un1_b_i_11               |     30 | LUT6        |
| dut_inst/stage_g.2.pair_g.5.csn_cmp_inst/un1_b_i_44               |     30 | LUT5        |
| dut_inst/stage_g.2.pair_g.7.csn_cmp_inst/un1_b_i_54               |     30 | LUT5        |
| dut_inst/stage_g.5.pair_g.8.csn_cmp_inst/pt_54_0                  |     30 | LUT6        |
| dut_inst/stage_g.7.pair_g.5.csn_cmp_inst/un1_b_i_62               |     30 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_20               |     30 | LUT5        |
| dut_inst/stage_g.1.pair_g.2.csn_cmp_inst/un1_b_i_37               |     29 | LUT6        |
| dut_inst/stage_g.3.pair_g.10.csn_cmp_inst/un1_b_i_0               |     29 | LUT6        |
| dut_inst/stage_g.4.pair_g.5.csn_cmp_inst/un1_b_i_2                |     29 | LUT6        |
| dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_s0_3             |     29 | LUT5        |
| shift_reg_tap_i/input_slr[107]                                    |     29 | FDRE        |
| shift_reg_tap_i/input_slr[120]                                    |     29 | FDRE        |
| dut_inst/stage_g.0.pair_g.4.csn_cmp_inst/un1_b_i_77               |     28 | LUT6        |
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_reto_3          |     28 | FDRE        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_30               |     28 | LUT6        |
| dut_inst/stage_g.7.pair_g.7.csn_cmp_inst/un1_b_i_14               |     28 | LUT6        |
| shift_reg_tap_i/input_slr[81]                                     |     28 | FDRE        |
| shift_reg_tap_i/input_slr[94]                                     |     28 | FDRE        |
| dut_inst/stage_g.1.pair_g.5.csn_cmp_inst/un1_b_i_55               |     27 | LUT6        |
| dut_inst/stage_g.2.pair_g.1.csn_cmp_inst/un1_b_i_12               |     27 | LUT5        |
| dut_inst/stage_g.5.pair_g.9.csn_cmp_inst/pt_94_0                  |     27 | LUT6        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/pt_133_0                 |     27 | LUT4        |
| dut_inst/stage_g.7.pair_g.5.csn_cmp_inst/pt_134_2                 |     27 | LUT5        |
| dut_inst/stage_g.7.pair_g.8.csn_cmp_inst/un1_b_i_17               |     27 | LUT6        |
| dut_inst/un1_b_i_o_15                                             |     27 | FDRE        |
| dut_inst/un1_b_i_o_4                                              |     27 | FDRE        |
| dut_inst/stage_g.0.pair_g.10.csn_cmp_inst/un1_b_i_96              |     26 | LUT5        |
| dut_inst/stage_g.1.pair_g.0.csn_cmp_inst/un1_b_i_78               |     26 | LUT6        |
| dut_inst/stage_g.2.pair_g.3.csn_cmp_inst/un1_b_i_50               |     26 | LUT5        |
| dut_inst/stage_g.3.pair_g.4.csn_cmp_inst/un1_b_i_85               |     26 | LUT5        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/un1_b_i_ac0_5_0_0_4      |     26 | LUT6        |
| shift_reg_tap_i/input_slr[16]                                     |     26 | FDRE        |
| shift_reg_tap_i/input_slr[185]                                    |     26 | FDRE        |
| shift_reg_tap_i/input_slr[198]                                    |     26 | FDRE        |
| shift_reg_tap_i/input_slr[237]                                    |     26 | FDRE        |
| shift_reg_tap_i/input_slr[250]                                    |     26 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                      |     26 | FDRE        |
| dut_inst/stage_g.5.pair_g.6.csn_cmp_inst/pt_55_0                  |     25 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_89               |     25 | LUT5        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_95               |     25 | LUT5        |
| dut_inst/stage_g.9.pair_g.8.csn_cmp_inst/un1_b_i_16               |     25 | LUT6        |
| shift_reg_tap_i/input_slr[211]                                    |     25 | FDRE        |
| shift_reg_tap_i/input_slr[224]                                    |     25 | FDRE        |
| shift_reg_tap_i/input_slr[263]                                    |     25 | FDRE        |
| shift_reg_tap_i/input_slr[276]                                    |     25 | FDRE        |
| shift_reg_tap_i/input_slr[55]                                     |     25 | FDRE        |
| shift_reg_tap_i/input_slr[68]                                     |     25 | FDRE        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/un1_b_i_80               |     24 | LUT6        |
| dut_inst/stage_g.0.pair_g.8.csn_cmp_inst/un1_b_i_93               |     24 | LUT5        |
| dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/un1_b_i_24               |     24 | LUT6        |
| dut_inst/stage_g.1.pair_g.8.csn_cmp_inst/un1_b_i_43               |     24 | LUT6        |
| dut_inst/stage_g.10.pair_g.4.csn_cmp_inst/un1_b_i_reto_5          |     24 | FDRE        |
