Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar  7 01:59:55 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                | Fanout | Driver Type |
+-------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.5.pair_g.6.csn_cmp_inst/un1_N_3_mux                    |     54 | LUT5        |
| dut_inst/stage_g.5.pair_g.7.csn_cmp_inst/un1_b_i_27                     |     51 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_d_4              |     46 | LUT6        |
| dut_inst/stage_g.6.pair_g.4.csn_cmp_inst/un1_b_i_26                     |     45 | LUT6        |
| dut_inst/stage_g.5.pair_g.9.csn_cmp_inst/un1_b_i_ac0_5_0_0_1z           |     40 | LUT6        |
| dut_inst/pt_o_21[3]                                                     |     37 | FDRE        |
| dut_inst/pt_o_22[3]                                                     |     37 | FDRE        |
| dut_inst/stage_g.5.pair_g.8.csn_cmp_inst/un1_b_i_ac0_5_0_0_0            |     37 | FDRE        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_d_2              |     37 | LUT6        |
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_reto_4                |     36 | LUT6        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_23                     |     36 | LUT6        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_0_5            |     35 | LUT6        |
| dut_inst/stage_g.2.pair_g.3.csn_cmp_inst/un1_b_i_42                     |     34 | LUT5        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_8                      |     34 | LUT5        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_s0_5                   |     34 | LUT5        |
