Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 17:27:15 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------------------+--------+-------------+
| Net Name                                                           | Fanout | Driver Type |
+--------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.2.pair_g.7.csn_cmp_inst/pt_17_0                   |     69 | LUT6        |
| shift_reg_tap_i/input_slr[0]                                       |     62 | FDRE        |
| shift_reg_tap_i/input_slr[10]                                      |     62 | FDRE        |
| dut_inst/stage_g.1.pair_g.7.csn_cmp_inst/pt_23_0                   |     55 | LUT4        |
| dut_inst/stage_g.1.pair_g.9.csn_cmp_inst/pt_24_0                   |     55 | LUT4        |
| shift_reg_tap_i/input_slr[40]                                      |     54 | FDRE        |
| shift_reg_tap_i/input_slr[50]                                      |     54 | FDRE        |
| dut_inst/un1_b_i_6                                                 |     53 | LUT6        |
| shift_reg_tap_i/input_slr[20]                                      |     53 | FDRE        |
| shift_reg_tap_i/input_slr[30]                                      |     53 | FDRE        |
| shift_reg_tap_i/input_slr[80]                                      |     52 | FDRE        |
| shift_reg_tap_i/input_slr[90]                                      |     52 | FDRE        |
| shift_reg_tap_i/input_slr[60]                                      |     50 | FDRE        |
| shift_reg_tap_i/input_slr[70]                                      |     50 | FDRE        |
| dut_inst/un1_b_i_12                                                |     48 | LUT6        |
| dut_inst/stage_g.2.pair_g.3.csn_cmp_inst/pt_40_0                   |     47 | LUT5        |
| shift_reg_tap_i/input_slr[100]                                     |     45 | FDRE        |
| shift_reg_tap_i/input_slr[110]                                     |     45 | FDRE        |
| shift_reg_tap_i/input_slr[120]                                     |     44 | FDRE        |
| shift_reg_tap_i/input_slr[130]                                     |     44 | FDRE        |
| shift_reg_tap_i/input_slr[200]                                     |     42 | FDRE        |
| shift_reg_tap_i/input_slr[210]                                     |     42 | FDRE        |
| dut_inst/ALTB_3[0]                                                 |     41 | LUT6        |
| dut_inst/pt_28[0]                                                  |     40 | LUT6        |
| dut_inst/un1_b_i_11                                                |     40 | LUT6        |
| dut_inst/un1_b_i_31                                                |     40 | LUT6        |
| shift_reg_tap_i/input_slr[140]                                     |     40 | FDRE        |
| shift_reg_tap_i/input_slr[150]                                     |     40 | FDRE        |
| dut_inst/ALTB_16[0]                                                |     38 | LUT6        |
| dut_inst/stage_g.2.pair_g.8.csn_cmp_inst/pt_25_0                   |     38 | LUT6        |
| dut_inst/stage_g.3.pair_g.5.csn_cmp_inst/pt_33_0                   |     38 | LUT6        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/pt_60_0                   |     38 | LUT6        |
| shift_reg_tap_i/input_slr[180]                                     |     38 | FDRE        |
| shift_reg_tap_i/input_slr[190]                                     |     38 | FDRE        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/pt_5_0                    |     37 | LUT4        |
| dut_inst/stage_g.7.pair_g.7.csn_cmp_inst/un1_b_i_45                |     37 | LUT6        |
| shift_reg_tap_i/input_slr[160]                                     |     37 | FDRE        |
| shift_reg_tap_i/input_slr[170]                                     |     37 | FDRE        |
| dut_inst/stage_g.2.pair_g.2.csn_cmp_inst/pt_43_0                   |     36 | LUT5        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/pt_4_0                    |     36 | LUT6        |
| dut_inst/stage_g.2.pair_g.8.csn_cmp_inst/pt_31_0                   |     35 | LUT6        |
| dut_inst/stage_g.3.pair_g.3.csn_cmp_inst/pt_i_0                    |     35 | LUT6        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/pt_59_0                   |     35 | LUT5        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/pt_53_0                   |     34 | LUT6        |
| dut_inst/stage_g.6.pair_g.1.csn_cmp_inst/pt_55_0                   |     34 | LUT5        |
| dut_inst/un1_b_i_27                                                |     34 | LUT4        |
| dut_inst/un1_b_i_36                                                |     34 | LUT4        |
| dut_inst/ALTB_1[0]                                                 |     33 | LUT4        |
| dut_inst/stage_g.1.pair_g.7.csn_cmp_inst/pt_1_0                    |     33 | LUT4        |
| dut_inst/stage_g.3.pair_g.9.csn_cmp_inst/pt_30_0                   |     33 | LUT4        |
| dut_inst/un1_b_i_0                                                 |     33 | LUT6        |
| dut_inst/ALTB_a0_0_0[0]                                            |     32 | LUT6        |
| dut_inst/stage_g.9.pair_g.2.csn_cmp_inst/pt_13_0                   |     32 | LUT6        |
| dut_inst/un1_b_i_23                                                |     32 | LUT6        |
| dut_inst/un1_b_i_42                                                |     32 | LUT6        |
| dut_inst/un1_b_i_44                                                |     32 | LUT6        |
| dut_inst/un1_b_i_52                                                |     32 | LUT6        |
| dut_inst/un1_b_i_60                                                |     32 | LUT6        |
| dut_inst/stage_g.5.pair_g.7.csn_cmp_inst/pt_50_0                   |     31 | LUT5        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_s0_0              |     31 | LUT6        |
| dut_inst/un1_b_i_16                                                |     31 | LUT6        |
