Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 16:36:35 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------------------------------+--------+-------------+
| Net Name                                                  | Fanout | Driver Type |
+-----------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.2.pair_g.3.csn_cmp_inst/pt_22_0          |     69 | LUT5        |
| dut_inst/stage_g.0.pair_g.4.csn_cmp_inst/pt_28_0          |     59 | LUT2        |
| dut_inst/ALTB_N_5_mux                                     |     49 | LUT6        |
| dut_inst/un1_b_i_1                                        |     46 | LUT6        |
| dut_inst/stage_g.2.pair_g.7.csn_cmp_inst/a_N_3_mux_0      |     44 | LUT6        |
| dut_inst/stage_g.6.pair_g.1.csn_cmp_inst/un1_N_5_mux      |     44 | LUT5        |
| dut_inst/stage_g.6.pair_g.9.csn_cmp_inst/a_N_8_mux        |     43 | LUT6        |
| dut_inst/un1_b_i_8                                        |     43 | LUT6        |
| dut_inst/ALTB_m3_0_a3_1                                   |     41 | LUT6        |
| dut_inst/ALTB_m2_0_a2_0                                   |     40 | LUT6        |
| dut_inst/ALTB_m2_0_a2                                     |     39 | LUT6        |
| shift_reg_tap_i/input_slr[190]                            |     39 | FDRE        |
| dut_inst/stage_g.0.pair_g.3.csn_cmp_inst/pt_34_0          |     38 | LUT2        |
| dut_inst/un1_b_i_53                                       |     37 | LUT4        |
| dut_inst/ALTB_m3                                          |     36 | LUT6        |
| dut_inst/un1_b_i_44                                       |     36 | LUT6        |
| dut_inst/ALTB_11[0]                                       |     35 | LUT5        |
| dut_inst/stage_g.6.pair_g.8.csn_cmp_inst/pt_i_0           |     35 | LUT4        |
| dut_inst/stage_g.6.pair_g.8.csn_cmp_inst/pt_11_0          |     33 | LUT4        |
| dut_inst/un1_b_i_11                                       |     33 | LUT6        |
| dut_inst/un1_b_i_49                                       |     33 | LUT4        |
| dut_inst/un1_b_i_61                                       |     32 | LUT6        |
| dut_inst/stage_g.1.pair_g.5.csn_cmp_inst/pt_i_9_0         |     31 | LUT4        |
| dut_inst/un1_b_i_16                                       |     31 | LUT6        |
| dut_inst/ALTB_6[0]                                        |     30 | LUT6        |
| dut_inst/un1_b_i_21                                       |     30 | LUT6        |
| dut_inst/un1_b_i_23                                       |     30 | LUT6        |
| dut_inst/stage_g.10.pair_g.7.csn_cmp_inst/un1_m8_0_1z     |     29 | LUT6        |
| dut_inst/stage_g.7.pair_g.7.csn_cmp_inst/pt_0             |     29 | LUT6        |
| dut_inst/un1_b_i_38                                       |     29 | LUT6        |
| dut_inst/un1_b_i_48                                       |     29 | LUT6        |
| dut_inst/stage_g.2.pair_g.8.csn_cmp_inst/pt_10_0          |     28 | LUT6        |
| dut_inst/stage_g.3.pair_g.9.csn_cmp_inst/pt_a0_0_0        |     28 | LUT6        |
| dut_inst/un1_b_i_12                                       |     28 | LUT6        |
| dut_inst/un1_b_i_39                                       |     28 | LUT6        |
| dut_inst/un1_b_i_43                                       |     28 | LUT6        |
| dut_inst/un1_b_i_52                                       |     28 | LUT5        |
| dut_inst/ALTB_5[0]                                        |     27 | LUT5        |
| dut_inst/stage_g.2.pair_g.9.csn_cmp_inst/pt_i_3_0         |     27 | LUT6        |
| dut_inst/un1_b_i_14                                       |     27 | LUT6        |
| dut_inst/un1_b_i_30                                       |     27 | LUT4        |
| dut_inst/un1_b_i_40                                       |     27 | LUT6        |
| dut_inst/un1_b_i_54                                       |     27 | LUT6        |
| dut_inst/un1_b_i_56                                       |     27 | LUT6        |
| shift_reg_tap_i/input_slr_180_rep1                        |     27 | FDRE        |
| dut_inst/ALTB_3[0]                                        |     26 | LUT6        |
| dut_inst/ALTB_N_4                                         |     26 | LUT6        |
| dut_inst/un1_b_i_31                                       |     26 | LUT4        |
| shift_reg_tap_i/input_slr[10]                             |     26 | FDRE        |
| shift_reg_tap_i/input_slr[180]                            |     26 | FDRE        |
| dut_inst/ALTB_out                                         |     25 | LUT6        |
| dut_inst/pt_i_1[0]                                        |     25 | LUT6        |
| dut_inst/stage_g.1.pair_g.5.csn_cmp_inst/pt_27_0          |     25 | LUT4        |
| dut_inst/stage_g.2.pair_g.0.csn_cmp_inst/pt_i_0_0         |     25 | LUT5        |
| dut_inst/un1_b_i_34                                       |     25 | LUT6        |
| dut_inst/un1_b_i_58                                       |     25 | LUT6        |
| shift_reg_tap_i/input_slr_210_rep1                        |     25 | FDRE        |
| dut_inst/ALTB_0[0]                                        |     24 | LUT6        |
| dut_inst/ALTB_1[0]                                        |     24 | LUT6        |
| dut_inst/stage_g.4.pair_g.6.csn_cmp_inst/pt_8_0           |     24 | LUT6        |
| dut_inst/un1_b_i_28                                       |     24 | LUT4        |
| dut_inst/un1_b_i_36                                       |     24 | LUT6        |
| dut_inst/un1_b_i_37                                       |     24 | LUT6        |
| shift_reg_tap_i/input_slr[200]                            |     24 | FDRE        |
| shift_reg_tap_i/input_slr_fast_200                        |     24 | FDRE        |
| dut_inst/ALTB_a0_1[0]                                     |     23 | LUT2        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_69       |     23 | LUT4        |
| dut_inst/un1_b_i_10                                       |     23 | LUT6        |
| dut_inst/un1_b_i_32                                       |     23 | LUT6        |
| dut_inst/un1_b_i_s0                                       |     23 | LUT6        |
| shift_reg_tap_i/input_slr_90_rep1                         |     23 | FDRE        |
| dut_inst/ALTB_10[0]                                       |     22 | LUT4        |
| dut_inst/stage_g.4.pair_g.2.csn_cmp_inst/pt_i_4_0         |     22 | LUT6        |
| dut_inst/un1_b_i_13                                       |     22 | LUT4        |
| dut_inst/un1_b_i_15                                       |     22 | LUT6        |
| dut_inst/un1_b_i_3                                        |     22 | LUT4        |
| dut_inst/un1_b_i_45                                       |     22 | LUT6        |
| dut_inst/un1_b_i_50                                       |     22 | LUT6        |
| shift_reg_tap_i/input_slr[0]                              |     22 | FDRE        |
| shift_reg_tap_i/input_slr[210]                            |     22 | FDRE        |
| shift_reg_tap_i/input_slr[60]                             |     22 | FDRE        |
| shift_reg_tap_i/input_slr_fast_210                        |     22 | FDRE        |
| dut_inst/a_N_4_mux                                        |     21 | LUT6        |
| dut_inst/pt_a0_0_7[0]                                     |     21 | LUT2        |
| dut_inst/stage_g.1.pair_g.8.csn_cmp_inst/pt_14_0          |     21 | LUT4        |
| dut_inst/stage_g.10.pair_g.3.csn_cmp_inst/pt_i_8_0        |     21 | LUT5        |
| dut_inst/stage_g.3.pair_g.0.csn_cmp_inst/pt_44_0          |     21 | LUT6        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_68       |     21 | LUT6        |
| dut_inst/stage_g.6.pair_g.9.csn_cmp_inst/N_6              |     21 | LUT3        |
| dut_inst/stage_g.7.pair_g.7.csn_cmp_inst/un1_b_i          |     21 | LUT6        |
| dut_inst/stage_g.7.pair_g.9.csn_cmp_inst/un1_b_i_67       |     21 | LUT4        |
| dut_inst/un1_b_i_35                                       |     21 | LUT6        |
