Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 17:11:21 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_utilization -hierarchical -file hier_utilization.txt
| Design       : wrapper_csn
| Device       : xcvu9pflgc2104-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+-------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
|               Instance               |                                  Module                                 | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
+--------------------------------------+-------------------------------------------------------------------------+------------+------------+---------+------+-----+--------+--------+------+--------------+
| wrapper_csn                          |                                                                   (top) |       1653 |       1653 |       0 |    0 | 997 |      0 |      0 |    0 |            0 |
|   (wrapper_csn)                      |                                                                   (top) |          0 |          0 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|   dut_inst                           | muon_sorter_I022_O022_D000_CSN_VHDL_PT1BIT-freq280x320retfan10000_rev_1 |       1579 |       1579 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     (dut_inst)                       | muon_sorter_I022_O022_D000_CSN_VHDL_PT1BIT-freq280x320retfan10000_rev_1 |        147 |        147 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.0.csn_cmp_inst  |                                             csn_cmp_false_false_false_1 |          4 |          4 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.1.csn_cmp_inst  |                                            csn_cmp_false_false_false_28 |          6 |          6 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.10.csn_cmp_inst |                                           csn_cmp_false_false_false_111 |         10 |         10 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.2.csn_cmp_inst  |                                            csn_cmp_false_false_false_25 |         10 |         10 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.3.csn_cmp_inst  |                                             csn_cmp_false_false_false_6 |          6 |          6 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.4.csn_cmp_inst  |                                           csn_cmp_false_false_false_109 |         10 |         10 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.5.csn_cmp_inst  |                                            csn_cmp_false_false_false_13 |          9 |          9 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.6.csn_cmp_inst  |                                               csn_cmp_false_false_false |          9 |          9 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.7.csn_cmp_inst  |                                            csn_cmp_false_false_false_20 |          8 |          8 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.8.csn_cmp_inst  |                                           csn_cmp_false_false_false_112 |          4 |          4 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
|     stage_g.0.pair_g.9.csn_cmp_inst  |                                            csn_cmp_false_false_false_10 |          8 |          8 |       0 |    0 |   0 |      0 |      0 |    0 |            0 |
