Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 23:00:37 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------------------+--------+-------------+
| Net Name                                                       | Fanout | Driver Type |
+----------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_100          |     43 | LUT5        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_85            |     39 | LUT5        |
| dut_inst/un1_b_i_o_0                                           |     37 | FDRE        |
| dut_inst/un1_b_i_o_6                                           |     36 | FDRE        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/N_854_0               |     35 | LUT6        |
| dut_inst/un1_b_i_o_22                                          |     34 | FDRE        |
| dut_inst/un1_b_i_o_44                                          |     33 | FDRE        |
| dut_inst/stage_g.10.pair_g.5.csn_cmp_inst/un1_b_i_101          |     32 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_73            |     31 | LUT5        |
| dut_inst/un1_b_i_o_4                                           |     31 | FDRE        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_104           |     30 | LUT5        |
| dut_inst/stage_g.9.pair_g.8.csn_cmp_inst/un1_b_i_87            |     29 | LUT6        |
| dut_inst/un1_b_i_o_29                                          |     29 | FDRE        |
| dut_inst/stage_g.7.pair_g.6.csn_cmp_inst/un1_b_i_66            |     28 | LUT6        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_75            |     28 | LUT3        |
| dut_inst/stage_g.9.pair_g.0.csn_cmp_inst/un1_b_i_102           |     28 | LUT6        |
| dut_inst/un1_b_i_o_10                                          |     28 | FDRE        |
| dut_inst/un1_b_i_o_11                                          |     28 | FDRE        |
| dut_inst/un1_b_i_o_39                                          |     28 | FDRE        |
| dut_inst/un1_b_i_o_52                                          |     28 | FDRE        |
| dut_inst/un1_b_i_o_62                                          |     28 | FDRE        |
| dut_inst/stage_g.6.pair_g.3.csn_cmp_inst/un1_b_i_61            |     27 | LUT5        |
| dut_inst/stage_g.6.pair_g.7.csn_cmp_inst/un1_b_i_98            |     27 | LUT5        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_95            |     27 | LUT6        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/pt_58_0               |     27 | LUT4        |
| dut_inst/un1_b_i_o_43                                          |     27 | FDRE        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_103           |     26 | LUT6        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/pt_59_0               |     26 | LUT4        |
| dut_inst/un1_b_i_o_15                                          |     26 | FDRE        |
| dut_inst/un1_b_i_o_18                                          |     26 | FDRE        |
| dut_inst/un1_b_i_o_33                                          |     26 | FDRE        |
| dut_inst/un1_b_i_o_42                                          |     26 | FDRE        |
| dut_inst/un1_b_i_o_53                                          |     26 | FDRE        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/N_837                 |     25 | LUT6        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_64            |     25 | LUT5        |
| dut_inst/un1_b_i_o_12                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_24                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_25                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_26                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_30                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_32                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_45                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_58                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_60                                          |     25 | FDRE        |
| dut_inst/un1_b_i_o_61                                          |     25 | FDRE        |
| dut_inst/stage_g.1.pair_g.7.csn_cmp_inst/pt_43_0               |     24 | LUT4        |
