Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 23:22:51 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                | Fanout | Driver Type |
+-------------------------------------------------------------------------+--------+-------------+
| dut_inst/un1_b_i_o_rep_0                                                |     44 | FDRE        |
| dut_inst/un1_b_i_o_rep_4                                                |     44 | FDRE        |
| dut_inst/un1_b_i_o_rep_8                                                |     43 | FDRE        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/un1_b_i_86                     |     42 | LUT5        |
| dut_inst/un1_b_i_o_rep_11                                               |     42 | FDRE        |
| dut_inst/un1_b_i_o_rep_15                                               |     42 | FDRE        |
| dut_inst/un1_b_i_o_rep_19                                               |     41 | FDRE        |
| dut_inst/un1_b_i_o_rep_23                                               |     41 | FDRE        |
| dut_inst/un1_b_i_o_rep_27                                               |     41 | FDRE        |
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_91                    |     40 | LUT5        |
| dut_inst/un1_b_i_o_1                                                    |     39 | FDRE        |
| dut_inst/un1_b_i_o_2                                                    |     39 | FDRE        |
| dut_inst/un1_b_i_o_23                                                   |     39 | FDRE        |
| dut_inst/un1_b_i_o_35                                                   |     39 | FDRE        |
| dut_inst/un1_b_i_o_22                                                   |     38 | FDRE        |
| dut_inst/un1_b_i_o_16                                                   |     37 | FDRE        |
| dut_inst/un1_b_i_o_36                                                   |     37 | FDRE        |
| dut_inst/un1_b_i_o_40                                                   |     37 | FDRE        |
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_97                    |     36 | LUT5        |
| dut_inst/un1_b_i_o_32                                                   |     36 | FDRE        |
| dut_inst/stage_g.5.pair_g.2.csn_cmp_inst/un1_b_i_o_53                   |     35 | LUT5        |
| dut_inst/un1_b_i_o_37                                                   |     35 | FDRE        |
| dut_inst/un1_b_i_o_6                                                    |     35 | FDRE        |
| dut_inst/stage_g.7.pair_g.8.csn_cmp_inst/un1_b_i_84                     |     34 | LUT6        |
| dut_inst/un1_b_i_o_44                                                   |     34 | FDRE        |
| dut_inst/un1_b_i_o_46                                                   |     34 | FDRE        |
| dut_inst/un1_b_i_o_47                                                   |     34 | FDRE        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_72                     |     33 | LUT6        |
| dut_inst/stage_g.9.pair_g.0.csn_cmp_inst/un1_b_i_89                     |     33 | LUT6        |
| dut_inst/un1_b_i_o                                                      |     33 | FDRE        |
| dut_inst/un1_b_i_o_19                                                   |     33 | FDRE        |
| dut_inst/un1_b_i_o_28                                                   |     33 | FDRE        |
| dut_inst/un1_b_i_o_34                                                   |     33 | FDRE        |
| dut_inst/un1_b_i_o_38                                                   |     33 | FDRE        |
| dut_inst/un1_b_i_o_9                                                    |     33 | FDRE        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_101                    |     32 | LUT6        |
| dut_inst/un1_b_i_o_26                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_27                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_29                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_31                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_33                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_39                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_42                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_48                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_49                                                   |     32 | FDRE        |
| dut_inst/un1_b_i_o_5                                                    |     32 | FDRE        |
| dut_inst/un1_b_i_o_50                                                   |     32 | FDRE        |
| dut_inst/stage_g.6.pair_g.4.csn_cmp_inst/un1_b_i_63                     |     30 | LUT5        |
| dut_inst/stage_g.9.pair_g.8.csn_cmp_inst/un1_b_i_85                     |     30 | LUT6        |
| dut_inst/un1_b_i_o_10                                                   |     30 | FDRE        |
| dut_inst/un1_b_i_o_12                                                   |     30 | FDRE        |
| dut_inst/un1_b_i_o_21                                                   |     30 | FDRE        |
| dut_inst/un1_b_i_o_43                                                   |     30 | FDRE        |
| dut_inst/stage_g.1.pair_g.2.csn_cmp_inst/pt_45_0                        |     29 | LUT4        |
| dut_inst/un1_b_i_o_45                                                   |     29 | FDRE        |
| dut_inst/stage_g.6.pair_g.2.csn_cmp_inst/un1_b_i_88                     |     28 | LUT5        |
| dut_inst/un1_b_i_o_11                                                   |     28 | FDRE        |
| dut_inst/un1_b_i_o_14                                                   |     28 | FDRE        |
| dut_inst/un1_b_i_o_18                                                   |     28 | FDRE        |
| dut_inst/un1_b_i_o_20                                                   |     28 | FDRE        |
| dut_inst/un1_b_i_o_24                                                   |     28 | FDRE        |
| dut_inst/un1_b_i_o_3                                                    |     28 | FDRE        |
| dut_inst/un1_b_i_o_51                                                   |     28 | FDRE        |
| dut_inst/stage_g.1.pair_g.1.csn_cmp_inst/pt_44_0                        |     27 | LUT4        |
| dut_inst/stage_g.6.pair_g.8.csn_cmp_inst/un1_b_i_95                     |     27 | LUT5        |
| dut_inst/un1_b_i_o_41                                                   |     27 | FDRE        |
| dut_inst/stage_g.10.pair_g.0.csn_cmp_inst/un1_b_i_90                    |     25 | LUT6        |
| dut_inst/stage_g.10.pair_g.7.csn_cmp_inst/un1_b_i_99                    |     25 | LUT5        |
| dut_inst/stage_g.5.pair_g.7.csn_cmp_inst/pt_4_0                         |     25 | LUT6        |
| dut_inst/stage_g.6.pair_g.9.csn_cmp_inst/un1_b_i_96                     |     25 | LUT5        |
| dut_inst/un1_b_i_o_13                                                   |     25 | FDRE        |
| dut_inst/un1_b_i_o_4                                                    |     25 | FDRE        |
| dut_inst/un1_b_i_o_7                                                    |     25 | FDRE        |
| dut_inst/un1_b_i_o_8                                                    |     25 | FDRE        |
| dut_inst/un1_b_i_o_rep_30                                               |     25 | FDRE        |
| dut_inst/stage_g.10.pair_g.2.csn_cmp_inst/un1_b_i_92                    |     24 | LUT5        |
| dut_inst/stage_g.10.pair_g.4.csn_cmp_inst/un1_b_i_80                    |     24 | LUT5        |
| dut_inst/stage_g.10.pair_g.5.csn_cmp_inst/un1_b_i_78                    |     24 | LUT5        |
| dut_inst/stage_g.11.pair_g.0.csn_cmp_inst/un1_b_i_d0_c3_RNIBIT11        |     24 | LUT6        |
| dut_inst/stage_g.11.pair_g.6.csn_cmp_inst/un1_b_i_d0_c3_RNIITF41        |     24 | LUT5        |
| dut_inst/stage_g.2.pair_g.2.csn_cmp_inst/pt_32[3]                       |     24 | LUT6        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_66                     |     24 | LUT5        |
| shift_reg_tap_i/input_slr[107]                                          |     24 | FDRE        |
| shift_reg_tap_i/input_slr[120]                                          |     24 | FDRE        |
| dut_inst/stage_g.5.pair_g.2.csn_cmp_inst/pt_14[3]                       |     23 | LUT6        |
| dut_inst/stage_g.5.pair_g.3.csn_cmp_inst/pt_37_0                        |     23 | LUT6        |
| dut_inst/stage_g.5.pair_g.5.csn_cmp_inst/pt_11_0                        |     23 | LUT4        |
| dut_inst/stage_g.5.pair_g.6.csn_cmp_inst/pt_9_0                         |     23 | LUT4        |
| dut_inst/stage_g.5.pair_g.8.csn_cmp_inst/pt_10_0                        |     23 | LUT4        |
| dut_inst/stage_g.6.pair_g.1.csn_cmp_inst/un1_b_i_87                     |     23 | LUT5        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_81                     |     23 | LUT5        |
| dut_inst/un1_b_i_o_0                                                    |     23 | FDRE        |
| dut_inst/un1_b_i_o_15                                                   |     23 | FDRE        |
| dut_inst/un1_b_i_o_17                                                   |     23 | FDRE        |
| dut_inst/stage_g.11.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_0_0_0           |     22 | LUT6        |
| dut_inst/stage_g.11.pair_g.1.csn_cmp_inst/un1_b_i_ac0_5_d_0_0           |     22 | LUT6        |
| dut_inst/stage_g.11.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_0_0_lut6_2_o6_4 |     22 | LUT4        |
| dut_inst/stage_g.11.pair_g.2.csn_cmp_inst/un1_b_i_ac0_5_d_0_lut6_2_o6_4 |     22 | LUT4        |
