Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar  7 03:35:04 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------------------+--------+-------------+
| Net Name                                                           | Fanout | Driver Type |
+--------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_91               |     39 | LUT5        |
| dut_inst/stage_g.8.pair_g.5.csn_cmp_inst/un1_b_i_78                |     39 | LUT5        |
| dut_inst/stage_g.10.pair_g.2.csn_cmp_inst/un1_b_i_87               |     38 | LUT6        |
| dut_inst/stage_g.10.pair_g.4.csn_cmp_inst/un1_b_i_80               |     38 | LUT6        |
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_95               |     38 | LUT5        |
| dut_inst/un1_b_i_o_o_12                                            |     38 | FDRE        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_82                |     37 | LUT5        |
| dut_inst/un1_b_i_o_32                                              |     37 | FDRE        |
| dut_inst/un1_b_i_o_37                                              |     36 | FDRE        |
| dut_inst/stage_g.10.pair_g.5.csn_cmp_inst/un1_b_i_107              |     34 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_89                |     34 | LUT5        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/un1_b_i_100               |     34 | LUT5        |
| dut_inst/stage_g.9.pair_g.4.csn_cmp_inst/un1_b_i_85                |     34 | LUT6        |
| dut_inst/un1_b_i_o_22                                              |     34 | FDRE        |
| dut_inst/un1_b_i_o_44                                              |     34 | FDRE        |
| dut_inst/stage_g.9.pair_g.0.csn_cmp_inst/un1_b_i_103               |     33 | LUT6        |
| dut_inst/un1_b_i_o_39                                              |     33 | FDRE        |
| dut_inst/stage_g.10.pair_g.3.csn_cmp_inst/un1_b_i_81               |     32 | LUT5        |
| dut_inst/stage_g.4.pair_g.7.csn_cmp_inst/un1_b_i_97                |     32 | LUT5        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_84                |     32 | LUT5        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_86                |     32 | LUT5        |
| dut_inst/un1_b_i_o_11                                              |     32 | FDRE        |
| dut_inst/un1_b_i_o_14                                              |     32 | FDRE        |
| dut_inst/un1_b_i_o_21                                              |     32 | FDRE        |
| dut_inst/un1_b_i_o_6                                               |     32 | FDRE        |
| dut_inst/pt_o_32[3]                                                |     31 | FDRE        |
| dut_inst/pt_o_33[3]                                                |     31 | FDRE        |
| dut_inst/pt_o_37[3]                                                |     31 | FDRE        |
| dut_inst/pt_o_38[3]                                                |     31 | FDRE        |
| dut_inst/stage_g.10.pair_g.7.csn_cmp_inst/un1_b_i_96               |     30 | LUT5        |
| dut_inst/stage_g.4.pair_g.8.csn_cmp_inst/un1_b_i_99                |     30 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_93                |     30 | LUT5        |
| dut_inst/un1_b_i_o_41                                              |     30 | FDRE        |
| dut_inst/un1_b_i_o_7                                               |     30 | FDRE        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/un1_b_i_55                |     29 | LUT6        |
| dut_inst/un1_b_i_o_4                                               |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_19                                            |     29 | FDRE        |
| dut_inst/stage_g.9.pair_g.5.csn_cmp_inst/un1_b_i_98                |     28 | LUT6        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/un1_b_i_105               |     28 | LUT5        |
| shift_reg_tap_i/input_slr[55]                                      |     28 | FDRE        |
| shift_reg_tap_i/input_slr[68]                                      |     28 | FDRE        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_102               |     27 | LUT6        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_79                |     27 | LUT5        |
| dut_inst/stage_g.9.pair_g.8.csn_cmp_inst/un1_b_i_106               |     27 | LUT6        |
| dut_inst/un1_b_i_o_19                                              |     27 | FDRE        |
| dut_inst/un1_b_i_o_2                                               |     27 | FDRE        |
| dut_inst/un1_b_i_o_38                                              |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_4                                             |     27 | FDRE        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_45                |     26 | LUT5        |
| dut_inst/stage_g.4.pair_g.4.csn_cmp_inst/un1_b_i_20                |     26 | LUT5        |
| dut_inst/stage_g.9.pair_g.6.csn_cmp_inst/un1_b_i_104               |     26 | LUT5        |
| dut_inst/un1_b_i_o                                                 |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_14                                            |     26 | FDRE        |
| dut_inst/pt_o_17[3]                                                |     25 | FDRE        |
| dut_inst/pt_o_18[3]                                                |     25 | FDRE        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_47                |     25 | LUT5        |
| dut_inst/stage_g.9.pair_g.1.csn_cmp_inst/un1_b_i_92                |     25 | LUT6        |
| dut_inst/stage_g.9.pair_g.2.csn_cmp_inst/un1_b_i_88                |     25 | LUT5        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_83                |     25 | LUT6        |
| dut_inst/un1_b_i_o_1                                               |     25 | FDRE        |
| dut_inst/un1_b_i_o_17                                              |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_10                                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_11                                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_15                                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_17                                            |     25 | FDRE        |
| dut_inst/stage_g.11.pair_g.0.csn_cmp_inst/un1_b_i_c4_1             |     24 | LUT5        |
| dut_inst/stage_g.11.pair_g.6.csn_cmp_inst/un1_b_i_c4_2             |     24 | LUT5        |
| dut_inst/stage_g.4.pair_g.9.csn_cmp_inst/un1_b_i_94                |     24 | LUT5        |
| dut_inst/un1_b_i_o_o_8                                             |     24 | FDRE        |
| shift_reg_tap_i/input_slr[16]                                      |     24 | FDRE        |
| shift_reg_tap_i/input_slr[237]                                     |     24 | FDRE        |
| shift_reg_tap_i/input_slr[250]                                     |     24 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                       |     24 | FDRE        |
| dut_inst/pt_o_7[3]                                                 |     23 | FDRE        |
| dut_inst/pt_o_8[3]                                                 |     23 | FDRE        |
| dut_inst/stage_g.4.pair_g.5.csn_cmp_inst/un1_b_i_46                |     23 | LUT5        |
| dut_inst/un1_b_i_o_16                                              |     23 | FDRE        |
| dut_inst/un1_b_i_o_18                                              |     23 | FDRE        |
| dut_inst/un1_b_i_o_20                                              |     23 | FDRE        |
| dut_inst/pt_o_13[3]                                                |     22 | FDRE        |
| dut_inst/pt_o_14[3]                                                |     22 | FDRE        |
| dut_inst/pt_o_35[3]                                                |     22 | FDRE        |
| dut_inst/pt_o_36[3]                                                |     22 | FDRE        |
| dut_inst/stage_g.10.pair_g.0.csn_cmp_inst/un1_b_i_90               |     22 | LUT6        |
| dut_inst/stage_g.11.pair_g.2.csn_cmp_inst/un1_b_i_c4_0             |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.4.csn_cmp_inst/un1_b_i_c4_4             |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.5.csn_cmp_inst/un1_b_i_c4_3             |     22 | LUT5        |
| dut_inst/stage_g.6.pair_g.9.csn_cmp_inst/un1_b_i_64                |     22 | LUT5        |
| dut_inst/un1_b_i_o_15                                              |     22 | FDRE        |
| dut_inst/un1_b_i_o_8                                               |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_20                                            |     22 | FDRE        |
| dut_inst/pt_o_21[3]                                                |     21 | FDRE        |
| dut_inst/pt_o_25[3]                                                |     21 | FDRE        |
| dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_101               |     21 | LUT6        |
| dut_inst/stage_g.6.pair_g.0.csn_cmp_inst/un1_b_i_54                |     21 | LUT5        |
| dut_inst/un1_b_i_o_3                                               |     21 | FDRE        |
| dut_inst/un1_b_i_o_31                                              |     21 | FDRE        |
| dut_inst/un1_b_i_o_5                                               |     21 | FDRE        |
| dut_inst/un1_b_i_o_o_6                                             |     21 | FDRE        |
| shift_reg_tap_i/input_slr[81]                                      |     21 | FDRE        |
| shift_reg_tap_i/input_slr[94]                                      |     21 | FDRE        |
| dut_inst/pt_o_2[3]                                                 |     20 | FDRE        |
| dut_inst/pt_o_6[3]                                                 |     20 | FDRE        |
| dut_inst/stage_g.11.pair_g.1.csn_cmp_inst/un1_b_i_c4_5             |     20 | LUT6        |
| dut_inst/stage_g.11.pair_g.3.csn_cmp_inst/un1_b_i_c4               |     20 | LUT4        |
| dut_inst/stage_g.4.pair_g.3.csn_cmp_inst/pt_82_0                   |     20 | LUT2        |
| dut_inst/un1_b_i_o_0                                               |     20 | FDRE        |
| dut_inst/un1_b_i_o_23                                              |     20 | FDRE        |
| dut_inst/un1_b_i_o_25                                              |     20 | FDRE        |
| dut_inst/un1_b_i_o_27                                              |     20 | FDRE        |
| dut_inst/un1_b_i_o_40                                              |     20 | FDRE        |
| dut_inst/un1_b_i_o_45                                              |     20 | FDRE        |
| dut_inst/un1_b_i_o_9                                               |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_21                                            |     20 | FDRE        |
| dut_inst/un1_b_i_o_o_9                                             |     20 | FDRE        |
| shift_reg_tap_i/input_slr[42]                                      |     20 | FDRE        |
| dut_inst/pt_o_29[3]                                                |     19 | FDRE        |
| dut_inst/pt_o_30[3]                                                |     19 | FDRE        |
| dut_inst/pt_o_4[3]                                                 |     19 | FDRE        |
| dut_inst/stage_g.0.pair_g.1.csn_cmp_inst/pt_88_0                   |     19 | LUT2        |
| dut_inst/stage_g.4.pair_g.2.csn_cmp_inst/pt_131_0                  |     19 | LUT2        |
| dut_inst/un1_b_i_o_13                                              |     19 | FDRE        |
| dut_inst/un1_b_i_o_24                                              |     19 | FDRE        |
| dut_inst/un1_b_i_o_28                                              |     19 | FDRE        |
| dut_inst/un1_b_i_o_o_16                                            |     19 | FDRE        |
| shift_reg_tap_i/input_slr[211]                                     |     19 | FDRE        |
| shift_reg_tap_i/input_slr[224]                                     |     19 | FDRE        |
| shift_reg_tap_i/input_slr[29]                                      |     19 | FDRE        |
| dut_inst/pt_o[3]                                                   |     18 | FDRE        |
| dut_inst/pt_o_10[3]                                                |     18 | FDRE        |
| dut_inst/pt_o_11[3]                                                |     18 | FDRE        |
| dut_inst/pt_o_1[3]                                                 |     18 | FDRE        |
| dut_inst/pt_o_22[3]                                                |     18 | FDRE        |
| dut_inst/pt_o_28[3]                                                |     18 | FDRE        |
| dut_inst/pt_o_31[3]                                                |     18 | FDRE        |
| dut_inst/pt_o_34[3]                                                |     18 | FDRE        |
| dut_inst/pt_o_5[3]                                                 |     18 | FDRE        |
| dut_inst/pt_o_9[3]                                                 |     18 | FDRE        |
| dut_inst/stage_g.5.pair_g.5.csn_cmp_inst/un1_b_i_57                |     18 | LUT5        |
| dut_inst/un1_b_i_o_10                                              |     18 | FDRE        |
| dut_inst/un1_b_i_o_12                                              |     18 | FDRE        |
| dut_inst/un1_b_i_o_26                                              |     18 | FDRE        |
| dut_inst/un1_b_i_o_33                                              |     18 | FDRE        |
| dut_inst/un1_b_i_o_34                                              |     18 | FDRE        |
| dut_inst/un1_b_i_o_35                                              |     18 | FDRE        |
| dut_inst/un1_b_i_o_36                                              |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_1                                             |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_13                                            |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_18                                            |     18 | FDRE        |
| dut_inst/un1_b_i_o_o_5                                             |     18 | FDRE        |
| dut_inst/pt_o_12[3]                                                |     17 | FDRE        |
| dut_inst/un1_b_i_o_0_o_0                                           |     17 | FDRE        |
| dut_inst/un1_b_i_o_0_o_2                                           |     17 | FDRE        |
| dut_inst/un1_b_i_o_1_o                                             |     17 | FDRE        |
