Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar  7 02:59:29 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------+--------+-------------+
| Net Name                                                         | Fanout | Driver Type |
+------------------------------------------------------------------+--------+-------------+
| dut_inst/pt_o_0[3]                                               |     44 | FDRE        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_79              |     44 | LUT5        |
| dut_inst/un1_b_i_o_o_12                                          |     43 | FDRE        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_80              |     41 | LUT6        |
| dut_inst/pt_o_30[3]                                              |     39 | FDRE        |
| dut_inst/pt_o_31[3]                                              |     39 | FDRE        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_91              |     38 | FDRE        |
| dut_inst/pt_o_27[3]                                              |     37 | FDRE        |
| dut_inst/pt_o_28[3]                                              |     37 | FDRE        |
| dut_inst/stage_g.8.pair_g.5.csn_cmp_inst/un1_b_i_75              |     37 | LUT5        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_83              |     36 | LUT5        |
| dut_inst/un1_b_i_o_o_9                                           |     36 | FDRE        |
| dut_inst/stage_g.10.pair_g.4.csn_cmp_inst/un1_b_i_reto_2         |     34 | FDRE        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/un1_b_i_86              |     34 | LUT6        |
| dut_inst/un1_b_i_o_22                                            |     34 | FDRE        |
| dut_inst/un1_b_i_o_o_18                                          |     34 | FDRE        |
| dut_inst/un1_b_i_reto                                            |     34 | FDRE        |
| dut_inst/un1_b_i_o_38                                            |     33 | FDRE        |
| dut_inst/un1_b_i_o_4                                             |     33 | FDRE        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_84              |     32 | LUT5        |
| dut_inst/stage_g.9.pair_g.1.csn_cmp_inst/un1_b_i_74              |     32 | LUT6        |
| dut_inst/stage_g.9.pair_g.5.csn_cmp_inst/un1_b_i_77              |     32 | LUT6        |
| dut_inst/un1_b_i_o_o_15                                          |     32 | FDRE        |
