Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar  7 03:24:43 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-----------------------------------------------------------------+--------+-------------+
| Net Name                                                        | Fanout | Driver Type |
+-----------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_82             |     47 | LUT5        |
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_reto_0        |     42 | LUT6        |
| dut_inst/pt_o_0[3]                                              |     41 | FDRE        |
| dut_inst/pt_o_1[3]                                              |     41 | FDRE        |
| dut_inst/stage_g.8.pair_g.5.csn_cmp_inst/un1_b_i_74             |     39 | FDRE        |
| dut_inst/pt_o_16[3]                                             |     38 | FDRE        |
| dut_inst/pt_o_17[3]                                             |     38 | FDRE        |
| dut_inst/pt_o_20[3]                                             |     38 | FDRE        |
| dut_inst/pt_o_21[3]                                             |     38 | FDRE        |
| dut_inst/pt_o_24[3]                                             |     38 | FDRE        |
| dut_inst/pt_o_25[3]                                             |     38 | FDRE        |
| dut_inst/pt_o_4[3]                                              |     38 | FDRE        |
| dut_inst/pt_o_5[3]                                              |     37 | FDRE        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_87             |     37 | LUT5        |
| dut_inst/un1_b_i_o_41                                           |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_19                                         |     36 | FDRE        |
| dut_inst/pt_o_30[3]                                             |     35 | FDRE        |
| dut_inst/pt_o_31[3]                                             |     35 | FDRE        |
| dut_inst/pt_o_18[3]                                             |     34 | FDRE        |
| dut_inst/pt_o_19[3]                                             |     34 | FDRE        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_75             |     34 | LUT5        |
| dut_inst/un1_b_i_o_32                                           |     34 | FDRE        |
| dut_inst/un1_b_i_o_45                                           |     34 | FDRE        |
| dut_inst/stage_g.11.pair_g.3.csn_cmp_inst/un1_b_i_reto_2        |     33 | FDRE        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_83             |     33 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_o_o_20         |     32 | FDRE        |
| dut_inst/un1_b_i_o_37                                           |     32 | FDRE        |
| dut_inst/un1_b_i_o_o_16                                         |     32 | FDRE        |
| dut_inst/un1_b_i_o_14                                           |     31 | FDRE        |
| dut_inst/un1_b_i_o_4                                            |     31 | FDRE        |
| dut_inst/un1_b_i_o_44                                           |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_10                                         |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_17                                         |     31 | FDRE        |
| dut_inst/pt_o_26[3]                                             |     30 | FDRE        |
| dut_inst/pt_o_27[3]                                             |     30 | FDRE        |
| dut_inst/stage_g.9.pair_g.0.csn_cmp_inst/un1_b_i_93             |     30 | LUT5        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_78             |     30 | LUT6        |
| dut_inst/stage_g.9.pair_g.8.csn_cmp_inst/un1_b_i_97             |     29 | LUT5        |
| dut_inst/un1_b_i_o_8                                            |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_15                                         |     29 | FDRE        |
| dut_inst/pt_o_2[3]                                              |     28 | FDRE        |
| dut_inst/pt_o_3[3]                                              |     28 | FDRE        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_o_o_21         |     28 | FDRE        |
| dut_inst/un1_b_i_o_21                                           |     28 | FDRE        |
| dut_inst/un1_b_i_o_22                                           |     28 | FDRE        |
| dut_inst/un1_b_i_o_6                                            |     28 | FDRE        |
| dut_inst/stage_g.11.pair_g.1.csn_cmp_inst/un1_b_i_reto_3        |     27 | FDRE        |
| dut_inst/stage_g.11.pair_g.4.csn_cmp_inst/un1_b_i_reto_10       |     27 | FDRE        |
| dut_inst/un1_b_i_o_0                                            |     27 | FDRE        |
| dut_inst/un1_b_i_o_19                                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_2                                            |     27 | FDRE        |
| dut_inst/un1_b_i_o_23                                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_27                                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_9                                            |     27 | FDRE        |
| dut_inst/pt_o_11[3]                                             |     26 | FDRE        |
| dut_inst/pt_o_12[3]                                             |     26 | FDRE        |
| dut_inst/stage_g.10.pair_g.3.csn_cmp_inst/un1_b_i_reto_1        |     26 | FDRE        |
| dut_inst/stage_g.4.pair_g.9.csn_cmp_inst/pt_143_0               |     26 | LUT2        |
| dut_inst/un1_b_i_o                                              |     26 | FDRE        |
| dut_inst/un1_b_i_o_11                                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_25                                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_38                                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_39                                           |     26 | FDRE        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_43             |     25 | LUT5        |
| dut_inst/stage_g.4.pair_g.8.csn_cmp_inst/un1_b_i_88             |     25 | LUT5        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_92             |     25 | LUT5        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_76             |     25 | LUT5        |
| dut_inst/stage_g.9.pair_g.2.csn_cmp_inst/un1_b_i_85             |     25 | LUT6        |
| dut_inst/un1_b_i_o_o_18                                         |     25 | FDRE        |
| dut_inst/stage_g.11.pair_g.6.csn_cmp_inst/un1_b_i_ac0_6         |     24 | LUT6        |
| dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_91             |     24 | LUT5        |
| dut_inst/stage_g.5.pair_g.2.csn_cmp_inst/pt_45_0                |     24 | LUT4        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_79             |     24 | LUT5        |
| dut_inst/stage_g.9.pair_g.4.csn_cmp_inst/un1_b_i_77             |     24 | LUT6        |
| dut_inst/un1_b_i_o_3                                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_31                                           |     24 | FDRE        |
| dut_inst/un1_b_i_o_7                                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_6                                          |     24 | FDRE        |
| dut_inst/stage_g.5.pair_g.4.csn_cmp_inst/pt_46_0                |     23 | LUT4        |
| dut_inst/stage_g.9.pair_g.5.csn_cmp_inst/un1_b_i_81             |     23 | LUT6        |
| dut_inst/un1_b_i_o_15                                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_16                                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_18                                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_20                                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_4                                          |     23 | FDRE        |
| dut_inst/stage_g.11.pair_g.0.csn_cmp_inst/idx_ret_9_RNINQVBP    |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.1.csn_cmp_inst/pt_ret_5_RNIRO9LK     |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.2.csn_cmp_inst/pt_ret_9_RNI7II72     |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.3.csn_cmp_inst/idx_ret_46_RNI9F5L1   |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.4.csn_cmp_inst/pt_ret_6_RNIMJBT3     |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.6.csn_cmp_inst/idx_ret_42_RNI7AFN    |     22 | LUT5        |
| dut_inst/un1_b_i_o_1                                            |     22 | FDRE        |
| dut_inst/un1_b_i_o_17                                           |     22 | FDRE        |
| dut_inst/un1_b_i_o_26                                           |     22 | FDRE        |
| dut_inst/un1_b_i_o_28                                           |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_13                                         |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_7                                          |     22 | FDRE        |
| shift_reg_tap_i/input_slr[55]                                   |     22 | FDRE        |
| shift_reg_tap_i/input_slr[68]                                   |     22 | FDRE        |
