Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Mar  7 03:12:33 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------+--------+-------------+
| Net Name                                                         | Fanout | Driver Type |
+------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.10.pair_g.3.csn_cmp_inst/un1_b_i_reto_8         |     46 | LUT5        |
| dut_inst/un1_b_i_o_o_18                                          |     45 | FDRE        |
| dut_inst/pt_o_30[3]                                              |     44 | FDRE        |
| dut_inst/pt_o_31[3]                                              |     44 | FDRE        |
| dut_inst/pt_o_28[3]                                              |     43 | FDRE        |
| dut_inst/pt_o_29[3]                                              |     43 | FDRE        |
| dut_inst/pt_o_34[3]                                              |     41 | FDRE        |
| dut_inst/pt_o_35[3]                                              |     41 | FDRE        |
| dut_inst/stage_g.8.pair_g.5.csn_cmp_inst/un1_b_i_1               |     40 | LUT5        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/un1_b_i_11              |     40 | LUT6        |
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_reto_14        |     39 | LUT6        |
| dut_inst/pt_o_19[3]                                              |     38 | FDRE        |
| dut_inst/pt_o_20[3]                                              |     38 | FDRE        |
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_reto_13        |     37 | LUT6        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/un1_b_i_0               |     37 | LUT5        |
| dut_inst/un1_b_i_o_6                                             |     37 | FDRE        |
| dut_inst/stage_g.11.pair_g.1.csn_cmp_inst/un1_b_i_reto_3         |     36 | FDRE        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_9               |     34 | LUT5        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_3               |     34 | LUT5        |
| dut_inst/un1_b_i_o_o                                             |     34 | FDRE        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_75              |     33 | LUT5        |
| dut_inst/stage_g.10.pair_g.5.csn_cmp_inst/un1_b_i_reto_6         |     32 | LUT5        |
| dut_inst/un1_b_i_o_22                                            |     32 | FDRE        |
| dut_inst/un1_b_i_o_o_11                                          |     32 | FDRE        |
| dut_inst/un1_b_i_o_12                                            |     31 | FDRE        |
| dut_inst/un1_b_i_o_24                                            |     31 | FDRE        |
| dut_inst/un1_b_i_o_28                                            |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_13                                          |     31 | FDRE        |
| dut_inst/pt_o_18[3]                                              |     30 | FDRE        |
| dut_inst/pt_o_21[3]                                              |     30 | FDRE        |
| dut_inst/stage_g.7.pair_g.2.csn_cmp_inst/un1_b_i_o_o_19          |     30 | LUT6        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_2               |     29 | LUT5        |
| dut_inst/un1_b_i_o_16                                            |     29 | FDRE        |
| dut_inst/un1_b_i_o_18                                            |     29 | FDRE        |
| dut_inst/un1_b_i_o_34                                            |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_1                                           |     29 | FDRE        |
| dut_inst/stage_g.7.pair_g.3.csn_cmp_inst/un1_b_i_o_o_17          |     28 | LUT3        |
| dut_inst/un1_b_i_o_0                                             |     28 | FDRE        |
| dut_inst/un1_b_i_o_4                                             |     28 | FDRE        |
| dut_inst/un1_b_i_o_8                                             |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_16                                          |     28 | FDRE        |
| shift_reg_tap_i/input_slr[68]                                    |     28 | FDRE        |
| dut_inst/stage_g.11.pair_g.3.csn_cmp_inst/un1_b_i_reto_0         |     27 | FDRE        |
| dut_inst/stage_g.7.pair_g.1.csn_cmp_inst/un1_b_i_o_45            |     27 | LUT3        |
| dut_inst/un1_b_i_o_2                                             |     27 | FDRE        |
| shift_reg_tap_i/input_slr[55]                                    |     27 | FDRE        |
| dut_inst/stage_g.10.pair_g.4.csn_cmp_inst/un1_b_i_reto_1         |     26 | LUT5        |
| dut_inst/stage_g.4.pair_g.7.csn_cmp_inst/un1_b_i_77              |     26 | LUT5        |
| dut_inst/stage_g.6.pair_g.1.csn_cmp_inst/un1_b_i_66              |     26 | LUT6        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/pt_o_7_0                |     26 | FDRE        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/pt_o_9_0                |     26 | FDRE        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_4               |     26 | LUT5        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/N_398                   |     26 | LUT5        |
| dut_inst/un1_b_i_o                                               |     26 | FDRE        |
| dut_inst/un1_b_i_o_10                                            |     26 | FDRE        |
| dut_inst/un1_b_i_o_14                                            |     26 | FDRE        |
| dut_inst/un1_b_i_o_17                                            |     26 | FDRE        |
| dut_inst/un1_b_i_o_26                                            |     26 | FDRE        |
| dut_inst/un1_b_i_o_38                                            |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_3                                           |     26 | FDRE        |
| dut_inst/stage_g.10.pair_g.2.csn_cmp_inst/un1_b_i_reto_4         |     25 | LUT5        |
| dut_inst/stage_g.5.pair_g.1.csn_cmp_inst/un1_b_i_81              |     25 | LUT5        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_5               |     25 | LUT5        |
| dut_inst/stage_g.9.pair_g.0.csn_cmp_inst/un1_b_i_73              |     25 | LUT6        |
| dut_inst/stage_g.9.pair_g.6.csn_cmp_inst/un1_b_i_6               |     25 | LUT6        |
| dut_inst/un1_b_i_o_25                                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_31                                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_33                                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_14                                          |     25 | FDRE        |
| dut_inst/pt_o_32[3]                                              |     24 | FDRE        |
| dut_inst/pt_o_33[3]                                              |     24 | FDRE        |
| dut_inst/stage_g.5.pair_g.0.csn_cmp_inst/un1_b_i_d0_c3_RNI6MP81  |     24 | LUT5        |
| dut_inst/stage_g.7.pair_g.6.csn_cmp_inst/un1_b_i_o_o_15          |     24 | LUT3        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/pt_o_1_0                |     24 | FDRE        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/pt_o_2_0                |     24 | FDRE        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/pt_o_12_0               |     24 | FDRE        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/pt_o_13_0               |     24 | FDRE        |
| dut_inst/un1_b_i_o_0_o                                           |     24 | FDRE        |
| dut_inst/un1_b_i_o_15                                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_32                                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_36                                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_39                                            |     24 | FDRE        |
| dut_inst/pt_o_26[3]                                              |     23 | FDRE        |
| dut_inst/pt_o_27[3]                                              |     23 | FDRE        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/pt_o_6_0                |     23 | FDRE        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/pt_o_8_0                |     23 | FDRE        |
| dut_inst/un1_b_i_o_41                                            |     23 | FDRE        |
| dut_inst/un1_b_i_o_43                                            |     23 | FDRE        |
| dut_inst/stage_g.11.pair_g.0.csn_cmp_inst/idx_ret_18_RNIFRSU3    |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.2.csn_cmp_inst/un1_b_i_reto_9         |     22 | LUT5        |
| dut_inst/stage_g.11.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_0_0_reto |     22 | LUT6        |
| dut_inst/stage_g.11.pair_g.6.csn_cmp_inst/un1_b_i_ac0_5_d_reto   |     22 | LUT6        |
| dut_inst/stage_g.4.pair_g.8.csn_cmp_inst/un1_b_i_78              |     22 | LUT5        |
| dut_inst/un1_b_i_o_20                                            |     22 | FDRE        |
| dut_inst/un1_b_i_o_29                                            |     22 | FDRE        |
| dut_inst/un1_b_i_o_30                                            |     22 | FDRE        |
| dut_inst/un1_b_i_o_40                                            |     22 | FDRE        |
| dut_inst/un1_b_i_o_42                                            |     22 | FDRE        |
| dut_inst/un1_b_i_o_9                                             |     22 | FDRE        |
| dut_inst/un1_b_i_reto                                            |     22 | LUT5        |
| dut_inst/un1_b_i_reto_2                                          |     22 | LUT5        |
| shift_reg_tap_i/input_slr[107]                                   |     22 | FDRE        |
| shift_reg_tap_i/input_slr[120]                                   |     22 | FDRE        |
| shift_reg_tap_i/input_slr[42]                                    |     22 | FDRE        |
| dut_inst/stage_g.4.pair_g.1.csn_cmp_inst/un1_b_i_26              |     21 | LUT3        |
| dut_inst/un1_b_i_o_27                                            |     21 | FDRE        |
| shift_reg_tap_i/input_slr[16]                                    |     21 | FDRE        |
| shift_reg_tap_i/input_slr[29]                                    |     21 | FDRE        |
| shift_reg_tap_i/input_slr[3]                                     |     21 | FDRE        |
| dut_inst/pt_o[3]                                                 |     20 | FDRE        |
| dut_inst/pt_o_36[3]                                              |     20 | FDRE        |
