Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 17:39:54 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------+--------+-------------+
| Net Name                                                          | Fanout | Driver Type |
+-------------------------------------------------------------------+--------+-------------+
| dut_inst/pt_o_7[0]                                                |     59 | FDRE        |
| dut_inst/pt_o_9[0]                                                |     58 | FDRE        |
| dut_inst/pt_o_15[0]                                               |     51 | FDRE        |
| dut_inst/pt_o_18[0]                                               |     51 | FDRE        |
| dut_inst/pt_o_13[0]                                               |     48 | FDRE        |
| dut_inst/pt_o_14[0]                                               |     48 | FDRE        |
| dut_inst/pt_o_19[0]                                               |     47 | FDRE        |
| dut_inst/pt_o[0]                                                  |     46 | FDRE        |
| dut_inst/pt_o_3[0]                                                |     46 | FDRE        |
| dut_inst/pt_o_6[0]                                                |     46 | FDRE        |
| dut_inst/pt_o_8[0]                                                |     45 | FDRE        |
| dut_inst/pt_o_10[0]                                               |     44 | FDRE        |
| dut_inst/un1_b_i_36                                               |     42 | LUT6        |
| dut_inst/pt_o_5[0]                                                |     40 | FDRE        |
| dut_inst/pt_o_1[0]                                                |     39 | FDRE        |
| dut_inst/pt_o_4[0]                                                |     39 | FDRE        |
| dut_inst/un1_b_i_70                                               |     39 | LUT6        |
| dut_inst/un1_b_i_o_15                                             |     38 | FDRE        |
| dut_inst/pt_o_20[0]                                               |     37 | FDRE        |
| dut_inst/un1_b_i_o_3                                              |     37 | FDRE        |
| dut_inst/un1_b_i_o_1                                              |     35 | FDRE        |
| dut_inst/un1_b_i_o_41                                             |     35 | FDRE        |
| shift_reg_tap_i/input_slr[170]                                    |     35 | FDRE        |
| shift_reg_tap_i/input_slr[60]                                     |     35 | FDRE        |
| shift_reg_tap_i/input_slr[70]                                     |     35 | FDRE        |
| dut_inst/pt_o_16[0]                                               |     34 | FDRE        |
| dut_inst/pt_o_17[0]                                               |     34 | FDRE        |
| dut_inst/un1_b_i_o_38                                             |     34 | FDRE        |
| dut_inst/un1_b_i_72                                               |     33 | LUT6        |
| shift_reg_tap_i/input_slr[160]                                    |     33 | FDRE        |
| shift_reg_tap_i/input_slr[90]                                     |     33 | FDRE        |
| dut_inst/un1_b_i_68                                               |     32 | LUT6        |
| dut_inst/un1_b_i_o_45                                             |     32 | FDRE        |
| shift_reg_tap_i/input_slr[100]                                    |     32 | FDRE        |
| shift_reg_tap_i/input_slr[110]                                    |     32 | FDRE        |
| shift_reg_tap_i/input_slr[140]                                    |     32 | FDRE        |
| shift_reg_tap_i/input_slr[150]                                    |     32 | FDRE        |
| shift_reg_tap_i/input_slr[180]                                    |     32 | FDRE        |
| shift_reg_tap_i/input_slr[190]                                    |     32 | FDRE        |
| shift_reg_tap_i/input_slr[80]                                     |     31 | FDRE        |
| dut_inst/pt_o_11[0]                                               |     30 | FDRE        |
| dut_inst/pt_o_12[0]                                               |     30 | FDRE        |
| dut_inst/un1_b_i_o_34                                             |     30 | FDRE        |
| dut_inst/un1_b_i_34                                               |     29 | LUT5        |
| dut_inst/un1_b_i_67                                               |     29 | LUT6        |
| shift_reg_tap_i/input_slr[120]                                    |     29 | FDRE        |
| shift_reg_tap_i/input_slr[130]                                    |     29 | FDRE        |
| dut_inst/un1_b_i_69                                               |     28 | LUT4        |
| dut_inst/un1_b_i_o_24                                             |     28 | FDRE        |
| dut_inst/un1_b_i_o_40                                             |     28 | FDRE        |
| dut_inst/un1_b_i_o_46                                             |     28 | FDRE        |
| dut_inst/un1_b_i_o_8                                              |     28 | FDRE        |
| shift_reg_tap_i/input_slr[20]                                     |     28 | FDRE        |
| shift_reg_tap_i/input_slr[30]                                     |     28 | FDRE        |
| shift_reg_tap_i/input_slr[40]                                     |     28 | FDRE        |
| shift_reg_tap_i/input_slr[50]                                     |     28 | FDRE        |
| dut_inst/un1_b_i_61                                               |     27 | LUT4        |
| dut_inst/un1_b_i_o_32                                             |     27 | FDRE        |
| dut_inst/un1_b_i_o_33                                             |     27 | FDRE        |
| dut_inst/un1_b_i_o_37                                             |     27 | FDRE        |
| dut_inst/un1_b_i_o_42                                             |     27 | FDRE        |
| dut_inst/un1_b_i_o_50                                             |     27 | FDRE        |
| shift_reg_tap_i/input_slr[0]                                      |     27 | FDRE        |
| shift_reg_tap_i/input_slr[10]                                     |     27 | FDRE        |
| dut_inst/un1_b_i_28                                               |     26 | LUT4        |
| dut_inst/un1_b_i_66                                               |     26 | LUT4        |
