Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 17:55:23 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------+--------+-------------+
| Net Name                                                          | Fanout | Driver Type |
+-------------------------------------------------------------------+--------+-------------+
| dut_inst/un1_b_i_5                                                |     58 | LUT6        |
| shift_reg_tap_i/input_slr[140]                                    |     58 | FDRE        |
| shift_reg_tap_i/input_slr[150]                                    |     58 | FDRE        |
| shift_reg_tap_i/input_slr[180]                                    |     54 | FDRE        |
| shift_reg_tap_i/input_slr[190]                                    |     54 | FDRE        |
| shift_reg_tap_i/input_slr[10]                                     |     52 | FDRE        |
| shift_reg_tap_i/input_slr[0]                                      |     51 | FDRE        |
| dut_inst/ALTBdupdup_2[0]                                          |     50 | LUT6        |
| shift_reg_tap_i/input_slr[50]                                     |     50 | FDRE        |
| shift_reg_tap_i/input_slr[60]                                     |     50 | FDRE        |
| shift_reg_tap_i/input_slr[70]                                     |     50 | FDRE        |
| dut_inst/ALTBdup_1[0]                                             |     49 | LUT6        |
| dut_inst/un1_b_i_1                                                |     49 | LUT6        |
| shift_reg_tap_i/input_slr[40]                                     |     49 | FDRE        |
| shift_reg_tap_i/input_slr[80]                                     |     47 | FDRE        |
| shift_reg_tap_i/input_slr[90]                                     |     47 | FDRE        |
| dut_inst/pt_o_2[0]                                                |     46 | FDRE        |
| dut_inst/pt_o_5[0]                                                |     46 | FDRE        |
| shift_reg_tap_i/input_slr[160]                                    |     46 | FDRE        |
| shift_reg_tap_i/input_slr[170]                                    |     46 | FDRE        |
| dut_inst/idx_ret_1205_fastoi                                      |     45 | LUT5        |
| shift_reg_tap_i/input_slr[100]                                    |     45 | FDRE        |
| shift_reg_tap_i/input_slr[110]                                    |     45 | FDRE        |
| dut_inst/idx_ret_559_fastoi                                       |     44 | LUT6        |
| shift_reg_tap_i/input_slr[20]                                     |     44 | FDRE        |
| shift_reg_tap_i/input_slr[30]                                     |     44 | FDRE        |
| dut_inst/pt_o_11[0]                                               |     43 | FDRE        |
| dut_inst/pt_o_13[0]                                               |     43 | FDRE        |
| dut_inst/un1_b_i_14                                               |     43 | LUT5        |
| dut_inst/un1_b_i_7                                                |     43 | LUT6        |
| shift_reg_tap_i/input_slr[200]                                    |     43 | FDRE        |
| shift_reg_tap_i/input_slr[210]                                    |     43 | FDRE        |
| dut_inst/pt_o_15[0]                                               |     42 | FDRE        |
| dut_inst/pt_o_16[0]                                               |     42 | FDRE        |
| dut_inst/pt_o_3[0]                                                |     42 | FDRE        |
| dut_inst/pt_o_6[0]                                                |     42 | FDRE        |
| dut_inst/pt_o_7[0]                                                |     42 | FDRE        |
| dut_inst/un1_b_i                                                  |     42 | LUT5        |
| dut_inst/un1_b_i_13                                               |     42 | LUT6        |
| dut_inst/idx_ret_1262_fastoi                                      |     41 | LUT5        |
| dut_inst/un1_b_i_0                                                |     41 | LUT6        |
| dut_inst/pt_o_17[0]                                               |     40 | FDRE        |
