Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar 12 00:56:21 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+--------------------------------------------------------+--------+-------------+
| Net Name                                               | Fanout | Driver Type |
+--------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.9.pair_g.6.csn_cmp_inst/un1_b_i_85    |     46 | LUT6        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_105   |     39 | LUT5        |
| dut_inst/stage_g.9.pair_g.1.csn_cmp_inst/un1_b_i_95    |     39 | LUT6        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/pt_100_0      |     38 | LUT4        |
| dut_inst/stage_g.9.pair_g.4.csn_cmp_inst/pt_101_0      |     36 | LUT4        |
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_94   |     35 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_104   |     35 | LUT5        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/un1_b_i_107   |     35 | LUT5        |
| dut_inst/stage_g.9.pair_g.3.csn_cmp_inst/un1_b_i_88    |     35 | LUT5        |
| dut_inst/un1_b_i_o_o_35                                |     34 | FDRE        |
| dut_inst/un1_b_i_o_o_6                                 |     34 | FDRE        |
| dut_inst/stage_g.10.pair_g.7.csn_cmp_inst/un1_b_i_102  |     33 | LUT5        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_106   |     33 | LUT5        |
| dut_inst/stage_g.8.pair_g.6.csn_cmp_inst/un1_b_i_91    |     33 | LUT5        |
| dut_inst/stage_g.9.pair_g.4.csn_cmp_inst/un1_b_i_97    |     33 | LUT5        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/un1_b_i_83    |     33 | LUT6        |
| dut_inst/un1_b_i_o_o_30                                |     33 | FDRE        |
| dut_inst/stage_g.10.pair_g.2.csn_cmp_inst/un1_b_i_89   |     32 | LUT6        |
| dut_inst/stage_g.9.pair_g.2.csn_cmp_inst/un1_b_i_90    |     32 | LUT6        |
| dut_inst/un1_b_i_o_o_10                                |     32 | FDRE        |
| dut_inst/un1_b_i_o_o_55                                |     32 | FDRE        |
| dut_inst/un1_b_i_o_o_80                                |     32 | FDRE        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_86    |     31 | LUT5        |
| dut_inst/un1_b_i_o_o_20                                |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_21                                |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_23                                |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_26                                |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_64                                |     31 | FDRE        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_93    |     30 | LUT5        |
| dut_inst/un1_b_i_o_o_44                                |     30 | FDRE        |
| dut_inst/un1_b_i_o_o_8                                 |     30 | FDRE        |
| dut_inst/un1_b_i_o_o_81                                |     30 | FDRE        |
| dut_inst/stage_g.9.pair_g.6.csn_cmp_inst/pt_38_0       |     29 | LUT4        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/pt_37_0       |     29 | LUT4        |
| dut_inst/un1_b_i_o_o_42                                |     29 | FDRE        |
| dut_inst/stage_g.10.pair_g.3.csn_cmp_inst/un1_b_i_96   |     28 | LUT5        |
| dut_inst/stage_g.10.pair_g.5.csn_cmp_inst/un1_b_i_92   |     28 | LUT6        |
| dut_inst/un1_b_i_o_o_17                                |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_2                                 |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_24                                |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_45                                |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_48                                |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_65                                |     28 | FDRE        |
| dut_inst/stage_g.10.pair_g.0.csn_cmp_inst/un1_b_i_101  |     27 | LUT5        |
