Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar 12 00:12:03 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                | Fanout | Driver Type |
+-------------------------------------------------------------------------+--------+-------------+
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_80                    |     40 | LUT5        |
| dut_inst/stage_g.10.pair_g.1.csn_cmp_inst/un1_b_i_91                    |     38 | LUT6        |
| dut_inst/pt_o_0[3]                                                      |     37 | FDRE        |
| dut_inst/pt_o_2[3]                                                      |     37 | FDRE        |
| dut_inst/un1_b_i_o_o_1                                                  |     35 | FDRE        |
| dut_inst/pt_o_38[3]                                                     |     34 | FDRE        |
| dut_inst/pt_o_6[3]                                                      |     34 | FDRE        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_84                     |     34 | LUT5        |
| dut_inst/un1_b_i_o_o                                                    |     33 | FDRE        |
| dut_inst/un1_b_i_o_o_18                                                 |     33 | FDRE        |
| dut_inst/stage_g.9.pair_g.8.csn_cmp_inst/un1_b_i_104                    |     32 | LUT5        |
| dut_inst/stage_g.8.pair_g.1.csn_cmp_inst/un1_b_i_100                    |     31 | LUT5        |
| dut_inst/stage_g.8.pair_g.7.csn_cmp_inst/un1_b_i_95                     |     31 | LUT5        |
| dut_inst/un1_b_i_o_o_28                                                 |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_47                                                 |     31 | FDRE        |
| dut_inst/pt_o_3[3]                                                      |     30 | FDRE        |
| dut_inst/pt_o_4[3]                                                      |     30 | FDRE        |
| dut_inst/stage_g.8.pair_g.5.csn_cmp_inst/un1_b_i_94                     |     30 | FDRE        |
| dut_inst/un1_b_i_o_o_23                                                 |     30 | FDRE        |
| dut_inst/un1_b_i_o_o_34                                                 |     30 | FDRE        |
| dut_inst/un1_b_i_o_o_43                                                 |     30 | FDRE        |
| dut_inst/pt_o_13[3]                                                     |     29 | FDRE        |
| dut_inst/pt_o_19[3]                                                     |     29 | FDRE        |
| dut_inst/pt_o_31[3]                                                     |     29 | FDRE        |
| dut_inst/pt_o_32[3]                                                     |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_53                                                 |     29 | FDRE        |
| dut_inst/pt_o[3]                                                        |     28 | FDRE        |
| dut_inst/pt_o_1[3]                                                      |     28 | FDRE        |
| dut_inst/pt_ret_13_fast                                                 |     28 | FDRE        |
| dut_inst/stage_g.8.pair_g.3.csn_cmp_inst/un1_b_i_101                    |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_19                                                 |     28 | FDRE        |
| shift_reg_tap_i/input_slr[68]                                           |     28 | FDRE        |
| dut_inst/pt_o_8[3]                                                      |     27 | FDRE        |
| dut_inst/pt_o_9[3]                                                      |     27 | FDRE        |
| dut_inst/stage_g.10.pair_g.7.csn_cmp_inst/un1_b_i_98                    |     27 | LUT6        |
| dut_inst/stage_g.8.pair_g.2.csn_cmp_inst/un1_b_i_86                     |     27 | LUT5        |
| dut_inst/stage_g.8.pair_g.4.csn_cmp_inst/un1_b_i_102                    |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_14                                                 |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_16                                                 |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_31                                                 |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_37                                                 |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_39                                                 |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_50                                                 |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_8                                                  |     27 | FDRE        |
| shift_reg_tap_i/input_slr[55]                                           |     27 | FDRE        |
