Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Tue Mar 12 00:30:51 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------------------------------------+--------+-------------+
| Net Name                                                                | Fanout | Driver Type |
+-------------------------------------------------------------------------+--------+-------------+
| dut_inst/un1_b_i_o_o_43                                                 |     90 | FDRE        |
| dut_inst/un1_b_i_o_o_7                                                  |     88 | FDRE        |
| dut_inst/stage_g.5.pair_g.8.csn_cmp_inst/un1_b_i_o_o_69                 |     86 | FDRE        |
| dut_inst/un1_b_i_o_o_27                                                 |     86 | FDRE        |
| dut_inst/un1_b_i_o_o_9                                                  |     79 | FDRE        |
| dut_inst/un1_b_i_o_o_32                                                 |     78 | FDRE        |
| dut_inst/un1_b_i_o_o_12                                                 |     73 | FDRE        |
| dut_inst/un1_b_i_o_o_2                                                  |     73 | FDRE        |
| dut_inst/un1_b_i_o_o_4                                                  |     71 | FDRE        |
| dut_inst/stage_g.7.pair_g.6.csn_cmp_inst/un1_b_i_o_o_68                 |     68 | FDRE        |
| dut_inst/un1_b_i_o_o_3                                                  |     68 | FDRE        |
| dut_inst/un1_b_i_o_o_6                                                  |     67 | FDRE        |
| dut_inst/un1_b_i_o_o_20                                                 |     66 | FDRE        |
| dut_inst/stage_g.6.pair_g.5.csn_cmp_inst/un1_b_i_o_o_rep_55             |     65 | FDRE        |
| dut_inst/un1_b_i_o_o_11                                                 |     64 | FDRE        |
| dut_inst/un1_b_i_o_o_5                                                  |     64 | FDRE        |
| dut_inst/stage_g.6.pair_g.6.csn_cmp_inst/un1_b_i_o_o_67                 |     63 | FDRE        |
| dut_inst/un1_b_i_o_o_0                                                  |     63 | FDRE        |
| dut_inst/un1_b_i_o_o_1                                                  |     63 | FDRE        |
| dut_inst/un1_b_i_o_o_19                                                 |     63 | FDRE        |
| dut_inst/un1_b_i_o_o_13                                                 |     62 | FDRE        |
| dut_inst/un1_b_i_o_o_61                                                 |     62 | FDRE        |
| dut_inst/un1_b_i_o_o_8                                                  |     62 | FDRE        |
| dut_inst/un1_b_i_o_o_40                                                 |     60 | FDRE        |
| dut_inst/un1_b_i_o_o_60                                                 |     60 | FDRE        |
| dut_inst/un1_b_i_o_o_16                                                 |     59 | FDRE        |
| dut_inst/un1_b_i_o_o_23                                                 |     58 | FDRE        |
| dut_inst/un1_b_i_o_o_34                                                 |     57 | FDRE        |
| dut_inst/un1_b_i_o_o_18                                                 |     56 | FDRE        |
| dut_inst/stage_g.4.pair_g.0.csn_cmp_inst/un1_b_i_o_o_70                 |     55 | FDRE        |
| dut_inst/un1_b_i_o_o_42                                                 |     54 | FDRE        |
| dut_inst/un1_b_i_o_o_53                                                 |     54 | FDRE        |
| dut_inst/un1_b_i_o_o_65                                                 |     54 | FDRE        |
| dut_inst/un1_b_i_o_o_28                                                 |     53 | FDRE        |
| dut_inst/un1_b_i_o_o                                                    |     51 | FDRE        |
| dut_inst/un1_b_i_o_o_rep_101                                            |     47 | FDRE        |
| dut_inst/un1_b_i_o_o_rep_97                                             |     45 | FDRE        |
| dut_inst/un1_b_i_o_o_rep_105                                            |     44 | FDRE        |
| dut_inst/un1_b_i_o_o_15                                                 |     42 | FDRE        |
| dut_inst/stage_g.10.pair_g.6.csn_cmp_inst/un1_b_i_76                    |     40 | LUT5        |
| dut_inst/stage_g.8.pair_g.0.csn_cmp_inst/un1_b_i_92                     |     38 | LUT5        |
| dut_inst/un1_b_i_o_o_66                                                 |     38 | FDRE        |
| dut_inst/stage_g.9.pair_g.7.csn_cmp_inst/un1_b_i_77                     |     37 | LUT6        |
| dut_inst/un1_b_i_o_o_21                                                 |     37 | FDRE        |
| dut_inst/un1_b_i_o_o_rep_109                                            |     37 | FDRE        |
| dut_inst/un1_b_i_o_o_rep_117                                            |     37 | FDRE        |
| dut_inst/un1_b_i_o_o_33_rep_12                                          |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_36                                                 |     36 | FDRE        |
| dut_inst/un1_b_i_o_o_rep_113                                            |     36 | FDRE        |
