Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Mon Mar 11 19:20:25 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper_csn
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+---------------------------------------------------+--------+-------------+
| Net Name                                          | Fanout | Driver Type |
+---------------------------------------------------+--------+-------------+
| dut_inst/pt_o_33[0]                               |     48 | FDRE        |
| dut_inst/pt_o_34[0]                               |     48 | FDRE        |
| dut_inst/pt_o_28[0]                               |     47 | FDRE        |
| dut_inst/pt_o_30[0]                               |     47 | FDRE        |
| dut_inst/pt_o_24[0]                               |     43 | FDRE        |
| dut_inst/pt_o_23[0]                               |     42 | FDRE        |
| dut_inst/pt_o_31[0]                               |     41 | FDRE        |
| dut_inst/pt_o_32[0]                               |     41 | FDRE        |
| dut_inst/pt_o_35[0]                               |     40 | FDRE        |
| dut_inst/pt_o_36[0]                               |     40 | FDRE        |
| dut_inst/pt_o_37[0]                               |     39 | FDRE        |
| dut_inst/pt_o_38[0]                               |     38 | FDRE        |
| dut_inst/pt_o_25[0]                               |     37 | FDRE        |
| dut_inst/pt_o_26[0]                               |     37 | FDRE        |
| dut_inst/pt_o_27[0]                               |     37 | FDRE        |
| dut_inst/pt_o_29[0]                               |     37 | FDRE        |
| dut_inst/un1_b_i_o_o_33                           |     35 | FDRE        |
| dut_inst/un1_b_i_o_o_41                           |     35 | FDRE        |
| dut_inst/un1_b_i_o_o_39                           |     34 | FDRE        |
| dut_inst/un1_b_i_o_o_5                            |     33 | FDRE        |
| dut_inst/un1_b_i_o_o_72                           |     32 | FDRE        |
| dut_inst/un1_b_i_o_o_21                           |     31 | FDRE        |
| dut_inst/un1_b_i_o_o_44                           |     31 | FDRE        |
| dut_inst/un1_b_i_31                               |     30 | LUT6        |
| dut_inst/un1_b_i_o_o_19                           |     30 | FDRE        |
| dut_inst/un1_b_i_o_o_23                           |     30 | FDRE        |
| dut_inst/un1_b_i_o_o_37                           |     30 | FDRE        |
| dut_inst/un1_b_i_37                               |     29 | LUT4        |
| dut_inst/un1_b_i_o_o_14                           |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_28                           |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_55                           |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_60                           |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_76                           |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_78                           |     29 | FDRE        |
| dut_inst/un1_b_i_o_o_16                           |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_57                           |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_66                           |     28 | FDRE        |
| dut_inst/un1_b_i_o_o_9                            |     28 | FDRE        |
| dut_inst/un1_b_i_30                               |     27 | LUT6        |
| dut_inst/un1_b_i_o_o_12                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_47                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_58                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_63                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_68                           |     27 | FDRE        |
| dut_inst/un1_b_i_o_o_8                            |     27 | FDRE        |
| dut_inst/un1_b_i_16                               |     26 | LUT5        |
| dut_inst/un1_b_i_32                               |     26 | LUT6        |
| dut_inst/un1_b_i_35                               |     26 | LUT6        |
| dut_inst/un1_b_i_39                               |     26 | LUT5        |
| dut_inst/un1_b_i_54                               |     26 | LUT4        |
| dut_inst/un1_b_i_o_o_10                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_11                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_18                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_48                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_62                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_67                           |     26 | FDRE        |
| dut_inst/un1_b_i_o_o_71                           |     26 | FDRE        |
| dut_inst/un1_b_i_27                               |     25 | LUT6        |
| dut_inst/un1_b_i_o_o_1                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_24                           |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_46                           |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_6                            |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_70                           |     25 | FDRE        |
| dut_inst/un1_b_i_o_o_80                           |     25 | FDRE        |
| dut_inst/un1_b_i_49                               |     24 | LUT4        |
| dut_inst/un1_b_i_56                               |     24 | LUT4        |
| dut_inst/un1_b_i_o_o_0                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_3                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_4                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_61                           |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_65                           |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_7                            |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_79                           |     24 | FDRE        |
| dut_inst/un1_b_i_o_o_82                           |     24 | FDRE        |
| dut_inst/un1_b_i_33                               |     23 | LUT6        |
| dut_inst/un1_b_i_58                               |     23 | LUT4        |
| dut_inst/un1_b_i_o_o_13                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_15                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_20                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_31                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_40                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_43                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_49                           |     23 | FDRE        |
| dut_inst/un1_b_i_o_o_50                           |     23 | FDRE        |
| dut_inst/un1_b_i_34                               |     22 | LUT4        |
| dut_inst/un1_b_i_o_o_29                           |     22 | FDRE        |
| dut_inst/un1_b_i_o_o_30                           |     22 | FDRE        |
