Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Fri Feb  8 01:40:04 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+----------------------------------------------------------------+--------+-------------+
| Net Name                                                       | Fanout | Driver Type |
+----------------------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_1[16]                                     |     96 | LUT6        |
| muon_sorter_1/max_pt_0[11]                                     |     72 | LUT6        |
| muon_sorter_1/max_pt_1[24]                                     |     66 | LUT6        |
| muon_sorter_1/max_pt_1[17]                                     |     65 | LUT6        |
| muon_sorter_1/max_pt_0[16]                                     |     62 | LUT6        |
| muon_sorter_1/max_pt_0[20]                                     |     61 | LUT6        |
| muon_sorter_1/max_pt_11_rep_36[2]                              |     61 | LUT6        |
| muon_sorter_1/max_pt_1[3]                                      |     61 | LUT6        |
| muon_sorter_1/max_pt_9[2]                                      |     61 | LUT6        |
| muon_sorter_1/max_pt_10_rep_93[4]                              |     60 | LUT4        |
| muon_sorter_1/max_pt_5_0                                       |     60 | LUT5        |
| muon_sorter_1/max_pt_9_rep_177[25]                             |     60 | LUT6        |
| muon_sorter_1/N_14280                                          |     59 | LUT6        |
| muon_sorter_1/max_pt_0[8]                                      |     59 | LUT6        |
| muon_sorter_1/max_pt_10[11]                                    |     59 | LUT6        |
| muon_sorter_1/max_pt_12[20]                                    |     59 | LUT6        |
| muon_sorter_1/max_pt_13_0                                      |     59 | LUT6        |
| muon_sorter_1/max_pt_14[18]                                    |     59 | LUT6        |
| muon_sorter_1/max_pt_3[29]                                     |     59 | LUT6        |
| muon_sorter_1/max_pt_3[5]                                      |     59 | LUT6        |
| muon_sorter_1/max_pt_4[8]                                      |     59 | LUT4        |
| muon_sorter_1/max_pt_5[0]                                      |     59 | LUT6        |
| muon_sorter_1/max_pt_5[11]                                     |     59 | LUT6        |
| muon_sorter_1/max_pt_9[19]                                     |     59 | LUT5        |
