Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb  7 22:15:34 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+---------------------------------------------------+--------+-------------+
| Net Name                                          | Fanout | Driver Type |
+---------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_1_rep_0[17]                  |     86 | LUT6        |
| muon_sorter_1/max_pt_0[11]                        |     70 | LUT6        |
| muon_sorter_1/max_pt_2[28]                        |     67 | LUT6        |
| muon_sorter_1/max_pt_10[31]                       |     63 | LUT6        |
| muon_sorter_1/max_pt_3[10]                        |     63 | LUT6        |
| muon_sorter_1/max_pt_0[8]                         |     61 | LUT5        |
| muon_sorter_1/max_pt_4[10]                        |     61 | LUT4        |
| muon_sorter_1/max_pt_0[19]                        |     60 | LUT4        |
| muon_sorter_1/max_pt_5[16]                        |     60 | LUT6        |
| muon_sorter_1/max_pt_6[12]                        |     60 | LUT6        |
| muon_sorter_1/max_pt_8[27]                        |     60 | LUT5        |
| muon_sorter_1.max_pt_9[22]                        |     59 | LUT5        |
| muon_sorter_1/N_14256                             |     59 | LUT6        |
| muon_sorter_1/N_14516_rep_47                      |     59 | LUT5        |
| muon_sorter_1/max_pt_10[17]                       |     59 | LUT6        |
| muon_sorter_1/max_pt_12[7]                        |     59 | LUT6        |
| muon_sorter_1/max_pt_13[0]                        |     59 | LUT4        |
| muon_sorter_1/max_pt_1[16]                        |     59 | LUT6        |
| muon_sorter_1/max_pt_2[15]                        |     59 | LUT5        |
| muon_sorter_1/max_pt_2[26]                        |     59 | LUT6        |
| muon_sorter_1/max_pt_2[9]                         |     59 | LUT6        |
| muon_sorter_1/max_pt_5[21]                        |     59 | LUT4        |
| muon_sorter_1/max_pt_5[6]                         |     59 | LUT5        |
| muon_sorter_1/max_pt_6[2]                         |     59 | LUT6        |
| muon_sorter_1/max_pt_7[22]                        |     59 | LUT4        |
| muon_sorter_1/max_pt_7[3]                         |     59 | LUT6        |
| muon_sorter_1/max_pt_8[3]                         |     59 | LUT5        |
| muon_sorter_1/pt_compare_4_21_0_a2_1_a2_1[14]     |     59 | LUT6        |
| muon_sorter_1/N_14280                             |     58 | LUT6        |
| muon_sorter_1/N_14512                             |     58 | LUT6        |
| muon_sorter_1/N_9400_0                            |     58 | LUT4        |
| muon_sorter_1/max_pt_10[23]                       |     58 | LUT4        |
| muon_sorter_1/max_pt_11[10]                       |     58 | LUT6        |
| muon_sorter_1/max_pt_11[29]                       |     58 | LUT6        |
| muon_sorter_1/max_pt_11[31]                       |     58 | LUT6        |
| muon_sorter_1/max_pt_12[20]                       |     58 | LUT6        |
| muon_sorter_1/max_pt_14[21]                       |     58 | LUT6        |
| muon_sorter_1/max_pt_4_0                          |     58 | LUT6        |
| muon_sorter_1/max_pt_5[0]                         |     58 | LUT4        |
| muon_sorter_1/max_pt_5[15]                        |     58 | LUT4        |
| muon_sorter_1/max_pt_5[27]                        |     58 | LUT6        |
| muon_sorter_1/max_pt_6[25]                        |     58 | LUT5        |
| muon_sorter_1/max_pt_7[11]                        |     58 | LUT5        |
