Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Fri Feb  8 09:45:12 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+------------------------------------------------------------------+--------+-------------+
| Net Name                                                         | Fanout | Driver Type |
+------------------------------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_1_0                                         |     77 | LUT6        |
| muon_cand_16.pt[3]                                               |     75 | FDRE        |
| muon_cand_16.pt[2]                                               |     74 | FDRE        |
| muon_sorter_1/max_pt_1[16]                                       |     72 | LUT6        |
| muon_cand_17.pt[3]                                               |     71 | FDRE        |
| muon_sorter_1/N_9400_0                                           |     65 | LUT3        |
| muon_sorter_1/max_pt_12_rep_44[4]                                |     65 | LUT6        |
| muon_sorter_1/max_pt_1[7]                                        |     65 | LUT5        |
| muon_sorter_1/max_pt_4_10                                        |     65 | LUT6        |
| muon_cand_15.pt[3]                                               |     64 | FDRE        |
| muon_cand_15.pt[2]                                               |     63 | FDRE        |
| muon_cand_31.pt[3]                                               |     63 | FDRE        |
| muon_sorter_1/N_14281                                            |     63 | LUT6        |
| muon_sorter_1/max_pt_13_rep_80[4]                                |     63 | LUT6        |
| muon_cand_6.pt[3]                                                |     62 | FDRE        |
| muon_sorter_1/max_pt_0[19]                                       |     62 | LUT6        |
| muon_sorter_1/max_pt_8_20                                        |     62 | LUT6        |
| muon_cand_31.pt[2]                                               |     61 | FDRE        |
| muon_sorter_1/max_pt_0[11]                                       |     61 | LUT6        |
| muon_sorter_1/max_pt_0[16]                                       |     61 | LUT6        |
| muon_sorter_1/max_pt_0[7]                                        |     61 | LUT6        |
| muon_cand_20.pt[3]                                               |     60 | FDRE        |
| muon_cand_7.pt[2]                                                |     60 | FDRE        |
| muon_sorter_1/max_pt_0[21]                                       |     60 | LUT6        |
| muon_sorter_1/max_pt_1[23]                                       |     60 | LUT6        |
| muon_sorter_1/max_pt_4[22]                                       |     60 | LUT5        |
| muon_sorter_1/max_pt_0[5]                                        |     59 | LUT6        |
| muon_sorter_1/max_pt_10[15]                                      |     59 | LUT6        |
| muon_sorter_1/max_pt_11[27]                                      |     59 | LUT6        |
| muon_sorter_1/max_pt_12_rep_138[25]                              |     59 | LUT4        |
| muon_sorter_1/max_pt_13[3]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_13_17                                       |     59 | LUT5        |
| muon_sorter_1/max_pt_1[19]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_1[24]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_4[13]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_4[30]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_4[8]                                        |     59 | LUT4        |
| muon_sorter_1/max_pt_5[11]                                       |     59 | LUT4        |
| muon_sorter_1/max_pt_5[15]                                       |     59 | LUT5        |
| muon_sorter_1/max_pt_5[25]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_5[28]                                       |     59 | LUT5        |
| muon_sorter_1/max_pt_6[23]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_6[24]                                       |     59 | LUT6        |
| muon_sorter_1/max_pt_6[25]                                       |     59 | LUT4        |
| muon_sorter_1/max_pt_6[30]                                       |     59 | LUT5        |
