Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Fri Feb  8 15:37:10 2019
| Host         : PCPHESEBE02 running 64-bit Service Pack 1  (build 7601)
| Command      : report_high_fanout_nets -file fanout.txt -max_nets 200
| Design       : wrapper
| Device       : xcvu9p
------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Summary
----------

+-------------------------------------------+--------+-------------+
| Net Name                                  | Fanout | Driver Type |
+-------------------------------------------+--------+-------------+
| muon_sorter_1/max_pt_1[19]                |     67 | LUT6        |
| muon_sorter_1/max_pt_9_rep_63[27]         |     66 | LUT6        |
| muon_sorter_1/max_pt_9_rep_73[0]          |     66 | LUT6        |
| muon_sorter_1/max_pt_0[0]                 |     64 | LUT6        |
| muon_sorter_1/max_pt_11_rep_72[11]        |     63 | LUT6        |
| muon_sorter_1/max_pt_1[20]                |     63 | LUT6        |
| muon_sorter_1/max_pt_9_rep_76[28]         |     62 | LUT5        |
| muon_sorter_1/max_pt_0_rep_2[1]           |     61 | LUT6        |
| muon_sorter_1/max_pt_11_rep_55[22]        |     61 | LUT6        |
| muon_sorter_1/max_pt_6[19]                |     61 | LUT5        |
| muon_sorter_1/max_pt_12[17]               |     60 | LUT6        |
| muon_sorter_1/max_pt_6[23]                |     60 | LUT6        |
| muon_sorter_1/N_20479_reto                |     59 | LUT5        |
| muon_sorter_1/N_632_reto                  |     59 | LUT5        |
| muon_sorter_1/max_pt_0[3]                 |     59 | LUT6        |
| muon_sorter_1/max_pt_11[14]               |     59 | LUT6        |
| muon_sorter_1/max_pt_11[21]               |     59 | LUT6        |
| muon_sorter_1/max_pt_12_rep_33[22]        |     59 | LUT6        |
| muon_sorter_1/max_pt_14[10]               |     59 | LUT4        |
| muon_sorter_1/max_pt_14[1]                |     59 | LUT5        |
| muon_sorter_1/max_pt_1[22]                |     59 | LUT6        |
| muon_sorter_1/max_pt_5[25]                |     59 | LUT6        |
| muon_sorter_1.max_pt_8_2_4[14]            |     58 | LUT5        |
| muon_sorter_1.max_pt_8_3_4[14]            |     58 | LUT5        |
| muon_sorter_1/max_pt_0[9]                 |     58 | LUT6        |
| muon_sorter_1/max_pt_10[20]               |     58 | LUT6        |
| muon_sorter_1/max_pt_10[8]                |     58 | LUT6        |
| muon_sorter_1/max_pt_11[25]               |     58 | LUT6        |
| muon_sorter_1/max_pt_13[22]               |     58 | LUT6        |
| muon_sorter_1/max_pt_13_rep_119[1]        |     58 | LUT5        |
| muon_sorter_1/max_pt_13_rep_99[24]        |     58 | LUT6        |
| muon_sorter_1/max_pt_14[16]               |     58 | LUT6        |
| muon_sorter_1/max_pt_14[25]               |     58 | LUT6        |
| muon_sorter_1/max_pt_14[2]                |     58 | LUT5        |
| muon_sorter_1/max_pt_14[3]                |     58 | LUT6        |
| muon_sorter_1/max_pt_2[11]                |     58 | LUT6        |
| muon_sorter_1/max_pt_2[21]                |     58 | LUT6        |
| muon_sorter_1/max_pt_3[18]                |     58 | LUT6        |
| muon_sorter_1/max_pt_4[18]                |     58 | LUT6        |
| muon_sorter_1/max_pt_4_rep_53[9]          |     58 | LUT6        |
| muon_sorter_1/max_pt_6_rep_78[3]          |     58 | LUT6        |
| muon_sorter_1/max_pt_9[16]                |     58 | LUT5        |
| muon_sorter_1/max_pt_9[1]                 |     58 | LUT6        |
| muon_sorter_1/N_633_reto                  |     57 | LUT6        |
| muon_sorter_1/max_pt_0[30]                |     57 | LUT6        |
| muon_sorter_1/max_pt_12[21]               |     57 | LUT6        |
| muon_sorter_1/max_pt_13[2]                |     57 | LUT6        |
| muon_sorter_1/max_pt_13_rep_118[28]       |     57 | LUT5        |
| muon_sorter_1/max_pt_14[27]               |     57 | LUT6        |
| muon_sorter_1/max_pt_14[28]               |     57 | LUT6        |
| muon_sorter_1/max_pt_4[3]                 |     57 | LUT6        |
| muon_sorter_1/max_pt_8[28]                |     57 | LUT6        |
| muon_sorter_1/max_pt_9[13]                |     57 | LUT5        |
| muon_sorter_1/max_pt_9[25]                |     57 | LUT6        |
| muon_sorter_1/N_634_reto                  |     56 | LUT5        |
| muon_sorter_1/max_pt_0[27]                |     56 | LUT6        |
| muon_sorter_1/max_pt_10_rep_136[27]       |     56 | LUT6        |
| muon_sorter_1/max_pt_14[0]                |     56 | LUT6        |
| muon_sorter_1/max_pt_1[21]                |     56 | LUT6        |
| muon_sorter_1/max_pt_1[23]                |     56 | LUT6        |
| muon_sorter_1/max_pt_2[15]                |     56 | LUT4        |
| muon_sorter_1/max_pt_2[8]                 |     56 | LUT6        |
| muon_sorter_1/max_pt_3_rep_321[14]        |     56 | LUT4        |
| muon_sorter_1/max_pt_4[10]                |     56 | LUT4        |
| muon_sorter_1/max_pt_4[26]                |     56 | LUT4        |
| muon_sorter_1/max_pt_4[28]                |     56 | LUT5        |
| muon_sorter_1/max_pt_5_rep_114[13]        |     56 | LUT6        |
| muon_sorter_1/max_pt_6_rep_233[5]         |     56 | LUT6        |
| muon_sorter_1/max_pt_7[16]                |     56 | LUT6        |
| muon_sorter_1/max_pt_8[31]                |     56 | LUT6        |
| muon_sorter_1/max_pt_0_0                  |     55 | LUT6        |
| muon_sorter_1/max_pt_1[17]                |     55 | LUT6        |
| muon_sorter_1/max_pt_3[15]                |     55 | LUT6        |
| muon_sorter_1/max_pt_6[12]                |     55 | LUT6        |
| muon_sorter_1/max_pt_6[24]                |     55 | LUT4        |
